Nome: PORTO ESTRELA
Codigo Estacao: A935
Latitude: -15.32472221
Longitude: -57.22583332
Altitude: 147.75
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;2;null;null;24,1;4,6;null;
2010-07-31;1;1;998;22,1;5,3;1,3;
2010-08-31;null;0;996,9;23,7;5,8;1,1;
2010-09-30;2;6;993,1;28,2;8,7;1,3;
2010-10-31;8;72;993,2;28,3;5,7;1,4;
2010-11-30;13;189;992,3;26,5;5,4;1,3;
2010-12-31;11;74,6;991;27,1;6;1,3;
2011-01-31;21;274,8;992;26,3;6,1;1,2;
2011-02-28;21;299;993;26;6,1;1,2;
2011-03-31;23;494,4;992;26,1;4,8;1,1;
2011-04-30;11;59,4;993,7;26,8;4,4;,8;
2011-05-31;8;2,4;996,1;24;5;1;
2011-06-30;8;26,4;996,5;23,5;4,8;,9;
2011-07-31;3;,6;996,3;23,6;5,2;1,1;
2011-08-31;1;3;996;24,9;5,6;1,3;
2011-09-30;5;39,4;995;27,8;5,5;1,3;
2011-10-31;9;47,8;992;27,8;7;1,5;
2011-11-30;11;129,6;991,7;28,3;6,4;1,4;
2011-12-31;19;189,4;992,1;26,8;10,2;1,1;
2012-01-31;null;null;992,2;26,4;8,3;1,2;
2012-02-29;null;null;992,9;26,4;6,3;,9;
2012-03-31;12;82,6;994,2;26,2;9,5;1;
2012-04-30;11;63,8;993,9;26,6;5,2;,8;
2012-05-31;15;177,2;995,9;24,6;5,8;,6;
2012-06-30;15;35,4;997,1;23,5;4,5;,8;
2012-07-31;7;1,4;997,5;22,5;4,4;,8;
2012-08-31;1;,2;997,1;24,8;5,5;1,1;
2012-09-30;5;22,2;994,9;27,1;5,3;1,1;
2012-10-31;11;44,4;992,5;28,6;7,6;1,2;
2012-11-30;16;170;991,7;27,1;7,4;1,1;
2012-12-31;19;104,6;991,9;27,1;5,1;1,3;
2013-01-31;24;226;992,6;26,4;5,8;1,1;
2013-02-28;20;247,6;993,1;26,2;5,7;1,3;
