Nome: SALTO DO CEU
Codigo Estacao: A936
Latitude: -15.12472221
Longitude: -58.12722221
Altitude: 300.83
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;23;305,8;975,7;25,6;6,5;1,7;
2010-02-28;19;485;975,7;25,9;6,5;1,6;
2010-03-31;22;249,2;976,2;26;5,2;1,4;
2010-04-30;16;74,2;978,1;24,3;4,9;1,4;
2010-05-31;14;50,6;979,5;22;5,2;1,6;
2010-06-30;4;3,4;980,7;22,4;5,2;1,6;
2010-07-31;0;0;980,7;20,8;5,3;1,9;
2010-08-31;null;0;979,8;22,6;5,1;2;
2010-09-30;3;5;976,2;26,9;6,8;2;
2010-10-31;14;210,2;976,2;26,2;7,3;1,9;
2010-11-30;18;237,8;974,9;24,8;5,3;1,6;
2010-12-31;14;90,2;973,5;25,4;5,9;1,7;
2011-01-31;null;null;974,6;25,1;5,8;1,1;
2011-02-28;null;null;975,8;24,6;4,2;,7;
2011-03-31;null;null;975,1;24,9;4,8;,8;
2011-04-30;null;null;977,1;25,5;4,8;,7;
2011-05-31;null;null;979,5;22,2;4,4;,8;
2011-06-30;null;null;979,6;22,5;5,3;1;
2011-07-31;5;1;979,2;23,1;5,3;1,2;
2011-08-31;0;0;979,1;24,2;6;1,7;
2011-09-30;null;null;978,3;26,6;4,9;1,3;
2011-10-31;null;null;975,2;26,4;5,9;1,4;
2011-11-30;8;163,2;974,7;26,8;5,2;1,2;
2011-12-31;21;155,2;975,1;25,6;6;1,1;
2012-01-31;25;185,4;975,3;25,3;4,7;,9;
2012-02-29;24;221,4;976,1;25,2;4,8;,8;
2012-03-31;22;142,8;977,6;24,8;4,9;,9;
2012-04-30;11;75,4;977,1;25,4;4,7;1,3;
2012-05-31;15;72,2;979,1;23,4;5,9;1,2;
2012-06-30;10;null;979,8;22,9;5,1;1,4;
2012-07-31;2;null;null;20;5,3;null;
2012-08-31;null;null;null;null;4,5;null;
2012-09-30;null;null;null;null;6,7;null;
2012-10-31;13;94,2;975,7;26,6;6,6;1,6;
2012-11-30;21;334,6;974,8;25,7;5,7;1,5;
2012-12-31;21;263,4;975;25,7;4,8;1,4;
2013-01-31;21;275,4;975,8;25,9;4,9;1,5;
2013-02-28;26;439,6;976,1;24,9;5,9;1,3;
2013-03-31;21;303,8;976,8;25,5;4,6;1,3;
2013-04-30;22;104,8;978,5;23,8;4,3;1,2;
2013-05-31;11;59,4;979,2;23,2;5,8;1,3;
2013-06-30;6;38,2;979,5;23,8;3,6;1,1;
2013-07-31;5;31,2;981,4;21,4;5,1;1,5;
2013-08-31;0;0;980,2;21,9;7;2,1;
2013-09-30;6;127;978,2;25,2;6,5;1,7;
2013-10-31;16;96,6;977;25,5;7,3;1,4;
2013-11-30;19;200;975,1;25,7;5;1,5;
2013-12-31;26;348;974,8;25,5;4,9;1,7;
2014-01-31;24;249;977,3;25,2;5,2;1,3;
2014-02-28;24;529,8;976,2;24,4;5,1;1,2;
2014-03-31;24;197,4;976,7;24,9;5,6;1,2;
2014-04-30;21;85;978,1;24,6;4,3;1,1;
2014-05-31;13;89;979,1;23;4,1;1,1;
2014-06-30;12;23,4;980,1;22,5;4,6;1,4;
2014-07-31;12;18,4;982;21,4;6,4;1,4;
2014-08-31;0;0;979,9;23,7;5,1;1,6;
2014-09-30;14;158,4;977,3;26,4;5;1,6;
2014-10-31;16;134,6;976,8;26,4;5,8;1,4;
2014-11-30;20;186;975,6;25,7;4,7;1,4;
2014-12-31;22;100,6;975,9;25,3;5,4;1,4;
2015-01-31;19;100;977,9;25,4;5,2;1,3;
2015-02-28;19;59,2;976,9;25,4;4,6;1,4;
2015-03-31;25;54,8;977;25,2;4,7;1,2;
2015-04-30;4;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;6;null;null;22,3;3,8;null;
2015-08-31;3;10,4;978,4;25,1;4,6;1,7;
2015-09-30;4;89,4;976,7;27,2;6,4;1,8;
2015-10-31;13;80,2;976,8;27;5,8;1,5;
2015-11-30;17;397,2;975,5;26,5;8;1,4;
2015-12-31;20;253;976,8;26,2;5,3;1,3;
2016-01-31;21;274,8;975,2;26,3;5;1,6;
2016-02-29;25;262,8;977,1;26;4,5;1,2;
2016-03-31;21;112,6;978,4;25,7;4,9;1,1;
2016-04-30;9;43,8;978,1;25,1;4,4;1,2;
2016-05-31;17;23,4;980,8;23;3,9;1,1;
2016-06-30;13;25,6;982,5;20,8;3,6;1,2;
2016-07-31;0;0;980,6;22,1;5,7;1,6;
2016-08-31;8;113,4;979,5;23,7;7,6;1,8;
2016-09-30;8;42,4;979,9;23,3;5,9;1,6;
2016-10-31;11;60;976,5;25,7;5,7;1,6;
2016-11-30;20;290,8;975,8;25,1;4,9;1,3;
2016-12-31;25;219,8;976;25;6;1,4;
2017-01-31;25;289,4;976,7;25,3;6;1,2;
2017-02-28;26;302;976,4;25,1;5,3;1,1;
2017-03-31;null;null;977,1;25,4;4,1;1,1;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;3;12,4;978,1;26,5;4,6;1,5;
2017-10-31;11;110,4;976,2;26,1;6,5;1,6;
2017-11-30;18;289;974,8;26,4;4,6;1,3;
2017-12-31;31;79,4;975,1;25,7;4,8;1,3;
2018-01-31;null;null;976,2;25,5;4,8;1;
2018-02-28;null;null;975,8;25,3;4,4;1,1;
