Nome: CACERES
Codigo Estacao: A941
Latitude: -16.07472221
Longitude: -57.69305555
Altitude: 123.53
Situacao: Fechada
Data Inicial: 2012-03-29
Data Final: 2021-01-07
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-03-31;1;null;null;null;null;null;
2012-04-30;4;3,6;997,4;26,7;4,7;1,3;
2012-05-31;5;1,2;999,4;24,6;3,8;1,2;
2012-06-30;5;2,2;1000,5;23,6;4;1,2;
2012-07-31;3;,6;1001;22,8;3,4;1,3;
2012-08-31;null;0;1000,4;26,1;4,2;1,5;
2012-09-30;5;57,2;998,1;28,1;5,1;1,5;
2012-10-31;7;23,4;995,5;29,2;7,8;1,7;
2012-11-30;2;null;null;null;6,3;null;
2012-12-31;14;202;995;27,2;6,9;1,5;
2013-01-31;19;122,6;995,7;27,2;5,7;1,4;
2013-02-28;16;159,4;996,1;26,7;5;1,5;
2013-03-31;15;130,8;996,7;27,2;5,9;1,3;
2013-04-30;13;77,8;998,6;25,3;4;1,2;
2013-05-31;5;32,6;999,5;24,6;4,3;1,3;
2013-06-30;9;44,8;999,7;24,9;3,2;1,1;
2013-07-31;5;20,8;1001,7;22,9;3,9;1,3;
2013-08-31;0;0;1000,6;23,6;5,1;1,6;
2013-09-30;6;19,8;998,2;27,1;4,6;1,6;
2013-10-31;10;147,4;997;27,3;6,1;1,4;
2013-11-30;12;96,4;995;27,3;6,6;1,5;
2013-12-31;22;115,8;994,6;27,1;6;1,5;
2014-01-31;23;331,4;997,3;26,6;5,8;1,5;
2014-02-28;21;312,6;996,3;25,5;5,6;1,3;
2014-03-31;17;195,6;996,8;26,6;7;1,4;
2014-04-30;13;105;998,1;26,2;5,4;1,3;
2014-05-31;23;103,4;999,4;24;4,2;1,2;
2014-06-30;2;null;1000,4;24;3,2;1,3;
2014-07-31;9;14,8;1002,4;22,3;5,4;1,2;
2014-08-31;5;8,4;1000;25,2;3,3;1,3;
2014-09-30;7;48,6;997,1;28,5;4,8;1,4;
2014-10-31;8;131,4;996,6;28,4;5,9;1,4;
2014-11-30;15;196,8;995,6;27,2;5,2;1,4;
2014-12-31;26;123,2;995,9;26,7;7;1,4;
2015-01-31;11;2,2;997,9;27;5,4;1,3;
2015-02-28;3;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;2;null;null;null;null;null;
2015-05-31;11;45,4;999,6;25,5;4,5;1,1;
2015-06-30;null;null;null;null;3,4;null;
2015-07-31;1;null;null;null;3,3;null;
2015-08-31;null;null;null;null;5,7;null;
2015-09-30;null;null;null;null;3,4;null;
2015-10-31;3;null;null;null;5,1;null;
