Nome: SAO JOSE DO XINGU
Codigo Estacao: A942
Latitude: -10.48416666
Longitude: -52.37249999
Altitude: 300
Situacao: Pane
Data Inicial: 2019-02-18
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;6;null;null;null;null;null;
2019-03-31;24;250;978,1;25,2;5;1,3;
2019-04-30;16;120,4;977,7;26;6,9;1,1;
2019-05-31;10;22,8;977,8;26,6;3,9;1;
2019-06-30;0;0;980;25,6;4;1,4;
2019-07-31;0;0;979,9;25,4;4,8;1,5;
2019-08-31;null;0;979,9;26,8;6,7;1,6;
2019-09-30;6;50,6;977,2;28,4;7,4;1,7;
2019-10-31;16;170,2;976,8;25,9;8,8;1,7;
2019-11-30;18;278,4;975,9;26,1;6,7;1,5;
2019-12-31;19;177,4;976,2;26,2;7,2;1,3;
2020-01-31;26;253,8;977,4;25,6;7;1,6;
2020-02-29;19;244;977,8;25,9;6,3;1,4;
2020-03-31;21;255,4;977,5;25,6;5,1;1,5;
2020-04-30;16;237,2;978,4;25,8;6;1,2;
2020-05-31;5;45,4;979,5;25,7;3,4;1,1;
2020-06-30;0;0;979,6;25,3;4,1;1,2;
2020-07-31;0;0;979,2;25,4;4,3;1,4;
2020-08-31;1;1;978,3;27,1;4,9;1,6;
2020-09-30;1;12,8;977;28,5;5,5;1,7;
2020-10-31;14;145,4;976,2;27;10,1;1,9;
2020-11-30;19;104;976,3;26,1;7,8;1,6;
2020-12-31;22;220,8;976,6;25,5;8,5;1,5;
2021-01-31;18;null;976,6;25,2;5,3;1,4;
2021-02-28;21;282,2;976,7;25,2;6,5;1,8;
2021-03-31;21;180,6;977,4;24,9;6,8;1,3;
2021-04-30;19;144,2;977,4;25,2;4,8;1,2;
2021-05-31;2;6,4;978,9;25,6;3,2;1,1;
2021-06-30;0;0;979,3;25,5;3,9;1,3;
2021-07-31;null;null;null;25,3;4,4;null;
2021-08-31;null;null;null;null;4,3;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;1;null;null;25,6;null;null;
2023-07-31;0;0;980;25,8;null;null;
2023-08-31;4;19,6;978,2;27,5;null;null;
2023-09-30;12;68;977;28,2;null;null;
2023-10-31;11;67,4;976;28,1;null;null;
2023-11-30;12;214;976,1;27,4;null;null;
2023-12-31;15;null;976,3;26,8;null;null;
2024-01-31;21;393;977,8;25,8;null;null;
2024-02-29;16;null;978,2;26,1;null;null;
2024-03-31;23;222,8;977,5;26,4;null;null;
2024-04-30;19;146,8;977,3;26,1;null;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;null;null;null;null;null;null;

