Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Pane
Data Inicial: 2019-03-28
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-03-31;null;null;null;null;null;null;
2019-04-30;12;null;961,7;25,7;9,1;2,2;
2019-05-31;5;19,2;961,7;26,7;6,3;2,6;
2019-06-30;1;7,8;964,2;26,2;8,5;3,4;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;6;null;null;25,3;9,1;null;
2020-01-31;19;279,8;960,9;24,9;8,6;2,5;
2020-02-29;20;352,8;961,4;25,3;7;2,4;
2020-03-31;24;197,4;961,1;25,2;8,7;2,4;
2020-04-30;16;291;962,2;25,6;7,3;2,5;
2020-05-31;4;110;963,4;25;7;2,9;
2020-06-30;0;0;963,7;25,6;7,8;3,2;
2020-07-31;0;0;963,4;26,2;8,9;3,5;
2020-08-31;0;0;962,5;27,9;9,8;3,7;
2020-09-30;2;5,8;961,1;29,8;8,9;3,7;
2020-10-31;12;121,2;959,8;27,8;14,5;3,2;
2020-11-30;13;68,4;960;26,2;9,3;3,2;
2020-12-31;20;323;960,2;25,5;8,6;2,4;
2021-01-31;13;null;960,3;25;7,8;2,4;
2021-02-28;20;463;960,2;24,2;8,3;2,4;
2021-03-31;16;137,4;961;25,1;8,2;2,6;
2021-04-30;14;185;961,2;25,3;9,9;2,5;
2021-05-31;1;,2;962,8;25,9;5,9;2,4;
2021-06-30;null;null;null;26,4;6,5;null;
2021-07-31;null;null;null;null;9,1;null;
2021-08-31;null;null;null;null;8,3;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;8,9;null;
2022-08-31;0;0;962,4;28,4;9,5;3,8;
2022-09-30;null;null;null;null;12,1;null;
2022-10-31;7;143;959,9;27,9;13,6;3,4;
2022-11-30;16;null;959,9;25,2;10,7;2,7;
2022-12-31;20;null;959,8;24,2;8,9;2,3;
2023-01-31;21;null;961,3;24,1;8,3;2;
2023-02-28;13;null;null;null;6,5;null;
2023-03-31;7;null;null;null;10,8;null;
2023-04-30;11;154;961,1;25,6;8,3;2;
2023-05-31;3;70,8;962,6;26,2;6,2;2,5;
2023-06-30;2;null;null;null;6,7;null;
2023-07-31;null;null;964,3;26,9;9,5;3;
2023-08-31;5;60,8;962,2;28,6;8,8;2,9;
2023-09-30;4;49,4;960,9;29,7;14,8;2,7;
2023-10-31;8;109,4;959,7;28,9;9,1;2,5;
2023-11-30;11;50,2;959,8;27,8;10,9;2,3;
2023-12-31;10;null;960;27,3;9,6;2,6;
2024-01-31;11;null;null;null;5,9;null;
2024-02-29;null;null;null;null;null;null;
2024-03-31;null;null;null;null;null;null;
2024-04-30;null;null;null;null;null;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;null;null;null;null;null;null;

