Nome: VITORIA DA CONQUISTA
Codigo Estacao: A414
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.38
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;12;50,4;916,7;22,3;5,8;2,5;
2010-02-28;7;8,4;916,5;23,1;6,1;2,6;
2010-03-31;18;176;916;22,5;5,3;2,1;
2010-04-30;19;76,2;917,1;20,9;5,9;2,3;
2010-05-31;9;16,8;917,5;20,7;5,5;2,1;
2010-06-30;15;20,6;920,8;17,9;6,2;2,6;
2010-07-31;26;46,8;921,3;17,4;6,2;3;
2010-08-31;18;19,6;921,1;17,1;6;2,7;
2010-09-30;10;15;919,4;18,8;6;3;
2010-10-31;7;33;916,4;22,1;6,4;3;
2010-11-30;6;null;null;null;6,5;null;
2010-12-31;13;171,8;913,7;21,7;5,4;2,3;
2011-01-31;16;35,4;915,1;21,2;5,4;2,3;
2011-02-28;7;34;915,7;21,9;7,4;2,4;
2011-03-31;14;56,2;915;22,1;5,5;2,2;
2011-04-30;23;68,4;917;20,6;5,3;2,3;
2011-05-31;13;22,2;918,2;18,9;4,9;2,4;
2011-06-30;8;6,4;919,3;18,4;5,7;2,5;
2011-07-31;16;27;920,1;17,5;6,5;2,4;
2011-08-31;11;6,4;920;18,8;5,7;2,7;
2011-09-30;11;12,2;920,7;18,1;6,3;3,2;
2011-10-31;11;72,6;916,3;20,4;6;3;
2011-11-30;20;111,6;916,4;19,4;5,8;2,6;
2011-12-31;15;119,4;915,7;21,2;5,7;2,3;
2012-01-31;9;19,2;916,6;21,3;5,2;2,5;
2012-02-29;9;24,2;916,6;21,3;5,9;2,6;
2012-03-31;2;12,6;916,8;22;5,9;2,5;
2012-04-30;2;1,2;916,8;22;5,7;2,6;
2012-05-31;17;28;918,9;19,3;5,7;2,5;
2012-06-30;13;18,8;920,1;19,3;5,9;2,5;
2012-07-31;14;17,8;920,5;17,9;5,8;2,6;
2012-08-31;18;53,6;922,2;17,2;6,6;3,2;
2012-09-30;9;7,6;920,5;19,4;6,5;3,1;
2012-10-31;9;49;917,8;20,5;5,8;2,9;
2012-11-30;18;344,8;915,3;21,1;5,7;2,1;
2012-12-31;3;3,8;915,5;22,5;5,8;2,5;
2013-01-31;10;101,4;916,3;22,6;5,3;2,5;
2013-02-28;7;64,6;916,6;21,8;5,5;2,6;
2013-03-31;5;3;916,6;22,9;5,8;2,5;
2013-04-30;11;61;917,7;20,9;5,4;2,4;
2013-05-31;13;13,4;918,5;20,1;4,9;2,3;
2013-06-30;18;37,8;919,7;19;5,3;2,3;
2013-07-31;17;17,6;920,8;18,2;5,3;2,5;
2013-08-31;17;19;920,3;18,1;5,6;2,7;
2013-09-30;14;20,6;919,5;19,6;5,9;3,1;
2013-10-31;9;28,2;918,1;20,4;5,7;3;
2013-11-30;10;32,6;915,9;21,6;5,7;2,9;
2013-12-31;20;233,6;915;22;5,8;2,4;
2014-01-31;15;60,4;917,5;21,1;5;2,5;
2014-02-28;15;32,2;916,8;21,2;5;2,5;
2014-03-31;16;39,4;917;21,7;4,7;2,4;
2014-04-30;7;30;917,3;21,6;5;2,3;
2014-05-31;6;16;918,3;20,2;5,1;2,4;
2014-06-30;21;40;920,1;18,6;5,9;2,4;
2014-07-31;19;28,4;922,2;17,8;5,6;2,7;
2014-08-31;10;5;921,1;18,2;6,9;2,8;
2014-09-30;6;5;919,6;19,9;6,5;3,2;
2014-10-31;8;48,6;918,8;20,3;7;3,2;
2014-11-30;14;199,2;916,5;20,8;5,4;2,5;
2014-12-31;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;1;null;null;null;null;null;
2015-07-31;8;null;null;17,8;5,2;null;
2015-08-31;17;46,2;920,9;17,8;5,8;2,6;
2015-09-30;2;,4;918,6;21,1;6,8;2,9;
2015-10-31;5;23,6;918,4;22,2;5,3;2,8;
2015-11-30;7;53,2;915,8;23,9;5,7;2,6;
2015-12-31;3;54,4;917,5;23,9;5,6;2,7;
2016-01-31;21;216,2;916,2;22,7;5,9;2,2;
2016-02-29;10;3,8;917,7;22,8;5,3;2,2;
