Nome: APUI
Codigo Estacao: A113
Latitude: -7.20555555
Longitude: -59.8886111
Altitude: 156.97
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;5,1;null;
2010-02-28;null;null;null;null;4,9;null;
2010-03-31;2;null;null;null;5,1;null;
2010-04-30;null;null;null;null;4,1;null;
2010-05-31;2;null;null;null;4,1;null;
2010-06-30;6;null;994,3;null;4,3;,9;
2010-07-31;null;null;994,1;25,8;5;1;
2010-08-31;null;null;993,5;26,6;4,6;,9;
2010-09-30;null;null;991,7;27,2;6,2;,9;
2010-10-31;null;null;991,6;26,5;5,2;1,1;
2010-11-30;null;null;990,5;25,6;6,1;,9;
2010-12-31;null;null;990,1;25,5;7,1;,6;
2011-01-31;null;null;991;25;4;,7;
2011-02-28;null;null;991,9;24,9;6;,9;
2011-03-31;null;null;991,5;25,3;4;,9;
2011-04-30;null;null;992,4;25,3;3,5;,8;
2011-05-31;null;null;992,7;25,7;4,4;,9;
2011-06-30;null;null;993,5;26,1;4;1;
2011-07-31;null;null;993,3;26,3;4,8;1;
2011-08-31;null;null;993,3;26,7;4,5;,8;
2011-09-30;null;null;993,3;26;9,1;,5;
2011-10-31;null;null;990,8;26,2;6,8;,6;
2011-11-30;null;null;990,9;25,6;4,6;,5;
2011-12-31;null;null;991;25,8;5,2;,5;
2012-01-31;null;null;992,2;25;4,2;,4;
2012-02-29;null;null;992;24,6;3,4;,4;
2012-03-31;null;null;992,7;25;3,5;,4;
2012-04-30;null;null;992,3;25,6;5,8;,4;
2012-05-31;null;null;993,2;25,8;5,8;,5;
2012-06-30;null;null;994,4;25,8;5,8;,5;
2012-07-31;null;null;994,1;26,1;4,7;,7;
2012-08-31;null;null;994;26,9;5;,7;
2012-09-30;null;null;993,8;26,5;8,4;,6;
2012-10-31;4;110;991,5;26,5;4,6;,8;
2012-11-30;21;195;990,7;26;5,2;,9;
2012-12-31;25;204,6;990,9;25,5;3,7;,8;
2013-01-31;26;594,8;992,2;25,4;4,5;,9;
2013-02-28;27;463,6;991,8;25,1;4,5;,7;
2013-03-31;24;245,2;992,4;25,8;4,7;,8;
2013-04-30;25;220,6;992,8;25,5;4,5;,7;
2013-05-31;24;202,4;993,3;25,8;3,6;,6;
2013-06-30;12;67;993,6;26;4,6;,7;
2013-07-31;8;58,6;994,8;25,5;4,2;,8;
2013-08-31;5;12,2;993,2;26,2;5;,9;
2013-09-30;14;152;992,9;26;5,4;,8;
2013-10-31;21;260,2;992,1;25,7;8,3;,9;
2013-11-30;24;452,8;990,7;25,1;3,6;,6;
2013-12-31;24;449,2;991,3;25,5;4,2;,4;
2014-01-31;25;298;992,4;24,9;4,3;,5;
2014-02-28;null;null;991,9;24,8;4,3;,5;
2014-03-31;null;null;992,4;25,4;4,9;,5;
2014-04-30;null;null;992,9;25,5;4,6;,5;
2014-05-31;null;null;993,1;25,4;5,3;,4;
2014-06-30;null;null;993,6;26,3;4,2;,7;
2014-07-31;null;null;995,2;26,1;4,3;,6;
2014-08-31;null;null;993,8;26,5;6,1;,5;
2014-09-30;3;null;992,8;26,6;4,2;,5;
2014-10-31;17;141;992,3;26;5,6;,5;
2014-11-30;8;153,2;991,4;26;3,5;,5;
2014-12-31;null;null;991,7;25,6;6,3;,5;
2015-01-31;12;229,8;993,2;24,8;4,8;,5;
2015-02-28;7;62,2;992,7;25,4;4,2;,6;
2015-03-31;20;368,6;992,7;25,3;3,4;,4;
2015-04-30;26;299,4;993;25,6;3,4;,4;
2015-05-31;22;291;993,6;25,5;3,8;,4;
2015-06-30;5;64,8;994,5;26;3,8;,5;
2015-07-31;null;null;994,3;26;4,5;,5;
2015-08-31;null;null;992,8;27,6;4;,6;
2015-09-30;null;null;992;27,5;6;,5;
2015-10-31;3;120,2;992;26,8;5,9;,5;
2015-11-30;18;211,6;990,7;26,6;7,4;,5;
2015-12-31;16;163,4;992,2;26,1;4,7;,3;
2016-01-31;22;294,4;991,9;26,2;3,3;,5;
2016-02-29;24;324,4;992,1;26,3;4,9;,6;
2016-03-31;9;null;null;null;3,7;null;
2016-04-30;22;214,6;992,5;26;5,6;,5;
2016-05-31;20;188;994;26,1;4,4;,4;
2016-06-30;11;67,8;995,4;25,8;3,6;,5;
2016-07-31;1;1;994,2;26,6;4;,5;
2016-08-31;8;98,2;993,6;26,8;5;,5;
2016-09-30;24;226,8;993,8;25,7;5;,5;
2016-10-31;18;223;991,5;26,2;5;,5;
2016-11-30;21;244;990,7;26;4,7;,5;
2016-12-31;27;791,2;991,7;25,2;6,3;,4;
2017-01-31;25;393,2;992,6;24,8;3,7;,5;
2017-02-28;5;null;null;null;null;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;8;null;null;null;null;null;
2017-09-30;14;117,4;992,8;25,8;7,2;,5;
2017-10-31;20;269,8;991,6;25,8;5,1;,5;
2017-11-30;20;348;990,6;25,5;6,6;,5;
2017-12-31;26;425,8;991,3;25,3;4,1;,5;
2018-01-31;25;335,2;992;24,9;4,2;,5;
2018-02-28;24;null;992,2;24,7;4,8;,5;
2018-03-31;null;null;null;null;3,2;null;
2018-04-30;null;null;null;null;3,4;null;
2018-05-31;null;null;null;null;3;null;
2018-06-30;null;null;null;null;null;null;
2018-07-31;null;null;null;null;null;null;
2018-08-31;null;null;null;null;null;null;
2018-09-30;null;null;null;null;null;null;
2018-10-31;1;null;null;null;null;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;null;null;null;null;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;6;null;null;null;5;null;
2019-11-30;18;null;991;25,2;4,5;1;
2019-12-31;24;null;991,5;25,2;3,9;,9;
2020-01-31;4;null;null;null;3,7;null;
2020-02-29;null;null;null;null;3,6;null;
2020-03-31;null;null;null;null;3,9;null;
2020-04-30;2;null;null;null;4,1;null;
2020-05-31;1;null;null;null;3,8;null;
2020-06-30;null;null;null;null;3,5;null;
2020-07-31;null;null;null;null;3,8;null;
2020-08-31;null;null;null;null;4,5;null;
2020-09-30;null;null;null;null;6,2;null;
2020-10-31;null;null;null;null;6,9;null;
2020-11-30;null;null;null;null;5,2;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;2;null;993,3;25,8;4,2;1,1;
2022-08-31;10;109,2;993,4;25;5,2;1;
2022-09-30;9;46,8;992,3;26;6,3;1;
2022-10-31;17;256,4;991,7;25,4;6,3;1,1;
2022-11-30;16;209,6;991,5;25,1;4,7;1,1;
2022-12-31;27;588,2;991,3;24,2;4,8;,9;
2023-01-31;28;468,4;993;23,8;5,2;,9;
2023-02-28;26;299,2;992,6;24,3;3,7;,9;
2023-03-31;2;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;8;null;null;null;null;null;
2023-08-31;4;null;null;null;null;null;
2023-09-30;3;null;null;null;null;null;
2023-10-31;3;null;null;null;4,3;null;
2023-11-30;8;null;null;null;5,1;null;
2023-12-31;26;388,8;991,5;25,1;5,2;1;
2024-01-31;18;null;null;25;4,6;,9;
2024-02-29;null;null;null;null;null;null;
2024-03-31;null;null;null;null;null;null;
2024-04-30;null;null;null;null;null;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;null;null;null;null;null;null;

