Nome: ITACOATIARA
Codigo Estacao: A121
Latitude: -3.13333333
Longitude: -58.48277777
Altitude: 41.54
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;21;120,2;1004,6;26,6;5,2;1,1;
2010-02-28;18;150,4;1003,8;27;4,5;1,1;
2010-03-31;16;57;1004,5;27,9;5,5;1,2;
2010-04-30;0;0;1005,2;26,5;3,5;1;
2010-05-31;1;,2;1005,6;27,1;5,1;1;
2010-06-30;1;,2;1007,1;26,8;3,2;,7;
2010-07-31;0;0;1006,7;26,9;5,8;1,1;
2010-08-31;9;13,4;1006,2;28;4;1;
2010-09-30;5;12,2;1004,5;29;3,9;1,3;
2010-10-31;10;52,2;1004,2;28,3;4,3;1;
2010-11-30;12;47,8;1003,1;27,5;4,3;1,2;
2010-12-31;23;352,8;1003;26,3;5,7;1;
2011-01-31;22;395,8;1003,9;25,7;4,5;1;
2011-02-28;23;401;1004,9;25,4;4,4;,9;
2011-03-31;19;359,8;1004,6;26;5;1,1;
2011-04-30;23;304,6;1005,4;25,8;3,4;,7;
2011-05-31;17;21,4;1005,3;26,2;4,3;,7;
2011-06-30;15;109,6;1006,1;27;4,1;,8;
2011-07-31;11;57,4;1006,1;27,1;4,1;,7;
2011-08-31;7;89,6;1006,1;28;5,1;1;
2011-09-30;7;46,6;1005,9;28,2;4,9;1;
2011-10-31;12;208,2;1003,5;27,4;4,7;1;
2011-11-30;8;98,8;1003,5;27,3;3,8;1;
2011-12-31;14;189,8;1003,6;27;4,7;,8;
2012-01-31;14;null;1005;25,7;4,5;,7;
2012-02-29;8;null;null;null;4,1;null;
2012-03-31;26;316,8;1005,5;25,9;4,5;,9;
2012-04-30;23;294,2;1005,2;26,4;3,2;,9;
2012-05-31;19;188,4;1005,9;26,7;4,4;,9;
2012-06-30;12;105,6;1007;26,9;5;1;
2012-07-31;20;168,4;1006,8;26,4;4,1;,9;
2012-08-31;18;14,4;1006,8;27,3;4,2;1;
2012-09-30;9;33,8;1006,5;28;3,7;1,1;
2012-10-31;7;11,4;1004;28,6;4,6;1,2;
2012-11-30;11;105,4;1003,2;28,3;3,7;1,2;
2012-12-31;17;229,4;1003,8;26,4;4,9;1,1;
2013-01-31;19;12,6;1005,3;26,3;4,1;1,1;
2013-02-28;11;null;1004,6;25,8;4,3;1;
2013-03-31;15;null;1005,5;25,7;5;1;
2013-04-30;17;null;1005,8;26,5;4,5;1,1;
2013-05-31;21;219,2;1006,3;26,4;3,5;,6;
2013-06-30;15;79,8;1006,4;27,2;,1;0;
2013-07-31;22;92,6;1007,7;26,5;,1;0;
2013-08-31;9;101;1006,1;27,1;,1;0;
2013-09-30;10;80,4;1005,7;27,6;,1;0;
2013-10-31;4;45,6;1004,7;28,3;,1;0;
2013-11-30;9;138,4;1003,4;27;,1;0;
2013-12-31;16;128,6;1004,2;27,4;,1;0;
2014-01-31;17;149;1005,2;26,6;,1;0;
2014-02-28;23;347,8;1004,7;26;,1;0;
2014-03-31;24;413,6;1005,4;26,2;,1;0;
2014-04-30;23;278,2;1005,8;26,5;,1;0;
2014-05-31;21;234;1006;26,3;2,7;,3;
2014-06-30;15;158,6;1006,4;26,8;4,7;1;
2014-07-31;13;100,2;1008,1;26,8;4,5;1;
2014-08-31;7;62,8;1006,8;27,4;3,9;1,1;
2014-09-30;3;10,4;1005,6;28,7;4,4;1,4;
2014-10-31;13;202,8;1005;27,6;5,5;1,2;
2014-11-30;13;221,4;1004;27,3;7,2;1,1;
