Nome: MAUES
Codigo Estacao: A122
Latitude: -3.39888888
Longitude: -57.67388888
Altitude: 25.49
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;28;314,6;1006,8;26,2;3,4;,8;
2010-02-28;25;178,2;1006;26,8;3,5;,8;
2010-03-31;29;216,4;1006,7;27;4,1;,7;
2010-04-30;24;480;1007,3;26,3;4,9;,6;
2010-05-31;26;256;1007,7;26,7;4;,5;
2010-06-30;22;166,6;1009,2;26,5;8,6;,5;
2010-07-31;20;169,4;1008,9;26,3;4,1;,5;
2010-08-31;18;48,8;1008,4;27,2;4,1;,5;
2010-09-30;5;6,4;1006,7;28;3,4;,6;
2010-10-31;14;75,8;1006,3;27,7;3,7;,7;
2010-11-30;16;113,6;1005,3;26,6;4,7;,6;
2010-12-31;21;268,2;1005,2;25,8;3,6;,5;
2011-01-31;26;409,6;1006,1;25,3;3,5;,6;
2011-02-28;22;335,2;1007;25,3;6,3;,7;
2011-03-31;21;336,4;1006,8;25,6;4,2;,7;
2011-04-30;28;406;1007,6;25,5;3;,6;
2011-05-31;24;289,6;1007,4;26;4,3;,5;
2011-06-30;21;94,6;1008,2;26,6;3,3;,4;
2011-07-31;19;95,4;1008,2;26,7;3,4;,4;
2011-08-31;17;145,8;1008,2;27,3;4,6;,4;
2011-09-30;13;47;1008;27,3;3,9;,4;
2011-10-31;13;87,8;1005,6;26,8;4,3;,4;
2011-11-30;11;null;1005,8;26,4;3,2;,4;
2011-12-31;20;198;1005,7;26,2;4,2;,3;
2012-01-31;28;373,8;1007,2;24,9;3,2;,3;
2012-02-29;27;443;1007;24,7;2,6;,3;
2012-03-31;28;412;1007,7;25,2;3,1;,4;
2012-04-30;28;377,4;1007,4;25,7;5,5;,5;
2012-05-31;26;211,6;1008;26;3,7;,6;
2012-06-30;20;122,4;1009,2;25,9;2,9;,5;
2012-07-31;23;193,4;1008,9;25,8;4,9;,4;
2012-08-31;16;63,2;1008,9;26,6;3,9;,5;
2012-09-30;16;94,8;1008,6;27,1;3,4;,5;
2012-10-31;13;52,2;1006,1;27,6;4,2;,5;
2012-11-30;null;null;1005,4;27,9;3,8;,5;
2012-12-31;22;183;1006;25,9;4,1;,6;
2013-01-31;27;298,4;1007,6;25,8;3,5;,5;
2013-02-28;21;307;1006,8;25,5;3,4;,4;
2013-03-31;26;208,4;1007,5;25,6;2,7;,3;
2013-04-30;null;null;1008;26,2;3,6;,3;
2013-05-31;24;126;1008,4;26;2,9;,3;
2013-06-30;17;116,2;1008,6;26,5;2,9;,5;
2013-07-31;20;240,6;1009,8;25,8;3,2;,5;
2013-08-31;16;113,2;1008,3;26,3;2,8;,5;
2013-09-30;10;143;1007,8;26,7;6,3;,6;
2013-10-31;11;97;1006,9;26,9;3,6;,6;
2013-11-30;16;86,4;1005,6;26,3;6,3;,7;
2013-12-31;20;180;1006,4;26,3;3,1;,6;
2014-01-31;21;124,4;1007,4;25,8;3,1;,7;
2014-02-28;22;270,8;1006,9;25,4;3,8;,7;
2014-03-31;27;361,2;1007,6;25,4;3,7;,6;
2014-04-30;25;319,4;1008;26;3,4;,5;
2014-05-31;25;274,2;1008,2;26;3,8;,5;
2014-06-30;20;114,2;1008,6;26,2;4,3;,5;
2014-07-31;17;110,4;1010,3;26;5,2;,6;
2014-08-31;18;130,2;1009;26,3;3,4;,5;
2014-09-30;10;59;1007,9;27,2;4,9;,7;
2014-10-31;13;89,8;1007,2;26,7;4;,6;
2014-11-30;10;null;1006,3;26,2;3,6;,4;
2014-12-31;5;null;1006,4;26,6;4;,5;
2015-01-31;20;null;1008,2;25,1;3,5;,4;
2015-02-28;15;null;1008;25,2;3,1;,4;
2015-03-31;12;null;1008,1;null;3,5;,4;
2015-04-30;22;null;1008,1;25,7;3,2;,4;
2015-05-31;14;null;1008,7;25,6;3,9;,4;
2015-06-30;8;null;1009,7;26,1;3,1;,4;
2015-07-31;13;53;1009,3;26,2;3,4;,4;
2015-08-31;8;null;1008,1;27;4,1;,6;
2015-09-30;2;null;1007,4;null;5;,7;
2015-10-31;6;null;1006,9;28;4,1;,7;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;16;110,8;1010,5;26,2;3,2;,5;
2016-07-31;11;105,6;1009,3;26,9;2,8;,5;
2016-08-31;11;137,2;1008,7;27,4;4,9;,5;
2016-09-30;19;100;1008,8;27;3;,5;
2016-10-31;null;null;null;null;null;null;
2016-11-30;null;null;null;null;null;null;
2016-12-31;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;7;null;null;null;null;null;
2017-03-31;25;472,8;1007,9;25,5;3,7;,4;
2017-04-30;29;369,8;1008;25,8;4,1;,4;
2017-05-31;23;173,6;1008,2;26,7;3,4;,4;
2017-06-30;16;79,6;1008,7;26,6;3,1;,3;
2017-07-31;13;106;1010,4;26,3;2,5;,3;
2017-08-31;13;76,4;1008,1;27,4;4,8;,4;
2017-09-30;16;68,8;1007,7;27,5;3,7;,3;
2017-10-31;12;112,2;1006,5;27,2;4,1;,4;
2017-11-30;14;116;1005,4;27,1;3,6;,4;
2017-12-31;19;282,2;1006,4;26;3,4;,4;
2018-01-31;26;276;1007,1;25,5;3,4;,3;
2018-02-28;3;null;null;null;2,2;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;2,9;null;
2018-05-31;null;null;null;null;1,8;null;
2018-06-30;8;null;null;25,8;1,8;null;
2018-07-31;14;120;1009,4;26,1;4,7;,2;
2018-08-31;8;33,4;1009,5;26,8;4,7;,3;
2018-09-30;9;76,2;1007;27,1;4,8;,4;
2018-10-31;null;null;1006,1;28;5,3;,5;
2018-11-30;null;null;1005,9;26,6;2,9;,4;
2018-12-31;6;51,6;1008,4;25,2;2,3;,4;
2019-01-31;9;23,4;1008,6;25,5;2,7;,5;
2019-02-28;27;365,6;1008,1;25,5;3,8;,5;
2019-03-31;25;88,2;1008,2;26,4;4,3;,7;
2019-04-30;24;33,2;1008,1;26,3;3,1;,5;
2019-05-31;null;null;1008;26,3;4,8;,4;
2019-06-30;null;null;1009,3;26,5;5,1;,4;
2019-07-31;14;null;1009,4;26,4;2,5;,5;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;1;null;null;null;null;null;
2019-11-30;18;199,2;1005,9;26,4;2,9;,4;
2019-12-31;28;290,4;1006,5;25,9;2,8;,3;
2020-01-31;21;243;1008;26,2;2,8;,4;
2020-02-29;23;212,6;1008,2;25,9;2,4;,4;
2020-03-31;20;226,6;1007,7;26,5;3,5;,4;
2020-04-30;28;370,8;1008,8;26,1;2,4;,3;
2020-05-31;22;null;1009;26,1;5,3;,2;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;2;null;null;null;null;null;
2022-04-30;25;456,6;1007,3;null;3,5;,5;
2022-05-31;24;265,6;1008,9;null;3,1;,6;
2022-06-30;20;202;1008,8;null;3,3;,5;
2022-07-31;16;66,2;1008,6;null;2,9;,5;
2022-08-31;16;90,2;1008,4;null;3,5;,5;
2022-09-30;10;46,8;1007,3;null;4,6;,5;
2022-10-31;15;106,8;1006,7;null;3,8;,5;
2022-11-30;8;101,4;1006,7;null;3,5;,5;
2022-12-31;23;293,6;1006,6;null;3,2;,5;
2023-01-31;28;417,6;1008,2;null;3;,3;
2023-02-28;25;null;1007,9;null;3,5;,3;
2023-03-31;24;210;1007,9;null;3;,6;
2023-04-30;25;229,8;1007,4;null;3,7;,6;
2023-05-31;11;null;null;null;2,7;null;
2023-06-30;12;null;null;null;2,5;null;
2023-07-31;9;44,4;1009,4;null;4;,5;
2023-08-31;7;27,6;1008,1;null;3;,5;
2023-09-30;10;178,6;1007,1;null;3,7;,5;
2023-10-31;11;130,4;1005,9;null;5,2;,5;
2023-11-30;11;110,4;1005,7;null;4,3;,6;
2023-12-31;19;215,8;1006,5;null;3,8;,5;
2024-01-31;17;207,2;1008,2;null;3,4;,5;
2024-02-29;17;null;1008;null;3,7;,6;
2024-03-31;11;null;null;null;3,1;null;
2024-04-30;null;null;null;null;null;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;null;null;null;null;null;null;

