Nome: CAMPINA GRANDE
Codigo Estacao: A313
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.17
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;13;73,2;951,2;24,4;7,6;3,1;
2010-02-28;9;14;950,7;25,2;6,4;3,2;
2010-03-31;3;11,2;950,7;26;7,1;3,2;
2010-04-30;14;85,8;950,8;25,1;6,5;2,8;
2010-05-31;6;3,8;951,5;24,8;6;2,5;
2010-06-30;14;48,8;953,7;23;5,7;2,2;
2010-07-31;19;41,4;953,9;21,6;5,9;2,3;
2010-08-31;20;79,2;954,6;21,2;5,9;2,5;
2010-09-30;11;31,8;953,4;22,1;6,6;3,2;
2010-10-31;5;12,8;951,6;24,3;6,7;3,5;
2010-11-30;4;4,2;950,2;24,6;7;4,1;
2010-12-31;6;37;949,1;24,7;7,3;3,7;
2011-01-31;11;52;949,5;24,3;6,9;3;
2011-02-28;10;129,4;950,2;24,7;6,7;3,3;
2011-03-31;10;113;950;24,9;6,3;2,9;
2011-04-30;20;172;950,4;24;6,7;2,3;
2011-05-31;20;342,8;951,4;22,7;5,1;2;
2011-06-30;19;119,4;953;22,1;5,3;2;
2011-07-31;23;291,8;953,5;20,9;5,6;2,4;
2011-08-31;4;null;null;null;5,5;null;
2011-09-30;null;null;null;null;6,2;null;
2011-10-31;null;null;null;null;null;null;
2011-11-30;1;null;null;null;null;null;
2011-12-31;6;18,4;951;24,3;null;null;
2012-01-31;12;59,6;951,2;23,8;null;null;
2012-02-29;9;88;950,8;23,8;null;null;
2012-03-31;9;14,6;951,4;24,4;null;null;
2012-04-30;7;5,4;951,2;24,7;6,5;3,3;
2012-05-31;13;55,4;952,7;23,8;6,9;3,2;
2012-06-30;18;194,8;954;22,3;6,1;2,6;
2012-07-31;19;50;954,2;21,2;5,6;2,6;
2012-08-31;13;6,2;955,4;21,4;5,8;3,1;
2012-09-30;6;3,8;954,9;22,6;6,5;3,6;
2012-10-31;7;7,8;952,4;23,1;7;4;
2012-11-30;2;,8;950,9;24,3;6,7;4,1;
2012-12-31;6;8,8;950,6;24,7;6,9;4,1;
