Nome: URUCARA
Codigo Estacao: A124
Latitude: -2.53472221
Longitude: -57.75805555
Altitude: 18.49
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;26;425,2;1007,3;27,1;4,1;1;
2010-02-28;22;237;1006,5;27,5;5,1;1,1;
2010-03-31;20;300,4;1007,3;27,8;4,3;1,1;
2010-04-30;20;436,6;1007,9;27;4,4;,7;
2010-05-31;20;287;1008,3;27,2;4;,6;
2010-06-30;9;28;1009,8;27,4;3,6;,8;
2010-07-31;16;86,8;1009,5;26,9;4,8;,8;
2010-08-31;8;39,4;1009,2;27,9;3,6;,7;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;13;114,6;1005,8;27,9;4,6;,8;
2010-12-31;21;316,4;1005,7;26,6;5,2;,7;
2011-01-31;25;306,8;1006,6;26,1;4,2;1;
2011-02-28;23;237,4;1007,6;25,8;3,7;,7;
2011-03-31;22;126;1007,3;26,2;4,4;,8;
2011-04-30;25;349,2;1008,1;26;3,4;,7;
2011-05-31;23;262,2;1008;26,6;3,9;,8;
2011-06-30;11;31,8;1008,8;27,3;3,9;,8;
2011-07-31;7;15,2;1008,8;27,6;3,5;1;
2011-08-31;5;null;1008,5;28,3;3,7;,9;
2011-09-30;5;34,8;1008,6;28,7;4,8;1,1;
2011-10-31;13;148;1006,1;28;5,6;1;
2011-11-30;8;149,4;1006,2;27,8;5,1;1;
2011-12-31;18;292,8;1006,3;27,2;4,2;,8;
2012-01-31;25;329,2;1007,7;25,8;4,3;,9;
2012-02-29;24;401,8;1007,5;25,5;4,8;,8;
2012-03-31;27;427,6;1008,3;25,9;4,8;,7;
2012-04-30;22;221,4;1007,9;26,7;4,1;,7;
2012-05-31;21;94,4;1008,6;26,7;4,2;,8;
2012-06-30;13;100,6;1009,8;26,8;3,3;,7;
2012-07-31;18;189,8;1009,5;26,6;4,6;,6;
2012-08-31;8;69,8;1009,6;27,7;5,2;,7;
2012-09-30;5;1,8;1009,2;28,7;4,5;,8;
2012-10-31;8;2,6;1006,7;28,7;3,5;,8;
2012-11-30;null;null;1005,9;29,1;4,3;,7;
2012-12-31;null;null;1006,5;26,7;4,6;,6;
2013-01-31;18;14,4;1008,1;26,5;4;,6;
2013-02-28;11;5,4;1007,3;26,2;4,1;,5;
2013-03-31;null;null;1008;26,3;3,9;,6;
2013-04-30;null;null;1008,5;26,5;4;,6;
2013-05-31;null;null;1009;26,5;3,7;,5;
2013-06-30;null;null;1009,1;27,4;4,8;,7;
2013-07-31;null;null;1010,4;26,5;4,2;,6;
2013-08-31;null;null;1008,9;27,6;5;,7;
2013-09-30;null;null;1008,4;27,9;5;,7;
2013-10-31;null;null;1007,4;28,7;3,9;,8;
2013-11-30;1;null;1006,1;27,2;4,4;,8;
2013-12-31;14;144,4;1006,9;27,4;4,9;,7;
2014-01-31;19;186;1007,9;27;4,3;,9;
2014-02-28;24;302,8;1007,5;26,2;4,3;,8;
2014-03-31;25;336,6;1008,2;26,1;5,5;,9;
2014-04-30;25;186,8;1008,6;26,6;4,1;,6;
2014-05-31;20;199,6;1008,7;26,5;3,6;,6;
2014-06-30;15;118,2;1009,2;27;4,6;,7;
2014-07-31;13;117,2;1010,9;27,1;4;,7;
2014-08-31;7;41,2;1009,5;28;6,3;,8;
2014-09-30;2;13;1008,4;29;4,1;1;
2014-10-31;15;127,4;1007,7;28,3;3,6;,7;
2014-11-30;10;133,2;1006,7;27,9;4;,6;
2014-12-31;12;104,8;1006,9;28,5;3,4;,7;
2015-01-31;18;177,8;1008,6;26,7;4;,6;
2015-02-28;1;null;null;null;3,4;null;
2015-03-31;null;null;null;null;3,7;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;1;null;null;null;null;null;
2015-06-30;15;107,8;1010,1;27,2;4,2;,7;
2015-07-31;9;61;1009,9;27,1;3,7;,7;
2015-08-31;2;26;1008,7;28,6;3,6;,8;
2015-09-30;0;0;1007,9;29,7;3,9;,9;
2015-10-31;4;74,8;1007,3;30,2;4;1;
2015-11-30;3;34,8;1006,1;29,4;4,2;,7;
2015-12-31;9;39,6;1007,5;29,6;4,9;,9;
2016-01-31;9;57,4;1007,5;29,3;4,6;1;
2016-02-29;20;230,4;1007,8;28;5,7;,9;
2016-03-31;28;576,2;1009,1;27,1;4,2;,6;
2016-04-30;21;282,2;1008,1;27,3;4,6;,7;
2016-05-31;14;156,2;1009,6;27,6;4,2;,6;
2016-06-30;14;169,6;1010,8;27,1;4,8;,5;
2016-07-31;13;29,8;1009,9;27,7;3,6;,6;
2016-08-31;4;35,6;1009,2;28,6;5;,7;
2016-09-30;9;127,2;1009,1;28,3;3,6;,6;
2016-10-31;11;129;1006,9;28,4;3,9;,7;
2016-11-30;9;19,6;1006;28,7;5;,7;
2016-12-31;21;309,8;1007,2;26,9;4,4;,6;
2017-01-31;18;219;1008,3;26,4;3,7;,6;
2017-02-28;19;343,4;1008,3;26,4;5,8;,6;
2017-03-31;21;478,4;1008,3;26,3;3,9;,6;
2017-04-30;22;349,8;1008,4;26,5;3,6;,5;
2017-05-31;12;62;1008,7;27,6;5,8;,7;
2017-06-30;15;99,6;1009,3;27,5;3,6;,6;
2017-07-31;8;59,4;1011;27,3;4,6;,6;
2017-08-31;2;20,4;1008,7;28,9;4,3;,8;
2017-09-30;6;47,8;1008,2;28,8;4;,6;
2017-10-31;13;143,8;1007;28,5;5;,7;
2017-11-30;9;73,4;1005,9;28,5;5,1;,6;
2017-12-31;4;null;null;null;3,8;null;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;5;16,2;1007,8;27;3,8;,7;
2018-04-30;null;null;1009,1;26,1;4,4;,6;
2018-05-31;null;null;1009,5;26,2;3,6;,6;
2018-06-30;null;null;1010,2;26,6;4,6;,7;
2018-07-31;null;null;1010;27;4,1;,6;
2018-08-31;null;null;1010;28;4,3;,9;
2018-09-30;null;null;1007,6;28,3;4,3;,9;
2018-10-31;3;33,6;1006,6;29,7;4,1;,9;
2018-11-30;3;19,8;1006,4;28,3;4;,8;
2018-12-31;12;93,4;1008,9;26,2;3,9;,6;
2019-01-31;20;208,8;1009,1;26,6;3,9;,8;
2019-02-28;22;296,8;1008,6;26,3;5,1;,6;
2019-03-31;24;197;1008,7;27,3;4,3;1;
2019-04-30;24;522;1008,6;26,8;3,9;,7;
2019-05-31;22;180,6;1008,6;26,9;4,2;,7;
2019-06-30;9;73,8;1009,9;27,4;5;,7;
2019-07-31;11;31;1010;27,6;4,6;,8;
2019-08-31;7;66,2;1010,4;28,1;6,9;,9;
2019-09-30;5;24,4;1008,5;29;4,8;1;
2019-10-31;12;78,8;1007,5;27,7;5,1;,8;
2019-11-30;13;78,4;1006,4;27,7;4,3;,8;
2019-12-31;23;162,4;1007;26,8;4,3;,7;
2020-01-31;20;115,4;1008,5;27,2;4,5;,7;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;17;244,4;1009,5;26,5;4,2;,8;
2022-06-30;21;151,8;1009,3;25,9;3,3;,7;
2022-07-31;13;167;1009,3;26,9;4,6;,8;
2022-08-31;8;80,8;1009;27,4;4,2;,9;
2022-09-30;1;2,8;1007,8;28,6;4,6;1,1;
2022-10-31;7;103;1007,2;27,3;5,1;,8;
2022-11-30;8;32;1007,3;26,9;4,9;,9;
2022-12-31;21;351,2;1007,2;25,7;5,5;,7;
2023-01-31;28;448,4;1008,7;24,7;5,2;,6;
2023-02-28;25;299,4;1008,4;25,1;4,9;,7;
2023-03-31;21;180,6;1008,4;25,8;4,7;,8;
2023-04-30;16;206,2;1008;25,6;3,6;,6;
2023-05-31;20;298,2;1008,8;26,1;3,8;,7;
2023-06-30;10;37,8;1010;26,4;3,7;,9;
2023-07-31;5;42,4;1010;27,2;3,9;,9;
2023-08-31;3;48,4;1008,7;28,2;4,6;1;
2023-09-30;4;17,4;1007,6;28,8;4,8;1;
2023-10-31;3;22,4;1006,5;29,1;5;1;
2023-11-30;9;71,2;1006,2;28,8;4,1;,8;
2023-12-31;13;194,4;1006,9;26,8;5,6;,6;
2024-01-31;24;202,6;1008,7;26,1;4,5;,7;
2024-02-29;19;144;1008,4;26,8;4,9;1;
2024-03-31;26;254;1008,2;26,3;4,2;,7;
2024-04-30;17;319;1008;26;4;,6;
2024-05-31;23;271,8;1008,4;26,3;5;,6;
2024-06-30;9;76,2;1009,2;26,8;4,4;,7;
2024-07-31;4;null;null;null;3,9;null;

