Nome: BARCELOS
Codigo Estacao: A128
Latitude: -0.98722221
Longitude: -62.92416666
Altitude: 29.88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;56,2;1005,7;27,3;6,2;1,3;
2010-02-28;20;141,4;1005,2;26,8;6,6;1,2;
2010-03-31;26;135,4;1005,9;27,2;9,1;1,1;
2010-04-30;26;497,6;1007;26,1;6,6;,9;
2010-05-31;24;245,4;1007,4;26,2;5,7;,8;
2010-06-30;21;112;1008,8;26,3;4,6;,8;
2010-07-31;24;110,6;1008,8;25,8;3,7;,9;
2010-08-31;14;43,8;1008,2;26,1;3,8;,8;
2010-09-30;7;38,8;1006,3;26,9;4,2;,8;
2010-10-31;11;50,8;1005,8;27;5,4;1;
2010-11-30;10;9;1004,8;26,4;3,8;1;
2010-12-31;15;112,6;1004,5;26,2;7,1;1;
2011-01-31;17;164,6;1005,1;26;4,6;1,2;
2011-02-28;24;301,4;1006,1;25,6;5,1;1,1;
2011-03-31;20;227,6;1006;25,6;5;1,1;
2011-04-30;26;240,2;1006,9;25,5;5,2;1;
2011-05-31;28;347,6;1007,1;25,7;4,6;,7;
2011-06-30;22;210;1007,9;25,9;4,5;,6;
2011-07-31;23;260,8;1007,8;25,9;5,6;,6;
2011-08-31;14;121,2;1007,9;26,3;4,1;,7;
2011-09-30;19;112;1007,8;26,2;5,6;,6;
2011-10-31;8;95;1005,1;26,5;7,6;,7;
2011-11-30;17;86,8;1005;26,4;5,7;,6;
2011-12-31;17;137,2;1005,1;26,6;4,5;,7;
2012-01-31;28;262,2;1006,3;25,8;6,7;,8;
2012-02-29;25;445,2;1006,1;25,3;5,5;,9;
2012-03-31;26;313;1006,9;25,6;5,1;,7;
2012-04-30;26;427,6;1007;25,4;5,7;,4;
2012-05-31;30;417,6;1007,6;25,7;4,3;,4;
2012-06-30;27;296,6;1008,7;25,8;4,4;,5;
2012-07-31;23;240,2;1008,7;25,5;4,1;,5;
2012-08-31;null;null;1008,8;26,2;6;,5;
2012-09-30;null;null;1008,3;25,9;6,7;,5;
2012-10-31;null;null;1005,6;26,6;5,7;,5;
2012-11-30;11;108,4;1004,9;26,8;4,3;,5;
2012-12-31;22;261,6;1005,2;25,9;4,6;,6;
2013-01-31;15;81,8;1006,4;27;4,6;,9;
2013-02-28;26;429,2;1006,2;25,4;5,3;,7;
2013-03-31;24;223,8;1006,6;26,4;4,6;,8;
2013-04-30;19;190,6;1007,2;26,6;4,3;,7;
2013-05-31;25;321;1008;25,8;5,6;,5;
2013-06-30;6;null;null;null;null;null;
2013-07-31;8;null;null;null;null;null;
2013-08-31;15;173,2;1007,8;25,8;7,7;,7;
2013-09-30;3;null;null;null;null;null;
2013-10-31;16;83,6;1006,2;26,9;5,2;,8;
2013-11-30;23;182;1004,9;26;6,3;,8;
2013-12-31;16;60,4;1005,6;27,2;5,3;1,1;
2014-01-31;17;143;1006,3;26,4;4,9;1,1;
2014-02-28;18;236,8;1005,9;26;6,6;1,1;
2014-03-31;19;287,6;1006,5;26,1;4,9;,9;
2014-04-30;25;347;1007,3;26,1;6,2;,8;
2014-05-31;29;493,8;1007,7;26;5;,7;
2014-06-30;28;326;1008,5;26;4;,4;
2014-07-31;22;134,6;1010;25,8;5,1;,6;
2014-08-31;21;91,8;1008,9;26;6,6;,7;
2014-09-30;10;53,8;1007,3;27;7,6;,7;
2014-10-31;13;82,4;1006,9;26,2;5,6;,7;
2014-11-30;20;74,6;1005,7;26,6;4,6;,6;
2014-12-31;14;46,4;1005,7;27,2;5,1;1;
2015-01-31;19;111,2;1007,4;25,9;7;,9;
