Nome: PORTO WALTER
Codigo Estacao: A136
Latitude: -8.26722221
Longitude: -72.74777777
Altitude: 205.35
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;0;0;985,7;25,9;6,4;1,5;
2010-02-28;1;,2;985,5;26;6,6;1,4;
2010-03-31;2;1,8;986,2;25,8;4,8;1,3;
2010-04-30;10;29;987,1;26,2;6,8;1,3;
2010-05-31;3;12;988,1;25,1;5,2;1,2;
2010-06-30;4;10;989,7;25,2;4,1;1,1;
2010-07-31;0;0;989,6;23,5;5,2;1,2;
2010-08-31;null;0;988,7;25,5;5,4;1,1;
2010-09-30;0;0;986,6;26,5;7,4;1,4;
2010-10-31;0;0;986,1;25,7;6,8;1,4;
2010-11-30;null;null;null;null;null;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;10;null;null;null;5,4;null;
2011-04-30;20;215,6;986,7;25,3;5,4;1,3;
2011-05-31;null;null;null;24,6;5,5;1,2;
2011-06-30;null;null;null;24,7;6,2;1,1;
2011-07-31;null;null;null;25;4,6;1,2;
2011-08-31;1;,2;null;25,1;6,7;1,3;
2011-09-30;null;0;null;25,8;7,7;1,3;
2011-10-31;0;0;985,3;25,1;9,2;1,4;
2011-11-30;0;0;984,9;26;5,8;1,5;
2011-12-31;null;null;985,5;24,9;5,4;1,4;
2012-01-31;null;0;986,1;24,9;5,8;1,7;
2012-02-29;null;null;null;null;6,4;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;4;null;null;null;null;null;
2012-05-31;11;136,2;988,2;25,1;5,4;1,2;
2012-06-30;10;53;989,5;24,6;5;1,2;
2012-07-31;13;37,8;989,5;24,1;4,3;1,1;
2012-08-31;7;56,8;989,3;25,6;4,9;1,2;
2012-09-30;10;160,2;988,7;26,1;6,5;1,4;
2012-10-31;13;147,4;986,1;26;6,8;1,5;
2012-11-30;19;239,4;985;25,9;7,2;1,5;
2012-12-31;24;284,2;985,2;24,6;5,4;1,4;
2013-01-31;20;396,4;986,7;25,5;6;1,4;
2013-02-28;22;241,2;986,1;25,2;5,8;1,4;
2013-03-31;25;399,6;986,8;25,3;6;1,3;
2013-04-30;11;103,8;987,5;25,6;5,1;1,2;
2013-05-31;23;381;988,2;25;7,6;1,2;
2013-06-30;11;null;null;24,7;4,6;null;
2013-07-31;12;null;990,5;23,9;5,4;1,2;
2013-08-31;8;81,4;989,1;24,3;7,5;1,3;
2013-09-30;14;100,4;987,8;25,7;6,3;1,3;
2013-10-31;18;222,2;null;25,7;7,8;1,4;
2013-11-30;17;269,2;null;25,3;8,1;1,4;
2013-12-31;15;129,4;985,6;25,7;6,9;1,6;
2014-01-31;27;207,8;986,4;24,8;5,5;1,5;
2014-02-28;23;262,6;986;25,1;7,2;1,3;
2014-03-31;21;453;986,6;25;6,5;1,3;
2014-04-30;24;304,4;987,7;25,2;8,6;1,2;
2014-05-31;19;166,6;988;24,6;5,3;1,2;
2014-06-30;11;56;988,7;25,3;6,2;1,2;
2014-07-31;null;null;null;null;4,8;null;
2014-08-31;null;null;null;null;5;null;
2014-09-30;null;null;null;null;4,6;null;
2014-10-31;null;null;null;null;null;null;
2014-11-30;null;null;null;null;null;null;
2014-12-31;null;null;986;25,5;6;1,5;
2015-01-31;null;null;987,9;24,7;5,7;1,4;
2015-02-28;null;null;986,8;25,3;7,2;1,4;
2015-03-31;null;null;987;25,2;6,3;1,3;
2015-04-30;null;null;987,8;25,1;7;1,2;
2015-05-31;null;null;988,6;25,1;4,6;1,1;
