Nome: FEIJO
Codigo Estacao: A138
Latitude: -8.14277777
Longitude: -70.3436111
Altitude: 157.17
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;25;289,8;991,2;25,5;6,5;1,5;
2010-02-28;20;223,6;null;26;5,2;1,5;
2010-03-31;24;188,8;null;26;7;1,4;
2010-04-30;18;122,2;null;26,2;5,4;1,4;
2010-05-31;21;59,8;null;24,6;10;1,4;
2010-06-30;18;46;null;24,7;4,5;1,2;
2010-07-31;12;31,2;null;23;6,8;1,5;
2010-08-31;6;13,6;null;24,5;5,8;1,3;
2010-09-30;12;104,6;null;26;8,6;1,4;
2010-10-31;11;120,8;null;26,2;7,1;1,7;
2010-11-30;20;188,8;null;25,3;7;1,5;
2010-12-31;17;199,6;null;25,4;9,6;1,5;
2011-01-31;27;180,8;null;25,1;5;1,5;
2011-02-28;28;55,8;null;24,7;6;1,4;
2011-03-31;29;60;null;24,8;6;1,3;
2011-04-30;null;null;null;25,2;6,4;1,3;
2011-05-31;null;null;992,9;24,5;5,7;1,4;
2011-06-30;null;null;993,8;24,6;5,4;1,3;
2011-07-31;null;null;993,7;24,2;5;1,2;
2011-08-31;null;null;993,9;24,6;9;1,4;
2011-09-30;null;null;993,6;25,8;8,2;1,4;
2011-10-31;null;null;990,5;25,5;7;1,5;
2011-11-30;null;null;990,2;25,9;7,9;1,5;
2011-12-31;20;360,4;990,8;25,2;7,2;1,4;
2012-01-31;null;null;991,5;24,6;5,7;1,5;
2012-02-29;null;null;991,3;24,7;6,9;1,4;
2012-03-31;null;null;992,5;25,1;6;1,4;
