Nome: PARANA
Codigo Estacao: A010
Latitude: -12.615
Longitude: -47.87194443
Altitude: 284.96
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;24;217,8;979;26;7;1,4;
2010-02-28;9;54,6;978,5;27;5,7;1,5;
2010-03-31;17;121;978,9;26,7;5,6;1,5;
2010-04-30;10;94,8;979,4;26,5;5,4;1,1;
2010-05-31;1;,4;979,5;26,8;4,9;,9;
2010-06-30;0;0;982,6;24,4;5,5;1,3;
2010-07-31;0;0;982,5;24,6;6,7;1,7;
2010-08-31;null;0;981,9;25,2;6,7;1,6;
2010-09-30;2;8;979,4;27,9;6,9;1,8;
2010-10-31;7;39;977,7;29;7;1,7;
2010-11-30;18;202,4;977,4;26,1;8,9;1,6;
2010-12-31;15;177,2;976,4;26,2;7,7;1,5;
2011-01-31;27;259;977,6;25,7;6,3;1,5;
2011-02-28;14;119;978,6;25,5;6,2;1,4;
2011-03-31;18;149;978,3;25,3;5,4;1,4;
2011-04-30;13;41;979,3;26,1;6,1;1,4;
2011-05-31;6;4,6;980,1;25,4;5,3;1,5;
2011-06-30;2;,4;981,5;24,5;5,5;1,4;
2011-07-31;0;0;981,7;24,2;5,5;1,4;
2011-08-31;0;0;980,8;26,5;5;1,2;
2011-09-30;0;0;980,6;27,7;5,9;1,6;
2011-10-31;13;117,4;977,9;27;10,1;1,9;
2011-11-30;21;253,4;978,6;24,9;8,1;1,6;
2011-12-31;18;176,6;978,2;25,6;6,1;1,3;
2012-01-31;12;236,8;979,2;24,6;7,1;1;
2012-02-29;null;null;978,9;25,1;7,8;1;
2012-03-31;11;90,6;978,9;26,3;8,4;1,3;
2012-04-30;7;82,6;978,7;26,7;6,1;1,3;
2012-05-31;7;30,8;980,7;25,1;5,2;1,6;
2012-06-30;1;,2;981,6;25,1;4,8;1,3;
2012-07-31;null;null;null;null;5,2;null;
2012-08-31;null;null;null;null;5,7;null;
2012-09-30;4;23,8;980,7;27,8;7,2;1,6;
2012-10-31;5;39,6;977,8;28,7;7,2;1,5;
2012-11-30;20;290,2;978;26;6,3;1,3;
2012-12-31;15;158,2;977,6;27,1;5,6;1,2;
2013-01-31;20;248,2;979,3;25,6;7,4;1,2;
2013-02-28;12;40,4;978,2;26,7;6,7;1,1;
2013-03-31;7;null;null;27,6;5,6;null;
2013-04-30;null;null;null;null;null;null;
2013-05-31;1;null;null;null;null;null;
2013-06-30;2;4,8;981,3;25,6;5,1;1,2;
2013-07-31;0;0;982;25,6;5,8;1,4;
2013-08-31;0;0;980,7;26,8;5,2;1,5;
2013-09-30;4;23,2;979,5;28,7;6,7;1,7;
2013-10-31;12;151,8;978,8;27,9;5,8;1,4;
2013-11-30;18;153,2;977,6;26,2;5,6;1,1;
2013-12-31;19;447,4;978;25,3;6,4;1,2;
2014-01-31;15;193;979,5;25,8;4,7;1,1;
2014-02-28;15;285,2;978,7;25,4;5,5;1,2;
2014-03-31;23;113;979,5;25,4;5,9;1;
2014-04-30;19;169,4;979,8;25,7;6,9;,5;
2014-05-31;11;17,8;980,4;25,4;3,6;,4;
2014-06-30;6;2,2;981,9;24,3;4,7;1;
2014-07-31;2;,4;983,7;24,2;5,2;1,3;
2014-08-31;0;0;981,9;25,4;4,9;1,2;
2014-09-30;5;16,6;979,5;28,5;5,2;1,4;
2014-10-31;13;106,8;979;28,2;8,6;1,6;
2014-11-30;17;157,8;978,2;26,6;7,9;1,3;
2014-12-31;22;190;979,2;25,4;5,6;1;
2015-01-31;9;52,2;979,6;27;7,5;,7;
2015-02-28;18;296;979,8;25,3;5,7;,8;
2015-03-31;20;200,6;979,5;25,3;4,5;,8;
2015-04-30;16;224,6;979,8;25,6;5,1;,8;
2015-05-31;9;81,2;981,2;25,1;4,1;1;
2015-06-30;4;,8;983;24,1;5,4;1,1;
2015-07-31;1;,2;982,5;24,3;4,6;1;
2015-08-31;0;0;981,5;25,2;4,7;1,1;
2015-09-30;null;null;978,7;28,7;4,2;,9;
2015-10-31;8;124,4;978,3;29,5;8,5;1,2;
2015-11-30;15;128;977,5;27,5;5,9;1,1;
2015-12-31;10;70,2;979;27,9;6,6;1,2;
2016-01-31;28;527;979,3;25,2;5,6;,9;
2016-02-29;10;42,2;979,4;27,2;7,2;,7;
2016-03-31;10;112,4;980;27;7,5;,7;
2016-04-30;1;2,6;979,2;27,2;5,2;,8;
2016-05-31;0;0;981,1;26,4;4,6;,8;
2016-06-30;1;5,4;982,8;25,1;4,8;1;
2016-07-31;0;0;982,3;24,9;4,5;,9;
2016-08-31;null;0;980,9;26,9;5,3;,9;
2016-09-30;null;null;null;null;4,2;null;
2016-10-31;8;null;978;28;5,7;1,3;
2016-11-30;16;107,8;977,6;27,3;5,3;1,1;
2016-12-31;18;95,8;978,4;26,7;5,4;,9;
2017-01-31;null;null;978,7;26,1;5,6;,8;
2017-02-28;null;null;979,3;24,8;5,3;,6;
2017-03-31;16;93,8;979;25,9;5,1;,5;
2017-04-30;12;158,2;979,4;26,4;3,9;,5;
2017-05-31;1;6,4;980,4;26,2;4,2;,7;
2017-06-30;0;0;982;24,5;4,6;,9;
2017-07-31;0;0;985;23,1;5,9;1,4;
2017-08-31;0;0;980,9;25,9;4,9;,9;
2017-09-30;0;0;981;27,8;5,2;1,3;
2017-10-31;2;2;977,4;30,4;5,4;1,1;
2017-11-30;9;null;null;null;5,5;null;
2017-12-31;3;null;978,4;25,1;5,4;,6;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;978,8;25,3;4;,6;
2018-03-31;null;null;979;25,6;4,2;,6;
2018-04-30;1;null;980,5;25,2;4,2;,5;
2018-05-31;2;null;981,5;24,9;4,3;,8;
2018-06-30;1;null;982,6;23,5;3,7;,7;
2018-07-31;0;0;982,3;23,2;4,3;,5;
2018-08-31;3;13,2;981,2;26,4;4,6;,7;
2018-09-30;1;null;null;null;5,2;null;
2018-10-31;3;null;null;null;6,3;null;
2018-11-30;null;null;null;null;4;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;12;null;null;25,5;5;null;
2019-03-31;20;234;979,6;25,5;3,9;,5;
2019-04-30;15;134,4;979,5;26,1;4;,2;
2019-05-31;5;34,4;979,6;26,3;3,1;,1;
2019-06-30;1;,2;982,6;24,3;4,3;,4;
2019-07-31;0;0;982,3;24,1;4,1;,5;
2019-08-31;null;0;982,6;26,2;5,2;,7;
2019-09-30;1;2,6;979,2;29,2;5,1;,8;
2019-10-31;null;null;977,6;28,5;6,9;,9;
2019-11-30;null;null;977;27,4;6,5;,6;
2019-12-31;null;null;977,4;27,5;4,8;,7;
2020-01-31;null;null;978,8;26,1;6;,6;
2020-02-29;null;null;979,4;26;5,2;,4;
2020-03-31;null;null;979,4;25,3;6;,5;
2020-04-30;null;null;980,3;25,8;4,1;,4;
2020-05-31;4;73,6;981,6;25;4;,4;
2020-06-30;1;,4;982,3;23,8;4,6;,3;
2020-07-31;0;0;982,1;23,1;4,8;,5;
