Nome: ALTO PARAISO DE GOIAS
Codigo Estacao: A024
Latitude: -14.13305554
Longitude: -47.52333332
Altitude: 1264.7
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;20;363,4;876;21;5,5;1,6;
2010-02-28;14;76,6;875,9;21,6;8;1,9;
2010-03-31;23;253,8;875,9;21,1;6,1;1,8;
2010-04-30;10;112,4;876,7;20,5;6,3;1,8;
2010-05-31;6;45,6;877;20,5;5,5;1,3;
2010-06-30;0;0;879,4;18,7;7,4;1,8;
2010-07-31;0;0;879,3;18,7;8,6;2,9;
2010-08-31;0;0;878,9;19,5;7,5;2,9;
2010-09-30;1;,4;877,1;22,3;7,8;3,1;
2010-10-31;21;166,4;875,4;22,4;6,1;2;
2010-11-30;23;248,2;874,4;20,2;7,6;1,9;
2010-12-31;null;null;873,3;20,7;7,6;1,9;
2011-01-31;null;null;874,3;20,6;6,2;2,1;
2011-02-28;null;null;875,3;20,5;6;1,5;
2011-03-31;null;null;874,9;20,2;6,4;1,7;
2011-04-30;13;54,2;876,5;20,2;6;2,2;
2011-05-31;3;37,8;877,1;19,1;6,1;2,3;
2011-06-30;0;0;878,2;18,6;7,5;2,1;
2011-07-31;0;0;878,4;18,8;9,1;2,8;
2011-08-31;0;0;878,2;21,1;7,6;2,5;
2011-09-30;0;0;878,2;22,2;8;2,9;
2011-10-31;20;232;875,2;20,3;7,3;2,3;
2011-11-30;24;187;875;19,7;6;2,2;
2011-12-31;23;169,2;875;20,3;6,2;2;
2012-01-31;26;356,2;875,6;19,5;6,3;2;
2012-02-29;16;198,6;875,7;20,1;6,5;2,1;
2012-03-31;13;121,6;876,2;21;5,8;1,7;
2012-04-30;null;null;876,2;21,3;6,6;1,8;
2012-05-31;null;null;877,8;19;6,6;2,3;
2012-06-30;16;null;878,7;19,4;6,8;2,1;
2012-07-31;null;null;878,7;19;8,5;2,4;
2012-08-31;null;0;879,8;19,1;8,8;3,4;
2012-09-30;2;24;878,4;22,5;6,8;2,4;
2012-10-31;12;92,6;875,8;22,7;9,6;2,2;
2012-11-30;23;317,6;874,6;20,4;6,2;2;
2012-12-31;15;114,2;875;21,9;6;1,9;
2013-01-31;26;267,2;875,8;20,2;5,7;2;
2013-02-28;12;107,8;875,7;21,4;6,1;1,9;
