Nome: BALSAS
Codigo Estacao: A204
Latitude: -7.45555555
Longitude: -46.02749999
Altitude: 271.03
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;196;980,2;25,6;8;1,6;
2010-02-28;12;155,2;979,5;26;10,7;1,6;
2010-03-31;20;88,8;980,1;26,4;6,1;1,3;
2010-04-30;11;131,4;980,2;26,6;7,3;1,3;
2010-05-31;5;50,4;980,4;27,1;7;1,3;
2010-06-30;2;15,8;982,8;26,2;9;1,8;
2010-07-31;1;3,2;982,5;25,9;7,2;2,1;
2010-08-31;null;null;982,1;26,4;7,9;2,4;
2010-09-30;null;null;980,5;29,2;8,3;2,4;
2010-10-31;null;null;null;null;6,9;null;
2010-11-30;null;null;null;null;6;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;10;null;null;null;5,1;null;
2011-03-31;20;157,2;979,7;25,3;5,9;1;
2011-04-30;18;74;980,1;25,9;7,2;1,1;
2011-05-31;4;31,4;980,7;26,3;6,5;1,6;
2011-06-30;0;0;981,9;25,9;7;1,7;
2011-07-31;2;2,2;982,2;25,4;7,8;2;
2011-08-31;0;0;981,8;27,3;7,3;2;
2011-09-30;0;0;981,5;28,5;7,9;2,3;
2011-10-31;9;122,4;978,8;27,8;8,2;1,9;
2011-11-30;21;148,8;979,4;25,4;7,3;1,4;
2011-12-31;17;173,2;979,3;25,7;6,9;1,2;
2012-01-31;26;223;980,1;24,5;8,8;1,1;
2012-02-29;19;135,8;979,9;24,6;8,2;1,4;
2012-03-31;15;124,4;980,4;25,3;7,5;1,1;
2012-04-30;10;50;980;26,2;7;1;
2012-05-31;6;28,8;981,1;26,2;9,6;1,3;
2012-06-30;3;2,6;982,3;26,1;5,9;1,5;
2012-07-31;0;0;982,2;26,2;7,2;2;
2012-08-31;null;0;983;26,8;8,1;2,5;
2012-09-30;1;6,4;981,8;28,8;6,7;2,1;
2012-10-31;6;46,6;979,1;29,5;7,4;2;
2012-11-30;6;null;null;null;null;null;
2012-12-31;1;null;null;null;5;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;11;null;979,4;26,1;5,5;1,3;
2013-03-31;23;137,2;980,3;25,8;7,9;1,1;
2013-04-30;11;38,8;980,9;26,3;6,8;1,1;
2013-05-31;7;73,4;981,4;26,3;7,9;1;
2013-06-30;3;1,4;982;25,9;6,2;1,1;
2013-07-31;2;,6;982,8;26,5;6,3;1,7;
2013-08-31;0;0;981,4;27,3;7,1;1,8;
2013-09-30;3;18;980,6;29;9,1;1,8;
2013-10-31;8;114,2;980,2;27,7;8,4;1,6;
2013-11-30;5;null;null;null;null;null;
2013-12-31;15;188;979,6;25,8;null;null;
2014-01-31;13;99,2;980,5;25,5;null;null;
2014-02-28;14;95,4;979,8;25,2;null;null;
2014-03-31;20;130,2;980,5;25,7;null;null;
2014-04-30;19;76,2;980,9;26;null;null;
2014-05-31;8;9,4;981,2;26,5;null;null;
2014-06-30;0;0;982,1;26,3;null;null;
2014-07-31;null;null;983,8;26,5;null;null;
2014-08-31;null;null;982,5;27,5;null;null;
2014-09-30;2;21,6;981,1;28,8;null;null;
2014-10-31;9;81,2;980,3;28,1;null;null;
2014-11-30;7;null;null;26,6;null;null;
2014-12-31;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;17;106,6;980,7;25,3;9,8;,8;
2015-04-30;9;33,4;980,9;26,5;4,5;,8;
2015-05-31;null;null;981,7;26,2;4,8;,4;
2015-06-30;null;0;983,1;26,1;6,9;1,2;
2015-07-31;null;null;982,8;26,7;6,8;1,7;
2015-08-31;null;null;982;27,1;6,7;1,7;
2015-09-30;null;null;980,5;29,5;6,3;1,6;
2015-10-31;null;null;980,1;29,4;7,6;,8;
2015-11-30;null;null;979,1;27,9;6,8;,1;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;7;null;980,5;27,7;6,9;1,6;
2016-03-31;15;98,2;981,2;27,3;6,7;1,2;
2016-04-30;9;76,2;980,3;27,2;6;1,2;
2016-05-31;3;20,8;982;27,4;5,9;1,2;
2016-06-30;4;34,2;983,5;26,5;6,5;1,4;
2016-07-31;0;0;982,9;26,5;6,8;1,8;
2016-08-31;0;0;982;28,1;7;1,7;
2016-09-30;6;19,4;981,2;29,2;6,7;1,6;
2016-10-31;8;53,8;979,4;28,5;7,1;1,5;
2016-11-30;13;161,4;978,9;27,4;7,6;1,3;
2016-12-31;12;101;979,7;26,3;7,6;1,1;
2017-01-31;19;222;980,3;25,4;7,7;1;
2017-02-28;18;264;980,5;25,2;7,1;1,2;
2017-03-31;16;181,2;980,5;25,9;4,9;1;
2017-04-30;18;97;980,6;26,1;7,4;1,2;
2017-05-31;13;82,2;981,4;26,3;6,3;1,2;
2017-06-30;5;16,6;982,4;25,6;5,5;1,5;
2017-07-31;0;0;984,6;25,4;7,3;2;
2017-08-31;0;0;981,8;27,8;6,2;1,7;
2017-09-30;0;0;981,6;29,2;6,5;2,3;
2017-10-31;3;25,4;979,1;30,1;7,2;1,7;
2017-11-30;16;143,4;979;26,7;5,8;1,3;
2017-12-31;12;250,6;979,5;25,9;5,7;,8;
2018-01-31;null;null;980,2;25,2;8,1;,8;
2018-02-28;null;null;980,4;24,7;6,3;,6;
2018-03-31;24;36;980,4;26;4,9;,8;
2018-04-30;1;null;981,3;25,9;5,9;,8;
2018-05-31;null;null;null;null;6,6;null;
2018-06-30;2;,4;983,2;25,7;5,5;1,2;
2018-07-31;0;0;982,9;26;5,5;1,2;
2018-08-31;0;0;982,6;27,3;5,7;1,3;
2018-09-30;1;7,8;979,9;28,8;6,8;1,2;
2018-10-31;11;77;979,6;28,3;6,2;1,1;
2018-11-30;10;80,8;979,2;26,9;6,4;1,3;
2018-12-31;10;74,2;981,1;26,5;8,9;1,3;
2019-01-31;21;147,4;981,4;25,6;6,5;,9;
2019-02-28;17;135,4;980,8;26;4,8;,8;
2019-03-31;24;264,6;981,3;25,9;4,7;,7;
2019-04-30;15;172,8;981;26;5;,7;
2019-05-31;8;56,4;980,9;26,5;5,3;1;
2019-06-30;1;,2;983,1;26,1;6,1;1,4;
2019-07-31;4;41,4;983;25,7;6,2;1,3;
2019-08-31;0;0;983,5;27,1;7,4;1,6;
2019-09-30;2;17,4;980,9;29,4;5,6;1,4;
2019-10-31;12;128,2;979,7;27,6;5,1;,9;
2019-11-30;8;65,6;978,7;27,3;4,2;,8;
2019-12-31;12;130,4;979,2;27,3;6;,7;
2020-01-31;24;244,4;980,9;26,1;5,8;,5;
2020-02-29;20;153,4;981;26,1;6,4;,5;
2020-03-31;27;391,6;981;26;5,8;,7;
2020-04-30;19;249,2;981,7;26,3;7,2;,7;
2020-05-31;3;null;982,3;26,8;5,1;,9;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;0;0;982;27;5,5;1,7;
