Nome: CAROLINA
Codigo Estacao: A205
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.88
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;5,9;null;
2010-02-28;null;null;null;null;6;null;
2010-03-31;17;122,6;989,4;26,7;6;,7;
2010-04-30;13;238,8;989,5;27,3;5,8;,8;
2010-05-31;3;null;null;27,7;4;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;0;991,2;28,5;6,2;1,3;
2010-09-30;null;null;null;30,2;5,9;null;
2010-10-31;2;null;null;null;5,1;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;15;null;null;25;4,4;null;
2011-03-31;23;335,6;989,1;25,9;4,8;,7;
2011-04-30;28;117,4;989,6;25,8;6,8;,6;
2011-05-31;4;null;null;null;4;null;
2011-06-30;null;null;null;null;4;null;
2011-07-31;null;null;null;null;4,8;null;
2011-08-31;null;null;null;29,4;6,1;null;
2011-09-30;1;12,8;990,5;30;6,2;1,5;
2011-10-31;14;171,4;988,2;27,6;8,4;1;
2011-11-30;20;389;988,8;25,7;5,9;,8;
2011-12-31;17;138,8;988,7;26,2;5,2;,7;
2012-01-31;24;328;989,6;24,9;7,7;,7;
2012-02-29;25;267,4;989,4;25;7,1;,8;
2012-03-31;25;234,8;989,9;25,6;7,9;,7;
2012-04-30;17;160,6;989,4;26,5;6,4;,6;
2012-05-31;9;20,8;990,5;26,8;5,2;,8;
2012-06-30;6;3,8;991,7;26,9;6;1;
2012-07-31;1;2,4;991,3;27,4;6;1,4;
2012-08-31;null;0;992;28,3;7,1;1,7;
2012-09-30;5;12;990,9;29,7;6,4;1,5;
2012-10-31;11;116,8;988,6;28,5;7,2;1,5;
2012-11-30;18;178,6;988,7;26,4;6;1;
2012-12-31;22;255,8;988,6;26,3;9,1;,7;
2013-01-31;24;547;989,9;25,9;5,7;,9;
2013-02-28;23;127,4;988,9;26;7,5;,9;
2013-03-31;22;275,2;989,7;26;7,8;,9;
2013-04-30;17;70,2;990,2;26,8;5,7;,8;
2013-05-31;10;45,4;990,7;26,7;4,9;,4;
2013-06-30;null;null;991,3;26,8;6;,5;
2013-07-31;null;0;991,9;27,6;5,9;,8;
2013-08-31;0;0;990,5;28,6;6;1,3;
2013-09-30;2;22,6;989,9;29,4;8,4;1,4;
2013-10-31;9;177,2;989,5;27,9;5,9;1,2;
2013-11-30;19;146;988,3;26,1;6,1;,8;
2013-12-31;23;364,4;989;26,3;5,5;,8;
2014-01-31;21;149;990,1;25,7;5,8;,8;
2014-02-28;19;279;989,3;25,6;6,6;,8;
2014-03-31;27;323;990;25,8;5,3;,8;
2014-04-30;20;149,6;990,4;26,4;6,7;,9;
2014-05-31;7;31,2;990,5;27,3;6,4;1;
2014-06-30;0;0;991,3;27,5;5,6;1,3;
2014-07-31;1;12,2;992,9;28;6,5;1,5;
2014-08-31;2;3;991,6;28,9;5,7;1,4;
2014-09-30;8;42,8;990,4;29,2;6,4;1,4;
2014-10-31;6;112,8;989,8;27,9;7,1;1,3;
2014-11-30;12;239,6;989;26,8;9,1;1;
2014-12-31;17;207;989,6;26,5;6,2;1,1;
2015-01-31;17;264,8;990,6;25,9;7;,9;
2015-02-28;18;225,8;990,5;25,6;8,9;,9;
2015-03-31;22;118,4;990,2;26;6,4;,9;
2015-04-30;17;170,2;990,4;26,5;5,3;,9;
2015-05-31;13;96,6;991;26,9;5;1,1;
2015-06-30;1;null;992,6;27,2;6,4;1,3;
2015-07-31;3;25;991,9;27,9;6,4;1,5;
2015-08-31;1;3,6;991,1;28,8;6;1,6;
2015-09-30;1;6,8;989,8;30,4;5,2;1,6;
2015-10-31;6;38,8;989,4;30,3;7;1,6;
2015-11-30;5;7,8;988,6;28,6;5,8;1,3;
2015-12-31;8;110,6;989,9;28;8,5;1,3;
2016-01-31;24;528;990,3;26,2;7,3;1;
2016-02-29;13;200;989,8;28,1;6;1;
2016-03-31;21;193,6;990,6;27,3;5,2;,8;
2016-04-30;11;82;989,7;27,7;7,4;,8;
2016-05-31;8;42;991,4;27,7;5,4;,8;
2016-06-30;7;20,6;992,8;27,3;5,5;1,1;
2016-07-31;1;4;992;28;6,4;1,4;
2016-08-31;1;23,8;991,1;29,5;6,1;1,4;
2016-09-30;7;59;990,6;29,5;6;1,2;
2016-10-31;15;55,6;988,8;28,4;7,4;1;
2016-11-30;20;30,4;988,2;27,7;6,6;,7;
2016-12-31;15;72,2;989,1;27;5,2;,6;
2017-01-31;18;196,8;989,8;26;7,4;,4;
2017-02-28;21;379,6;990;25,7;5,4;,7;
2017-03-31;22;167,6;989,9;26,3;5,1;,2;
2017-04-30;16;236,4;990;26,7;5,6;,2;
2017-05-31;5;74,2;990,6;27,7;5,2;,2;
2017-06-30;null;null;991,6;26,9;5;,6;
2017-07-31;null;0;993,7;27;6,8;,9;
2017-08-31;1;19;990,8;29,4;5,6;,6;
2017-09-30;0;0;990,4;30,9;6,4;,9;
2017-10-31;null;null;988,5;30;5,8;,5;
2017-11-30;18;146;988,4;27,2;6,2;,2;
2017-12-31;20;170,2;989;26,3;3,5;,1;
2018-01-31;23;209,4;989,6;25,8;6,1;,1;
2018-02-28;null;null;null;25,3;6,1;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;1;null;null;null;null;null;
2018-05-31;3;32;991,1;27,5;5,7;1,2;
2018-06-30;2;2;992,3;27,3;5,5;1,4;
2018-07-31;0;0;992;28;5,5;1,3;
2018-08-31;4;3,6;991,7;29;6,7;1,4;
2018-09-30;7;51,4;989,2;29,4;7,5;1,4;
2018-10-31;11;95,4;989;28,4;6,8;1,4;
2018-11-30;19;252,6;988,6;26,6;6,2;1,1;
2018-12-31;15;215,6;990,4;27;5,9;1,2;
