Nome: CHAPADINHA
Codigo Estacao: A206
Latitude: -3.74277777
Longitude: -43.35222222
Altitude: 104
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;13;229;998,4;27,3;5;1,8;
2010-02-28;12;103;997,5;27,9;4,7;1,9;
2010-03-31;16;132,4;998,3;27,6;7,4;1,7;
2010-04-30;21;216,8;998,3;27;5,4;1,5;
2010-05-31;12;141,8;998,7;27,5;4,4;1,5;
2010-06-30;8;86,8;1000,8;26,9;4,5;1,6;
2010-07-31;7;46,6;1000,4;26,9;5,4;1,6;
2010-08-31;1;,6;1000,3;27,7;4,8;1,7;
2010-09-30;1;34,4;998,7;28,5;6,1;1,9;
2010-10-31;4;22,4;998,2;28,7;5,2;2;
2010-11-30;8;78,4;996,6;28,7;5,2;2;
2010-12-31;10;128,6;996,3;27,6;6,1;1,8;
2011-01-31;16;297;997,3;26;5,6;1,6;
2011-02-28;20;314,6;998,1;25,7;5,3;1,5;
2011-03-31;20;331;998,1;25,9;4,8;1,5;
2011-04-30;23;443;998,6;25,7;6,2;1,4;
2011-05-31;18;230,2;998,8;26,1;5,9;1,5;
2011-06-30;10;33,4;1000,2;26,3;4,7;1,6;
2011-07-31;6;20,6;1000,3;26,4;5;1,7;
2011-08-31;1;,6;1000,5;27,3;5,5;1,9;
2011-09-30;0;0;1000,1;28,2;5,6;1,9;
2011-10-31;4;118,8;997,5;28;5,7;1,9;
2011-11-30;3;79,8;997,5;27,7;5,3;1,9;
2011-12-31;1;null;997,7;28,1;4,9;2,1;
2012-01-31;15;378,4;998,2;26,7;6;1,9;
2012-02-29;14;null;998,1;26;5,7;1,7;
2012-03-31;24;230,4;998,8;26;5,8;1,7;
2012-04-30;10;33,8;998,5;26,9;4,9;1,7;
2012-05-31;6;23,6;999,5;27,1;4,9;1,8;
2012-06-30;5;32,4;1000,7;27,1;5,2;1,9;
2012-07-31;1;2;1000,3;27,4;4,6;1,8;
2012-08-31;null;0;1001;28;5,2;1,9;
2012-09-30;1;,4;1000,5;28,5;5,5;2,1;
2012-10-31;1;,2;997,9;29,1;4,9;2,1;
2012-11-30;3;71,6;997,5;29,1;4,9;2,1;
2012-12-31;9;123,8;997,3;28,4;5,7;2;
2013-01-31;12;80;998,7;27,5;6;1,8;
2013-02-28;13;189,4;997,7;27,2;5,3;1,9;
2013-03-31;15;145,2;998,5;27;6,9;1,7;
2013-04-30;null;null;999,3;26,5;4,8;1,5;
2013-05-31;4;null;999,7;26,7;3,8;1,5;
2013-06-30;9;61,8;1000,4;26,6;5,2;1,6;
2013-07-31;15;105,6;1001,2;26,2;6,6;1,7;
2013-08-31;2;1,8;999,8;27,5;5;1,8;
2013-09-30;1;5,6;999,4;28,4;5,4;2,2;
2013-10-31;0;0;998,7;28,8;5,4;2,3;
2013-11-30;6;38,4;997,1;28,1;5,6;2,1;
2013-12-31;7;54,2;997,8;28,4;5,4;2,1;
2014-01-31;19;284,8;998,9;26,3;5,9;1,9;
2014-02-28;20;193,6;998,1;26,3;4,8;1,7;
2014-03-31;19;171,2;999;26,2;6,1;1,7;
2014-04-30;24;293,8;999,4;26,1;5,5;1,5;
2014-05-31;23;405,4;999,5;25,9;4,3;1,4;
2014-06-30;12;57;1000,3;26,5;4;1,6;
2014-07-31;3;null;null;null;4,4;null;
2014-08-31;null;null;null;null;4,8;null;
2014-09-30;1;1,4;1000,1;27,8;5,2;2,1;
2014-10-31;2;2,8;998,8;28,5;6,9;2,1;
2014-11-30;null;null;null;null;5,6;null;
