Nome: GUARAMIRANGA
Codigo Estacao: A314
Latitude: -4.22916666
Longitude: -38.95888888
Altitude: 865.53
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;8;null;915,9;21,8;7,2;3,1;
2010-02-28;8;null;915,6;22,3;9,1;3,7;
2010-03-31;20;130,4;915,7;22,4;7,2;2,9;
2010-04-30;25;344,2;915,6;22;7,4;3,1;
2010-05-31;17;75,2;916,2;21,8;6,6;2,8;
2010-06-30;13;77,2;917,8;21,4;6,2;3,1;
2010-07-31;11;10,4;917,6;21,3;7,2;3,4;
2010-08-31;3;4;918;21,3;6,6;3,6;
2010-09-30;0;0;916,9;21,4;7,7;3,9;
2010-10-31;10;12,4;916,1;21,8;7;3,2;
2010-11-30;16;20,2;914,8;21,9;7,2;3,6;
2010-12-31;21;189,2;914;21,5;8;3,1;
2011-01-31;21;null;914,3;20,9;6,9;2,6;
2011-02-28;23;229,4;915,1;20,8;7;2,8;
2011-03-31;24;248,2;915;20,9;5,7;2,6;
2011-04-30;25;228,8;915,4;20,9;5,6;2,4;
2011-05-31;22;258,8;915,9;20,9;6,2;3;
2011-06-30;18;99,6;917,2;20,4;6,6;3,1;
2011-07-31;20;176,2;917,3;20;7;3,3;
2011-08-31;12;74,2;917,9;20,3;7,3;3,6;
2011-09-30;3;5;917,9;21;7,2;3,6;
2011-10-31;20;97;915,3;20,9;8,2;3,4;
2011-11-30;17;60,2;915,3;20,9;7,2;3,7;
2011-12-31;15;19;915,5;21,2;6,5;3,7;
2012-01-31;16;93,8;915,7;21,3;7,6;3,6;
2012-02-29;18;241,4;915,3;20,9;9,1;3,2;
2012-03-31;27;165,4;915,9;20,9;6,9;3,4;
2012-04-30;24;99,8;915,9;21,2;6,2;3,1;
2012-05-31;16;58,4;916,9;21,1;7,1;3,3;
2012-06-30;8;null;null;20,9;5,9;null;
2012-07-31;7;null;null;20,7;6,7;null;
2012-08-31;4;2;918,6;20,9;6,5;3,6;
2012-09-30;4;2,8;918,5;21;8,2;3,9;
2012-10-31;14;24;916,3;21,2;7,9;4,1;
2012-11-30;8;16,8;915,5;21,5;6;3,4;
2012-12-31;20;49,6;915,2;21,7;7;3,5;
2013-01-31;21;92,4;916,1;21,7;6,3;3,2;
2013-02-28;19;140,6;915,3;21,8;7,1;3,6;
2013-03-31;19;119,4;915,9;22;7;3,2;
2013-04-30;29;188,2;916,3;21,4;6,4;2,5;
2013-05-31;22;286;916,9;21;7,1;3;
2013-06-30;20;214;917,5;20,5;6,5;2,8;
2013-07-31;17;144,8;918,2;20,2;6,9;3,2;
2013-08-31;6;22,8;917,5;20,9;7;3,5;
2013-09-30;13;22,4;917,5;21,1;8,1;4;
2013-10-31;14;23,6;916,8;21,3;8,3;3,9;
2013-11-30;18;61;915,2;21,2;6,8;3,8;
2013-12-31;10;17;915,7;21,6;7,5;3,5;
2014-01-31;22;153,8;916,1;21,3;6,6;3,4;
2014-02-28;19;122,4;915,3;21;6,4;3,2;
2014-03-31;25;326,6;916,1;21,1;6,9;2,9;
2014-04-30;26;201,8;916,4;21,3;5,5;2,6;
2014-05-31;24;211,6;916,6;21,1;6,7;2,6;
2014-06-30;14;96,8;917,6;20,8;7,1;3,3;
2014-07-31;9;22,8;919,3;20,5;7,1;3,4;
2014-08-31;6;3,4;918,5;20,9;7,5;3,6;
2014-09-30;15;64,8;918;20,9;7,4;3,8;
2014-10-31;11;38,6;917;21,3;7,7;3,9;
2014-11-30;18;64,8;916;21,1;6,6;3,4;
2014-12-31;19;39,2;916,3;21,4;7,2;3,6;
2015-01-31;19;133;917;21,2;7,7;3,5;
2015-02-28;18;176,8;916,4;21,3;7,6;3,3;
2015-03-31;29;337,8;916,2;21;7,1;2,8;
2015-04-30;26;208,4;916,5;21,1;6;2,7;
2015-05-31;21;105,4;917,2;21,3;7,3;3,3;
2015-06-30;19;152,4;918,4;20,8;6,6;3,2;
2015-07-31;19;334;918,4;20,2;7,8;3,8;
2015-08-31;6;14,4;918,1;20,6;7,2;3,8;
2015-09-30;14;42,4;917,8;20,7;8,2;3,8;
2015-10-31;7;9,6;917,4;21,2;7,9;3,8;
2015-11-30;7;6,2;916,1;21,8;8,1;3,4;
2015-12-31;12;62,4;917,1;22;7;3,5;
2016-01-31;7;null;916,8;null;5,8;2,6;
2016-02-29;16;null;916,6;21,9;6,7;3,1;
2016-03-31;25;223,6;916,9;22,2;6,2;3;
2016-04-30;23;244,8;916,2;21,6;6,8;3,1;
2016-05-31;22;141,8;917,9;21,6;6;2,8;
2016-06-30;19;110,4;918,9;21,1;6,6;2,9;
2016-07-31;6;18;918,4;21,2;6,3;3,1;
2016-08-31;9;14,2;918,4;21,2;7,3;3,5;
2016-09-30;10;12,4;918;21,5;6,8;3,6;
2016-10-31;5;4,8;916,3;22;8;3,8;
2016-11-30;3;3,4;915,6;22,1;7,7;4;
2016-12-31;10;65,2;915,7;22;6,8;3,3;
2017-01-31;24;122,4;916;21,6;6,3;3;
2017-02-28;17;null;915,8;21,4;6;2,9;
2017-03-31;4;null;null;null;null;null;
2017-04-30;25;246;916,1;21,4;6,5;2,8;
2017-05-31;16;274,4;917;21,3;6,6;2,8;
2017-06-30;17;144;917,6;20,9;6,6;3,1;
2017-07-31;16;166,8;919,2;20,2;7;3,4;
2017-08-31;6;35,6;918,2;20,8;6,3;3,2;
2017-09-30;5;6,2;918;21,2;6,6;3,6;
2017-10-31;14;60,4;916,4;21,6;7,7;4;
2017-11-30;16;33,2;915,5;21,3;7,1;3,5;
2017-12-31;9;null;915,6;21,8;6,4;3,4;
2018-01-31;11;null;915,8;21,5;6,2;3,1;
2018-02-28;18;null;915,4;21;5,5;2,2;
2018-03-31;24;324;915,8;21,5;5,8;2,4;
2018-04-30;28;360,2;916,4;20,9;5,8;2,5;
2018-05-31;18;186,6;917,2;20,9;6,6;2,8;
2018-06-30;10;50;918,4;20,4;6,2;3,1;
