Nome: SAO SIMAO
Codigo Estacao: A011
Latitude: -18.96916666
Longitude: -50.63333333
Altitude: 492.45
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;24;352,8;955,9;24,9;10,1;1,9;
2010-02-28;17;88;956;25,8;8,7;1,8;
2010-03-31;13;227,4;955,4;25,7;8,9;1,6;
2010-04-30;3;65,4;958;24,3;6,2;1,6;
2010-05-31;5;10;958,8;21,7;7;1,5;
2010-06-30;3;6,4;961,3;21,5;7,7;2,1;
2010-07-31;1;2,4;960,8;22,6;7,9;2,9;
2010-08-31;null;0;960,3;23,3;9,3;3;
2010-09-30;4;16,6;957;26,3;10,3;3,5;
2010-10-31;12;133,8;955,8;25,5;11,9;2,5;
2010-11-30;12;207,2;954;24,8;11;2,2;
2010-12-31;21;293,4;952,8;25;9,7;1,7;
2011-01-31;19;217,8;953,9;24,9;7,8;1,7;
2011-02-28;15;140;955,6;24,9;7,6;1,7;
2011-03-31;21;441,8;954,7;24;8,6;2;
2011-04-30;6;43,6;957,3;24,3;7,1;1,9;
2011-05-31;1;7,8;959,3;21,9;6,8;1,3;
2011-06-30;1;25,8;959,9;20,8;9,8;2,3;
2011-07-31;0;0;959,7;22,5;10,4;2,9;
2011-08-31;1;4,6;959,1;23,9;9,5;3;
2011-09-30;3;16,6;958,7;25,9;10,7;3;
2011-10-31;14;211;955,4;24,9;13,2;3,1;
2011-11-30;6;154,4;955;24,8;7,8;2,4;
2011-12-31;17;169;954,3;25,1;9,7;2;
2012-01-31;null;null;955,2;24,6;8,1;2,1;
2012-02-29;9;18,4;956,1;25,2;9,6;2;
2012-03-31;23;35,8;956,9;25,1;7,2;1,5;
2012-04-30;13;17,6;956,9;24,6;6,8;1,6;
2012-05-31;9;8,6;959,7;21,5;6,5;1,7;
2012-06-30;1;null;null;null;8,3;null;
2012-07-31;null;null;null;null;7,6;null;
2012-08-31;null;0;961,8;23,3;8,8;3,4;
2012-09-30;5;76,8;958,7;26,2;9,8;3;
2012-10-31;5;30,8;955,3;27,7;8,3;2,7;
2012-11-30;14;148,2;953,8;26;9,6;2,3;
2012-12-31;14;153,6;954,9;26,4;8;2,4;
2013-01-31;25;245,8;955,2;25;7,3;2,3;
2013-02-28;12;48,6;956,3;24,8;7,2;2,1;
2013-03-31;null;null;956,4;25;9,2;2,2;
2013-04-30;null;null;958,3;23,2;8,5;1,9;
2013-05-31;3;11,2;958,9;23,2;7,5;2,3;
2013-06-30;5;25,8;959,8;22,8;9,9;2,3;
2013-07-31;2;,8;961,6;20,9;7,8;2,6;
2013-08-31;0;0;960,2;22,3;8,4;3;
2013-09-30;5;13;958,3;25,1;8,3;3;
2013-10-31;12;44,4;956,8;25,8;12;2,5;
2013-11-30;null;null;954,8;25,8;9,4;2,4;
2013-12-31;null;null;953,6;25,7;9,5;2;
2014-01-31;null;null;957,1;25,6;7,9;1,8;
2014-02-28;11;132;956;25,5;7,8;2,2;
2014-03-31;18;201;956,8;24,7;7,9;1,9;
2014-04-30;8;69,2;957,7;24,7;6,8;1,5;
2014-05-31;2;2,2;959,1;21,9;5,7;1,7;
2014-06-30;1;3,2;960,3;22,2;6,5;2,2;
2014-07-31;5;85,4;962,4;21,3;7,9;2,3;
2014-08-31;0;0;960,4;23,8;7,8;2,4;
2014-09-30;8;66,6;957,7;25,4;8,8;2,7;
2014-10-31;11;39,6;956,9;26,9;8,3;2,4;
2014-11-30;12;114;955,4;24,8;7,2;2;
2014-12-31;20;125,8;955,7;24,9;7,4;2;
2015-01-31;10;65;957,1;27,2;6,6;1,9;
2015-02-28;18;234,4;956,4;25,3;7,2;2;
2015-03-31;17;187,4;956,7;24,5;6,7;1,6;
2015-04-30;10;39,4;957,5;25;6,2;1,2;
2015-05-31;18;39,8;959,6;22,6;7,9;1,7;
2015-06-30;5;43,4;961,8;22;6,6;2,2;
2015-07-31;6;19,2;960,7;22,5;10,4;2,3;
2015-08-31;3;12,8;959,9;24;7;2,6;
2015-09-30;10;31,6;956,8;26,6;12,4;2,2;
2015-10-31;11;84,2;956,4;27,7;10,8;2;
2015-11-30;17;108,4;955;26,2;8,2;2;
2015-12-31;20;84,8;957;25,8;7,7;1,6;
2016-01-31;24;183,6;954,5;25,4;8,3;1,8;
2016-02-29;18;148,4;957,1;26,2;6,8;1,5;
2016-03-31;1;null;null;null;null;null;
2016-04-30;2;null;null;null;null;null;
2016-05-31;10;32,8;960,4;22,4;9,2;1,6;
2016-06-30;4;15;962;20,8;6,2;1,6;
2016-07-31;0;0;960,9;22,3;8,3;2,2;
2016-08-31;null;null;959,6;23,3;9;2,6;
2016-09-30;null;null;958,9;24,8;8,9;1,6;
2016-10-31;2;null;null;null;9,8;null;
2016-11-30;15;227,6;955,4;25,1;8,2;1,4;
2016-12-31;18;130,8;955,7;25,6;7,8;1,3;
2017-01-31;19;303,6;956,5;24,8;7,3;1,1;
2017-02-28;14;135,2;956;25,9;6,7;1,1;
2017-03-31;14;250,8;956,6;25,5;7,7;,7;
2017-04-30;8;75;957,8;24,5;8,6;,7;
2017-05-31;7;79,6;958,7;24;10;,8;
2017-06-30;2;,6;961,2;21,5;6,2;1;
2017-07-31;0;0;964,2;20,2;7,4;1,6;
2017-08-31;1;null;959,2;23,8;11,6;1,2;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;null;null;null;8;null;
2017-11-30;5;null;null;null;6,3;null;
2017-12-31;21;235,2;954,7;25,5;8,3;2;
2018-01-31;29;92,6;955,8;25,4;8,6;2;
2018-02-28;null;null;955,4;25,2;7,5;1,8;
2018-03-31;7;50,4;955,7;26,6;7,7;1,6;
2018-04-30;9;141,8;958,8;24,3;8,2;1,6;
2018-05-31;2;37,6;960,2;22,4;5,7;1,6;
2018-06-30;0;0;961,2;22,2;5,1;1,9;
2018-07-31;0;0;961;22,2;6,5;2,2;
2018-08-31;3;12,2;960,6;23;7,4;2,1;
2018-09-30;9;94;957;25;8,8;2,1;
2018-10-31;15;175,8;955,8;26,1;15;2,2;
2018-11-30;20;433,6;955,1;24,8;7,8;2,2;
2018-12-31;15;149,6;956,2;26,4;7,5;2;
2019-01-31;16;245;957,8;26,6;9,6;1,9;
2019-02-28;17;358,8;956;25,7;13,2;1,9;
2019-03-31;11;null;null;25,3;8,3;null;
2019-04-30;1;null;null;null;null;null;
2019-05-31;6;47,4;958,6;23,5;7;1,6;
2019-06-30;1;,4;961,5;22,3;6,5;2;
2019-07-31;2;7,6;961,1;21,4;6,5;2,1;
2019-08-31;2;10,6;961,5;23,8;7,3;2,3;
2019-09-30;5;19,6;957,3;28;9,2;2,4;
2019-10-31;9;22,4;955,9;28,2;10,4;2,4;
2019-11-30;22;135,2;954,7;26,5;9,7;1,9;
2019-12-31;21;222;955,4;25,8;6,7;1,8;
2020-01-31;15;145,2;954,4;26,2;9,7;1,6;
2020-02-29;8;null;null;null;7,5;null;
2020-03-31;null;null;null;null;5,3;null;
2020-04-30;null;null;null;null;5;null;
2020-05-31;null;null;null;null;5,1;null;
2020-06-30;null;null;null;null;5,6;null;
2020-07-31;null;null;null;null;5,6;null;
2020-08-31;null;null;null;null;6,7;null;
2020-09-30;null;null;null;null;6;null;
2020-10-31;null;null;null;null;9,4;null;
2020-11-30;null;null;null;null;6,7;null;
2020-12-31;null;null;null;null;6,8;null;
2021-01-31;null;null;null;null;7,4;null;
2021-02-28;null;null;null;null;5,2;null;
2021-03-31;null;null;null;null;9,4;null;
2021-04-30;null;null;null;null;5,5;null;
2021-05-31;null;null;null;null;4,6;null;
2021-06-30;null;null;null;null;6;null;
2021-07-31;null;null;null;null;6,3;null;
2021-08-31;null;null;null;null;9;null;
2021-09-30;null;null;null;null;8,4;null;
2021-10-31;8;null;null;25,3;7,3;null;
2021-11-30;13;null;954,3;26,7;7;,2;
2021-12-31;15;154,4;953,4;26;9,2;,1;
2022-01-31;17;261,6;954,9;25,3;6,1;,1;
2022-02-28;12;null;955,4;26;8,5;,1;
2022-03-31;12;113,8;956,1;26,3;3,6;0;
2022-04-30;5;20,4;957,2;25,6;7;,2;
2022-05-31;4;20,8;959,8;21,6;6,3;,3;
2022-06-30;5;27,4;959,9;21,6;null;null;
2022-07-31;0;0;960,1;23,4;null;null;
2022-08-31;1;18;959,8;23,4;null;null;
2022-09-30;8;62,6;957,6;25,1;null;null;
2022-10-31;9;null;956,4;26,1;null;null;
2022-11-30;9;null;955,4;24,8;null;null;
2022-12-31;18;null;954,1;25,1;null;null;
2023-01-31;18;null;955,6;24,3;null;null;
2023-02-28;16;null;956,9;25,1;null;null;
2023-03-31;10;null;957,2;25,6;null;null;
2023-04-30;15;90,4;957,1;24,5;null;null;
2023-05-31;2;34,6;959,7;22,6;null;null;
2023-06-30;5;24,6;961,7;20,6;null;null;
2023-07-31;1;11,6;961,2;22,8;null;null;
2023-08-31;5;8,8;958,7;24,8;null;null;
2023-09-30;5;73;956,9;28,1;null;null;
2023-10-31;9;null;955,1;null;null;null;
2023-11-30;1;null;954,9;null;null;null;
2023-12-31;3;null;955,1;28,7;null;null;
2024-01-31;14;null;955,4;26,1;null;null;
2024-02-29;null;null;null;null;null;null;
2024-03-31;null;null;null;null;null;null;
2024-04-30;null;null;null;null;null;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;null;null;null;null;null;null;

