Nome: PARAGOMINAS
Codigo Estacao: A212
Latitude: -2.90055555
Longitude: -47.49499999
Altitude: 88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;21;164,2;1000,6;26,4;6,3;1,2;
2010-02-28;19;194,4;999,8;26,8;6,2;1,3;
2010-03-31;19;174;1000,5;27,1;6,7;1;
2010-04-30;24;354,8;1000,6;26,4;6,1;,7;
2010-05-31;19;177,2;1001;26,6;6;,7;
2010-06-30;11;78,8;1002,8;26;6;1;
2010-07-31;7;31,2;1002,4;26,1;8,7;1,2;
2010-08-31;5;18;1002,3;26,4;5,5;1,3;
2010-09-30;2;3,6;1000,8;27,5;6,7;1,7;
2010-10-31;8;31,8;1000,4;27,9;6,7;1,4;
2010-11-30;8;43;999;27,7;6,4;1,2;
2010-12-31;18;211,2;998,6;26,5;5,9;1;
2011-01-31;21;295,4;999,6;25,4;6,7;,9;
2011-02-28;26;112,4;1000,5;25,1;5,8;,8;
2011-03-31;26;176,8;1000,4;25,5;6,2;,7;
2011-04-30;28;446,6;1000,9;25,5;4,8;,6;
2011-05-31;24;169,2;1000,8;26,3;7,7;,9;
2011-06-30;20;45,6;1002,1;26;6;1;
2011-07-31;13;61,4;1002,2;25,6;6,1;1;
2011-08-31;10;47,4;1002,5;26,2;5,4;1,1;
2011-09-30;2;14,2;1002,2;27,1;5,9;1,2;
2011-10-31;6;39,8;999,6;27,6;5,9;1,4;
2011-11-30;2;null;null;null;6;null;
2011-12-31;3;null;null;null;5,3;null;
2012-01-31;4;null;null;null;5,1;null;
2012-02-29;19;null;null;25;6,8;null;
2012-03-31;29;277,8;1001,2;25,5;6;,8;
2012-04-30;25;135,8;1000,8;26;5;,6;
2012-05-31;23;96,8;1001,8;25,8;5,8;,4;
2012-06-30;21;103,2;1003,1;25,5;5,8;,6;
2012-07-31;12;16,4;1002,6;25,9;6,1;,7;
2012-08-31;3;4;1003,1;26,2;5,9;1,4;
2012-09-30;7;24;1002,9;27,1;7;1,5;
2012-10-31;1;2,4;1000,4;27,8;5,5;1,6;
2012-11-30;4;107,4;999,8;27,9;5,1;1,1;
2012-12-31;19;89,6;999,7;26,8;6,6;1;
2013-01-31;23;232,4;1001;26,5;7,1;,8;
2013-02-28;23;278,8;1000,1;26,1;6,7;1;
2013-03-31;28;316,2;1001;26;5,1;,7;
2013-04-30;26;139,8;1001,5;26;5,6;,5;
2013-05-31;6;null;1001,9;26;6,5;,6;
2013-06-30;7;44,8;1002,4;26;5,4;,6;
2013-07-31;14;76,8;1003,3;25,4;4,7;,8;
2013-08-31;8;30,4;1002;26,3;5,9;1,1;
2013-09-30;4;2,4;1001,7;27,1;7,4;1,5;
2013-10-31;3;65;1001;27,5;6,9;1,5;
2013-11-30;13;149,2;999,5;26,8;7,3;1,2;
2013-12-31;9;38,8;1000,2;26,9;5,7;1,2;
2014-01-31;3;22;1001,2;25,9;6,6;1,1;
2014-02-28;25;266,2;1000,5;25,4;6,1;,9;
2014-03-31;28;275,8;1001,2;25,8;7,5;1;
2014-04-30;26;266,4;1001,7;25,6;7,3;,4;
2014-05-31;null;null;1001,7;26;5,6;,6;
2014-06-30;14;58,4;1002,3;26,1;5,1;1;
2014-07-31;6;17,8;1004,2;25,7;6,4;1,1;
2014-08-31;5;27,4;1003,1;25,8;5,9;1,4;
2014-09-30;8;17,8;1002,4;26,6;6,6;1,5;
2014-10-31;3;5,6;1001,2;27,7;6,8;1,5;
2014-11-30;1;,8;1000,3;27,9;5,9;1,5;
2014-12-31;7;7,2;1000,7;27,7;6,9;1,5;
2015-01-31;23;156,4;1001,8;26,4;9,4;1,2;
2015-02-28;19;76,6;1001,7;25,6;5,7;,9;
2015-03-31;29;408,4;1001,5;25,5;6,8;,8;
2015-04-30;24;268,4;1001,8;25,8;4,9;,6;
2015-05-31;23;106,8;1002,1;26,2;5,5;,9;
2015-06-30;17;57,6;1003,4;26;6;,6;
2015-07-31;9;12,8;1003,2;26,3;5,5;1,3;
2015-08-31;1;,2;1002,5;26,8;5,7;1;
2015-09-30;1;2,2;1002;27,7;6,7;,7;
2015-10-31;1;,2;1001,4;28,5;7,6;,7;
2015-11-30;1;2,2;1000,1;28,8;7,1;,7;
2015-12-31;8;16,8;1001,2;28,5;7,7;,7;
2016-01-31;20;81,4;1001,4;27,6;7,5;,5;
2016-02-29;18;117;1001,2;27,1;7,2;,4;
2016-03-31;29;369,6;1002,1;26,4;7,7;,1;
2016-04-30;26;276,6;1000,9;26,6;5;,1;
2016-05-31;15;137,4;1002,6;27;6,9;,1;
2016-06-30;4;16,8;1003,8;26,5;5;,2;
2016-07-31;2;11;1003,2;26,5;4,9;,2;
2016-08-31;0;0;1002,8;27,6;4,6;,3;
2016-09-30;null;null;1002,4;28,3;5,7;,2;
2016-10-31;null;null;1000,4;28,3;5,4;,2;
2016-11-30;null;null;null;null;4,4;null;
2016-12-31;null;null;null;null;7,8;null;
2017-01-31;null;null;null;null;3,8;null;
2017-02-28;5;null;null;null;1,6;null;
2017-03-31;15;null;1001,3;25,6;0;0;
2017-04-30;22;null;1001,3;26;0;0;
2017-05-31;18;104,2;1001,4;26,6;3,8;0;
2017-06-30;10;42,4;997,4;26,5;5,3;1,3;
2017-07-31;6;29,2;999,3;26;5,4;1,4;
2017-08-31;1;,2;997,6;27,4;4,5;1,7;
2017-09-30;3;2,8;997;28;5,4;2,1;
2017-10-31;6;null;995,8;27,6;5,4;2;
2017-11-30;null;null;null;null;4,8;null;
2017-12-31;null;null;null;null;4,7;null;
2018-01-31;10;null;null;null;5;null;
2018-02-28;24;485,2;996,1;25,3;4,9;1,3;
2018-03-31;26;255,8;996,1;25,7;4,9;1,2;
2018-04-30;25;545,2;997;25,3;5,4;1,1;
2018-05-31;21;205,6;997,5;25,6;4,9;1,1;
2018-06-30;9;30,8;998,4;25,9;4,5;1,3;
2018-07-31;6;28;998,2;26,1;4,9;1,5;
2018-08-31;8;21,8;998,7;26,3;4;1,6;
2018-09-30;1;2;996,2;27,3;5,1;1,9;
2018-10-31;5;32,8;995,7;27,8;4,9;1,8;
2018-11-30;5;null;994,9;28,1;4,8;1,7;
2018-12-31;8;null;null;null;null;null;
2019-01-31;27;424,4;997,2;25,3;5;1,3;
2019-02-28;25;345,8;996,7;25,2;7,1;1,1;
2019-03-31;29;779,2;997,3;25,1;4,7;1,1;
2019-04-30;28;445;996,9;25,7;4,7;1;
2019-05-31;3;null;996,5;26,2;5,2;1,2;
2019-06-30;null;null;998,2;26,4;5,4;1,3;
2019-07-31;null;null;998,3;26,1;5,8;1,4;
2019-08-31;null;null;999;26,4;7;1,6;
2019-09-30;null;0;997,2;27,4;5,4;1,8;
2019-10-31;null;null;995,8;27,4;4,7;1,7;
2019-11-30;null;null;994,7;27,6;5,4;1,5;
2019-12-31;null;null;995;27,3;7,1;1,6;
2020-01-31;null;null;996,8;25,4;4,2;,8;
2020-02-29;null;null;996,9;25,5;5,1;,9;
2020-03-31;null;null;996,8;25,6;5,1;1,1;
2020-04-30;28;570,4;997,3;25,6;4,9;1,1;
2020-05-31;20;214,8;997,6;26,4;5,9;1,1;
2020-06-30;8;50,6;997,6;26,3;5,6;1,3;
2020-07-31;6;21;997,3;26,3;5,4;1,4;
2020-08-31;null;null;997,2;26,9;7,2;1,6;
2020-09-30;null;null;null;null;5,1;null;
2020-10-31;null;null;null;null;4,9;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
