Nome: TOME ACU
Codigo Estacao: A213
Latitude: -2.59249999
Longitude: -48.36055555
Altitude: 42.95
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;23;333,8;1005,3;26;4,9;1;
2010-02-28;22;381;1004,5;26,5;5,3;1,1;
2010-03-31;25;183,2;1005,2;26,8;5,4;1;
2010-04-30;29;489,2;1005,3;26,2;5,3;,8;
2010-05-31;21;207;1005,7;26,8;6,4;,8;
2010-06-30;15;61,8;1007,5;26,2;5,1;,8;
2010-07-31;9;53;1007;26,3;8,2;,9;
2010-08-31;9;55,2;1007;26,4;6,5;1;
2010-09-30;10;28,8;1005,5;26,8;4,8;1,2;
2010-10-31;9;95,8;1005,2;27,2;4,6;1,1;
2010-11-30;11;112,6;1003,7;27,1;4,7;1;
2010-12-31;20;220,2;1003,4;26,2;6,6;1;
2011-01-31;28;420,4;1004,4;25,2;6,5;,9;
2011-02-28;26;514,4;1005,3;25;5,7;,9;
2011-03-31;27;619,4;1005,2;25,3;4,9;,9;
2011-04-30;28;557,2;1005,6;25,6;5;,8;
2011-05-31;23;399,8;1005,6;26,1;4,7;,8;
2011-06-30;11;null;1006,8;26,2;5,5;1;
2011-07-31;null;null;null;null;4;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;1;null;null;null;null;null;
2011-10-31;11;64,6;1004,3;26,9;5,9;1,3;
2011-11-30;12;167,2;1004,4;26,6;4,3;1,1;
2011-12-31;14;134,6;1004,6;26,7;6;1,1;
2012-01-31;25;330,2;1005,2;25,8;6,1;1,1;
2012-02-29;24;408,6;1005,2;25,1;6,1;1;
2012-03-31;29;450,2;1005,9;25,3;6,2;,9;
2012-04-30;27;371;1005,5;25,7;6;1;
2012-05-31;24;140;1006,5;25,9;6,1;1;
2012-06-30;21;138,8;1007,8;25,7;6;,9;
2012-07-31;18;58,8;1007,3;25,7;4,9;1;
2012-08-31;7;46,4;1007,8;26;6,6;1;
2012-09-30;4;6,8;1007,6;26,7;4,7;1,3;
2012-10-31;7;30,8;1005,1;27,2;5,6;1,3;
2012-11-30;5;132;1004,5;27,7;4,7;1,3;
2012-12-31;17;221,2;1004,4;26,6;4,6;1,1;
2013-01-31;29;192;1005,7;26,3;4,8;1;
2013-02-28;23;270;1004,9;25,7;5,2;1,1;
2013-03-31;29;372,4;1005,7;25,9;9,1;1;
2013-04-30;28;362,8;1006,3;26;7;,8;
2013-05-31;27;334,2;1006,6;26;7,4;,9;
2013-06-30;20;139;1007,2;26,1;5,7;,9;
2013-07-31;8;null;null;25,8;6;null;
2013-08-31;null;null;null;null;4,4;null;
2013-09-30;2;null;null;null;5,6;null;
2013-10-31;9;71,2;1005,8;27;6;1,2;
2013-11-30;14;275;1004,3;26,3;5,9;1;
2013-12-31;15;121,4;1005;26,3;4,8;1;
