Nome: RONDON DO PARA
Codigo Estacao: A214
Latitude: -4.82749999
Longitude: -48.1736111
Altitude: 203
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;320,8;984,4;26,3;7,1;1,6;
2010-02-28;19;152,6;983,6;26,6;5,9;1,7;
2010-03-31;17;137;984,3;26,9;6,7;1,3;
2010-04-30;21;317,2;984,3;26,4;4,5;1;
2010-05-31;16;86,8;984,7;26,6;5,4;1;
2010-06-30;10;40,6;986,6;26,3;5,2;1,2;
2010-07-31;4;21,2;986,1;26,5;5,5;1,4;
2010-08-31;null;0;985,9;27,2;5,6;1,4;
2010-09-30;1;,2;984,3;28,7;5,5;1,6;
2010-10-31;15;201,6;984,1;27,6;9,9;1,5;
2010-11-30;17;112,8;982,8;26,6;5,1;1,2;
2010-12-31;18;185,8;982,5;26;6,5;1,1;
2011-01-31;null;null;null;null;5,1;null;
2011-02-28;18;null;null;24,8;4,7;null;
2011-03-31;28;187,4;984;25,5;4,8;1;
2011-04-30;23;278,8;984,5;25,5;6,2;,9;
2011-05-31;16;86,6;984,6;26,2;5,2;1,1;
2011-06-30;2;18,2;985,8;26,6;5,5;1,4;
2011-07-31;4;9,6;985,9;26,2;6,3;1,4;
2011-08-31;2;6,4;986;27,1;5,5;1,4;
2011-09-30;0;0;985,6;28,3;6,1;1,6;
2011-10-31;10;83;983,3;27,4;5,6;1,5;
2011-11-30;12;132,4;983,5;26,2;7,5;1,3;
2011-12-31;13;96;983,6;26,5;5,4;1,4;
2012-01-31;23;292;984,3;25,5;5;1,3;
2012-02-29;23;361,4;984,1;24,9;6,6;1,2;
2012-03-31;28;223,8;984,8;25,3;5,5;1,2;
2012-04-30;17;71;984,5;26;5,1;1,1;
2012-05-31;10;16,6;985,4;26,2;4,4;1,2;
2012-06-30;10;18,6;986,7;25,6;4,9;1,2;
2012-07-31;5;22,6;986,2;26,1;7,5;1,2;
2012-08-31;1;14,2;986,7;27,1;5,1;1,4;
2012-09-30;5;37,6;986,3;27,9;6,9;1,6;
2012-10-31;6;29,2;983,9;27,8;5,9;1,5;
2012-11-30;11;152,4;983,5;27,3;5,6;1,3;
2012-12-31;18;254,2;983,4;26,2;5,2;1,2;
2013-01-31;22;228;984,7;25,7;5,2;1,1;
2013-02-28;21;null;983,8;25,8;5,3;1,2;
2013-03-31;15;261,2;984,6;26,3;5,8;1,2;
2013-04-30;21;300,6;985,2;26,1;6,7;1;
2013-05-31;19;166;985,6;26,1;4,5;1;
2013-06-30;7;47,2;986,1;25,8;4,7;1,1;
2013-07-31;10;80,6;986,9;25,7;6,1;1,1;
2013-08-31;4;35,4;985,6;26,4;4,9;1,3;
2013-09-30;7;36,4;985,2;27,6;7;1,5;
2013-10-31;12;124,6;984,7;27,2;5,4;1,5;
2013-11-30;20;291;983,3;26,1;4,9;1,3;
2013-12-31;7;54,8;983,9;26,4;8,9;1,3;
2014-01-31;null;null;984,9;25,6;5,2;1,3;
2014-02-28;15;43;984,1;25,3;3,9;1,1;
2014-03-31;26;532,4;984,9;25,6;5;1,2;
2014-04-30;24;295,2;985,3;25,7;5,2;1,1;
2014-05-31;17;101,4;985,4;26,3;4,4;1;
2014-06-30;6;23;986;26,5;5,2;1,1;
2014-07-31;3;3,6;987,8;26,3;5,1;1,3;
2014-08-31;2;6;986,6;26,9;5,3;1,6;
2014-09-30;6;29,8;985,8;27,2;5,5;1,7;
2014-10-31;15;105,6;984,8;27,2;5,6;1,4;
2014-11-30;13;143,6;984;26,9;5,5;1,2;
2014-12-31;22;48,4;984,5;26,6;6,3;1,1;
2015-01-31;28;187,4;985,5;25,8;5,6;1,1;
2015-02-28;null;null;985,4;25,3;5,4;1;
2015-03-31;null;null;985,2;25,4;6,1;,9;
2015-04-30;24;75,2;985,5;26;5,8;,9;
2015-05-31;15;59,2;985,8;26,4;4,3;,9;
2015-06-30;4;1,6;987,1;26,5;5;,9;
2015-07-31;4;55,2;986,8;26,5;5,1;1;
2015-08-31;2;2,4;986,1;27;5,3;,6;
2015-09-30;3;7,6;985,5;27,9;7,7;,8;
2015-10-31;6;15,4;984,9;28,8;6,9;,8;
2015-11-30;13;21;983,8;28;5,6;,6;
2015-12-31;null;null;984,9;27,5;6,2;,9;
2016-01-31;null;null;985,2;26,3;5,5;,3;
2016-02-29;3;null;985;27,4;6,3;,7;
2016-03-31;8;null;985,6;null;6,2;,4;
2016-04-30;6;null;null;null;5,5;null;
2016-05-31;10;69,4;986,4;27,1;5;,4;
2016-06-30;3;2;987,5;27;4,9;1,1;
2016-07-31;6;2,8;986,8;27;5,3;1,1;
2016-08-31;2;,6;986,3;28,3;5,3;1,3;
2016-09-30;null;null;986;27,8;4,6;,6;
2016-10-31;null;null;984,1;27,7;9,1;,2;
2016-11-30;null;null;983,2;27,9;4,9;,3;
2016-12-31;null;null;984,1;26,1;5,9;1,1;
2017-01-31;null;null;984,8;25,4;5,6;1;
2017-02-28;9;null;null;null;null;null;
2017-03-31;27;437,2;985;25,6;5,8;1;
2017-04-30;22;250,6;985;26,1;7,1;1;
2017-05-31;12;82,4;985,7;26,4;5,9;1,1;
2017-06-30;4;15,6;987,5;25,5;7,5;1,6;
2017-07-31;4;39;989,4;24,9;8,2;1,9;
2017-08-31;3;44,4;987,4;25,8;6,3;1,6;
2017-09-30;1;2,4;986,8;26,8;7,2;1,8;
2017-10-31;7;11,6;985,3;27,3;7,4;1,9;
2017-11-30;22;125,2;984,7;26,4;8,5;1,6;
2017-12-31;15;327,2;985,2;25,9;7,3;1,4;
2018-01-31;20;null;985,7;25,4;6,5;1,4;
2018-02-28;20;null;null;24,7;8,4;null;
2018-03-31;19;null;986,1;25,3;7,2;1,2;
2018-04-30;25;343;986,9;25,1;6,9;1;
2018-05-31;12;81,4;987,4;25,3;6,7;,8;
2018-06-30;null;null;null;null;null;null;
2018-07-31;null;null;null;null;null;null;
