Nome: BARBALHA
Codigo Estacao: A315
Latitude: -7.30083333
Longitude: -39.2711111
Altitude: 409.41
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;17;221;965,3;25,3;4,2;1,3;
2010-02-28;9;104,2;964,7;26,4;5;1,4;
2010-03-31;10;164,2;964,8;26,5;4,4;1,2;
2010-04-30;10;269,2;965,1;26,1;4,5;1,4;
2010-05-31;6;17,8;965,6;26,1;5,2;1,5;
2010-06-30;7;37,4;968,3;24,8;5,4;2,2;
2010-07-31;4;7,8;968,3;25,1;6,7;2,5;
2010-08-31;null;0;968,5;25,3;5,8;2,8;
2010-09-30;1;null;967;26,5;6,1;2,8;
2010-10-31;8;25,6;965,1;27,6;4,7;1,8;
2010-11-30;1;9,6;963,7;27,6;5;1,8;
2010-12-31;null;null;null;null;5,4;null;
2011-01-31;null;null;null;null;5,2;null;
2011-02-28;null;null;null;null;3,7;null;
2011-03-31;8;null;null;25,3;3,8;null;
2011-04-30;16;79,2;964,9;25,2;4,2;1,3;
2011-05-31;9;72;966;24,6;4,9;1,6;
2011-06-30;2;4,2;967,5;24,5;4,9;1,9;
2011-07-31;2;6,2;967,9;24,3;5,9;2,3;
2011-08-31;2;10,6;968,1;25,4;6,2;2,2;
2011-09-30;0;0;968,2;26,1;6,1;2,6;
2011-10-31;5;186,4;964,5;27,2;4,4;1,7;
2011-11-30;12;70,4;964,7;25,6;4,4;1,4;
2011-12-31;6;71,6;964,5;26,2;4,5;1,3;
2012-01-31;9;35,2;964,9;26,3;4,8;1,4;
2012-02-29;17;133,4;964,6;26,2;5,9;1,5;
2012-03-31;16;106,6;965,3;25,9;5;1,3;
2012-04-30;8;43,4;965,2;25,9;4,4;1,2;
2012-05-31;5;5,6;966,5;26,3;6;1,7;
2012-06-30;5;18,2;967,9;25,8;5,6;1,9;
2012-07-31;0;0;968,2;25,7;6,7;2,6;
2012-08-31;null;0;969,2;25,5;7,8;3,1;
2012-09-30;0;0;968,2;27,1;6,6;2,6;
2012-10-31;2;6;965,5;28,2;6,9;2,3;
2012-11-30;2;23,4;964,2;28,6;4;1,7;
2012-12-31;12;26;964;28;4,2;1,4;
2013-01-31;null;null;965,1;27,2;4,8;1,4;
2013-02-28;null;null;964,4;26,8;4,8;1,4;
2013-03-31;null;null;965;26,9;5;1,3;
2013-04-30;null;null;965,9;25,2;4,1;1,3;
2013-05-31;2;null;966,7;25,4;5,8;1,5;
2013-06-30;null;null;967,5;25,5;4,4;1,5;
2013-07-31;3;10,6;968,6;24,4;4,8;1,9;
2013-08-31;0;0;967,7;25,7;5,3;2,3;
2013-09-30;0;0;967,1;27,1;5;2,2;
2013-10-31;3;16,6;966;27,9;6,4;2;
