Nome: PREGUICAS
Codigo Estacao: A218
Latitude: -2.59222221
Longitude: -42.7075
Altitude: 4.62
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;12;120,6;1009,9;28,3;6,6;3,4;
2010-02-28;14;57,6;1008,9;29;7,7;4,1;
2010-03-31;19;335,2;1009,7;28,7;6;3,2;
2010-04-30;21;305;1009,4;28,4;5,9;2,6;
2010-05-31;16;90,4;1010;29;6,8;2,9;
2010-06-30;11;103,6;1011,9;28,3;5,8;2,5;
2010-07-31;8;86,2;1011,7;28,1;6,6;3;
2010-08-31;2;,6;1011,8;28;7,2;4,1;
2010-09-30;0;0;1010,5;27,8;8,1;4,7;
2010-10-31;1;1,2;1010;28,2;7,2;4;
2010-11-30;5;11,4;1008,4;28,6;7,3;4,3;
2010-12-31;9;99,2;1007,8;28,1;7,6;3,5;
2011-01-31;15;447,8;1008,7;27,3;5,9;2,9;
2011-02-28;21;221,4;1009,4;27,2;5,9;2,7;
2011-03-31;23;406,8;1009,4;27,3;5,5;2,4;
2011-04-30;28;421,6;1009,9;26,8;5,5;2,1;
2011-05-31;27;355,4;1010;27,4;5,1;2;
2011-06-30;null;null;null;null;6,4;null;
2011-07-31;null;null;null;null;5,6;null;
2011-08-31;2;null;null;null;7,2;null;
2011-09-30;1;3,4;1011,8;27,6;7,3;4,3;
2011-10-31;5;5;1009,2;27,8;8,1;4,2;
2011-11-30;6;9,4;1009,2;28,2;7,1;4,3;
2011-12-31;2;4,2;1009,4;28,1;7;4,5;
