Nome: ALTO PARNAIBA
Codigo Estacao: A223
Latitude: -9.10833333
Longitude: -45.93194443
Altitude: 283.69
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;22;195,4;978,5;25,6;6,3;,9;
2010-02-28;19;116,8;977,8;26,6;5,1;1;
2010-03-31;16;194,8;978,4;26,2;5,5;,9;
2010-04-30;1;null;null;null;null;null;
2010-05-31;6;42,2;978,7;27;4,2;,9;
2010-06-30;0;0;981,3;25,8;5,4;1,3;
2010-07-31;1;1,6;981,3;25,3;6,1;1,5;
2010-08-31;null;0;980,9;25,3;5,6;1,3;
2010-09-30;0;0;978,8;27,9;6,1;1,5;
2010-10-31;15;138,8;977,6;27,6;7,5;1;
2010-11-30;11;123,6;976,5;27;5,3;,9;
2010-12-31;11;88,6;976,2;26,2;5;,8;
2011-01-31;27;235,4;977,1;25,5;8,1;,8;
2011-02-28;25;348;978,3;24,3;6,5;,7;
2011-03-31;26;275;977,9;25,3;5,5;,7;
2011-04-30;19;87,4;978,5;25,7;4;,8;
2011-05-31;9;54,6;979,1;25,7;4,3;,9;
2011-06-30;1;,2;980,5;25;4,9;1;
2011-07-31;0;0;980,7;24,7;5,1;1,2;
2011-08-31;0;0;980,3;26;4,1;1;
2011-09-30;0;0;980;27,2;5,2;1,2;
2011-10-31;14;150,4;977,1;27,2;5,3;1,1;
2011-11-30;2;null;null;null;5,1;null;
2011-12-31;17;145,4;977,5;25,9;5,1;,9;
2012-01-31;22;199,2;978,4;24,8;4,2;,8;
2012-02-29;22;207,6;978,2;24,7;4,9;,8;
2012-03-31;25;162,8;978,6;25,2;4,4;,6;
2012-04-30;10;54;978,2;26,3;4,5;,7;
2012-05-31;6;40,2;979,5;26;4,5;,8;
2012-06-30;0;0;980,8;25,2;4,2;,7;
2012-07-31;0;0;980,9;24,8;5;1;
2012-08-31;null;0;981,9;25,9;6,1;1,6;
2012-09-30;0;0;980,2;28;5,3;1,2;
2012-10-31;4;24;977,2;29,9;5;1,1;
2012-11-30;23;233,6;977,6;26,2;6,1;,8;
2012-12-31;15;147;977,2;26,6;4,9;,7;
2013-01-31;26;279;978,8;25,6;6,7;,8;
2013-02-28;14;54,8;977,6;26,5;6,4;,8;
2013-03-31;22;178,2;978,5;26,4;5,2;,7;
