Nome: BOM JESUS DA LAPA
Codigo Estacao: A418
Latitude: -13.25111111
Longitude: -43.40527777
Altitude: 447.75
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;9;27,8;961,3;26,9;4,7;1,4;
2010-02-28;8;45,4;960,9;28;6,7;1,7;
2010-03-31;18;151,4;961,3;26,2;6,6;1,5;
2010-04-30;7;121,6;962,2;25,6;4,6;1,5;
2010-05-31;1;30,2;962,2;26,5;4,4;1,4;
2010-06-30;0;0;965,5;24,3;4,6;1,9;
2010-07-31;1;,2;966;24,5;4,9;2;
2010-08-31;0;0;965,5;24,9;5,5;1,7;
2010-09-30;1;6,8;963,3;27,2;4,9;1,8;
2010-10-31;8;79,8;960,3;29,5;5,7;1,5;
2010-11-30;8;2,6;959,8;26,7;8;1,4;
2010-12-31;0;0;958,7;26,2;4,9;1,3;
2011-01-31;17;41,8;960;25,9;5,5;1,3;
2011-02-28;6;71;960,4;27;5,6;1,4;
2011-03-31;17;161;960,5;25,6;4,5;1,3;
2011-04-30;9;34,6;961,9;25,8;5,8;1,6;
2011-05-31;5;10,4;962,9;25,1;4,3;1,7;
2011-06-30;0;0;964,2;24,8;4,5;1,6;
2011-07-31;0;0;964,8;24,4;5;1,7;
2011-08-31;0;0;964,3;26,4;4,9;1,6;
2011-09-30;0;0;964,5;26,7;5,4;1,7;
2011-10-31;9;92,8;960,4;27,4;6,2;1,7;
2011-11-30;16;134;961,2;25;5,8;1,5;
2011-12-31;11;191,4;960,6;25,8;6,8;1,5;
2012-01-31;7;46,6;961,1;26,4;6,5;1,6;
2012-02-29;8;null;null;26,2;4,6;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;1;null;null;null;null;null;
2012-05-31;6;34,2;963,2;26,5;6,7;1,8;
2012-06-30;2;1,6;964,5;26,2;4,4;1,6;
2012-07-31;0;0;965;25,2;4,6;1,6;
2012-08-31;null;0;966,7;24,9;5,7;2;
2012-09-30;1;2;964,2;28,2;5,1;1,6;
2012-10-31;4;16,2;961;29,5;4,8;1,6;
2012-11-30;23;286;960,6;25,3;4,8;1,3;
2012-12-31;2;1,6;959,8;28,5;4,9;1,5;
2013-01-31;16;136;961,2;27;6,4;1,4;
2013-02-28;2;33,6;960,4;29,1;5,5;1,5;
2013-03-31;10;68,4;960,8;28,7;4,7;1,3;
2013-04-30;8;59,4;962,3;26,6;4,2;1,6;
2013-05-31;1;15,4;963;27;4,2;1,5;
2013-06-30;3;24,2;964,2;26;4,5;1,5;
2013-07-31;0;0;965,3;25,8;4,6;1,6;
2013-08-31;0;0;964,4;26,3;4,5;1,6;
2013-09-30;2;2,6;963,1;28,6;6,3;1,6;
2013-10-31;14;10,8;961,8;28,5;7,2;1,7;
2013-11-30;null;null;960,1;27,7;5;1,6;
2013-12-31;9;1,8;960,6;25,2;5,1;1,5;
2014-01-31;2;2,8;961,9;26,8;4,5;1,6;
2014-02-28;null;null;961,1;27,2;5,3;1,6;
2014-03-31;null;null;961,5;27,2;6,2;1,4;
2014-04-30;null;null;962;27,4;5,6;1,3;
2014-05-31;3;3,6;962,8;27;4,5;1,4;
2014-06-30;1;3,4;964,7;25,6;5,1;1,7;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;965,4;26;5,5;1,8;
2014-09-30;0;0;963,2;28,5;4,9;1,8;
2014-10-31;3;28,2;962,5;28,9;6,3;2;
2014-11-30;12;221,8;960,8;27,6;5,4;1,5;
2014-12-31;13;126,4;961,9;26,2;5,4;1,5;
2015-01-31;null;null;null;null;3,8;null;
2015-02-28;null;null;null;null;5,5;null;
2015-03-31;null;null;null;null;4,7;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;1;,4;964,1;25,9;5;1,5;
2015-06-30;0;0;966;25,4;5,2;1,8;
2015-07-31;0;0;965,8;25,7;5,5;1,6;
2015-08-31;0;0;965,2;26,2;6;1,7;
2015-09-30;0;0;962,2;29,9;4,9;1,5;
2015-10-31;1;1,8;961,6;30,9;5,1;1,7;
2015-11-30;12;88;959,9;30,1;8;1,6;
2015-12-31;6;12;961,4;30,2;7,6;1,5;
2016-01-31;19;346,6;961,8;26;5,8;1,5;
2016-02-29;6;8,4;962,3;27,8;5,1;1,2;
2016-03-31;1;,2;962,3;29,1;4,8;1,5;
2016-04-30;0;0;962;28,9;4,7;1,4;
2016-05-31;0;0;964,1;27,6;4,3;1,4;
2016-06-30;1;4,6;965,7;26,3;5,3;1,6;
2016-07-31;0;0;965,7;25,6;4,4;1,5;
2016-08-31;0;0;964,5;27,4;4,4;1,6;
2016-09-30;null;null;null;28,2;4,5;null;
2016-10-31;null;null;null;30,5;4,6;null;
2016-11-30;4;null;null;null;4,7;null;
2016-12-31;10;63,2;960,9;27,7;6;1,3;
2017-01-31;4;16,6;960,5;29,6;6;1,3;
2017-02-28;13;47,4;961,3;27,2;5,3;1,3;
2017-03-31;8;135;960,9;28,3;5,8;1,1;
2017-04-30;7;48;962;27,5;5;1,1;
2017-05-31;1;3,6;963,1;27,2;4,4;1,3;
2017-06-30;null;0;964,9;26;4,7;1,6;
2017-07-31;0;0;968,3;23,6;5,5;2,2;
2017-08-31;null;0;964,5;26;5,3;1,6;
2017-09-30;null;null;965,2;27,1;5,3;1,8;
2017-10-31;1;3;961;30,3;5,4;1,7;
2017-11-30;14;null;960,1;27,5;5,2;1,2;
2017-12-31;11;92,4;960,3;27,1;5,4;1,2;
2018-01-31;10;86,6;960,7;28,2;6,6;1,3;
2018-02-28;11;174,2;960,8;26,4;5,9;1,1;
2018-03-31;17;97,4;961,1;26,6;5,2;1,1;
2018-04-30;5;82,6;962,7;26,5;5,7;1,1;
2018-05-31;1;,2;964;26,7;4,5;1,5;
2018-06-30;null;0;965,4;25,8;4,3;1,1;
2018-07-31;1;null;null;25,3;3,9;null;
2018-08-31;1;,2;964,7;27,6;5,2;1,3;
2018-09-30;0;0;961,5;29,4;5,5;1,4;
2018-10-31;7;41,4;960,3;30,2;4,8;1,4;
2018-11-30;7;58;960,7;27,4;5;1,3;
2018-12-31;null;null;962,2;25,9;5,3;1,3;
2019-01-31;null;null;null;null;null;null;
2019-02-28;2;null;null;null;null;null;
2019-03-31;15;171,8;961,6;28,1;6,3;1,1;
2019-04-30;4;61,4;962;27,5;3,7;,8;
2019-05-31;3;13;962,3;27,8;5,5;1;
2019-06-30;0;0;965,8;26,1;4,4;1,4;
2019-07-31;0;0;965,6;25,3;4,9;1,4;
2019-08-31;null;0;966,5;26,4;5,6;1,7;
2019-09-30;1;8,2;963,3;28,8;5,2;1,6;
2019-10-31;4;6,4;960,8;30,2;4,9;1,6;
2019-11-30;7;39,4;959,2;30,5;5,2;1,5;
2019-12-31;4;null;null;null;5,4;null;
2020-01-31;11;null;null;26,5;6,2;null;
2020-02-29;10;78;961,8;27,1;4,3;,9;
2020-03-31;15;null;962;25,7;4,4;1;
2020-04-30;5;null;963;25,9;3,8;1,1;
2020-05-31;2;64,4;964,7;24,6;4,2;1,3;
2020-06-30;0;0;965,5;24,3;5,9;1,5;
2020-07-31;0;0;965,4;24,2;5,1;1,5;
2020-08-31;1;,2;964,9;25,8;4,9;1,8;
2020-09-30;1;4,8;963,4;28,1;5,1;1,6;
2020-10-31;7;41,4;960,7;29,4;5,5;1,4;
2020-11-30;9;null;961,2;26,2;4,7;1,2;
2020-12-31;4;4;960,8;27,7;4,3;1,2;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;5;null;960,9;29,8;5,4;1,6;
2021-11-30;17;132;960,4;26,6;6,1;1,4;
2021-12-31;1;null;960,1;25,2;5;1;
2022-01-31;null;null;961,6;26,1;4,9;1,1;
2022-02-28;null;null;961,1;26,7;8,4;1,1;
2022-03-31;null;null;961,1;27,1;5,5;1,1;
2022-04-30;null;null;null;null;3,8;null;
2022-05-31;null;null;null;null;4,6;null;
2022-06-30;null;null;null;null;4,4;null;
2022-07-31;null;null;null;null;4,1;null;
2022-08-31;null;null;null;null;5,3;null;
2022-09-30;null;null;null;null;4,1;null;
2022-10-31;null;null;null;null;5,4;null;
2022-11-30;null;null;null;null;3,8;null;
2022-12-31;9;null;960,8;25;5,7;1,1;
2023-01-31;9;null;961,7;26,1;7,2;1;
2023-02-28;1;null;961,3;28,2;4,2;,8;
2023-03-31;8;null;961,7;28,1;4,4;,5;
2023-04-30;2;35,6;961,3;27,7;4,9;,4;
2023-05-31;3;21,8;963,5;26,6;3,9;,5;
2023-06-30;0;0;965,5;25,8;4,2;,5;
2023-07-31;0;0;965,9;25,7;5,4;,8;
2023-08-31;3;16,8;963,8;27,5;5;,6;
2023-09-30;2;22,2;962,6;29,3;4,8;,9;
2023-10-31;3;null;960,4;31,7;4,5;1;
2023-11-30;5;null;959,9;30,1;5,1;,6;
2023-12-31;null;null;960;30,9;7,3;,8;
2024-01-31;12;null;961,5;27,1;6;,6;
2024-02-29;8;null;962,8;26,3;4,6;,5;
2024-03-31;8;61,2;961,6;28,2;5,2;,4;
2024-04-30;6;null;null;27,2;3,6;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;null;null;null;null;null;null;

