Nome: CAICO
Codigo Estacao: A316
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;12;109;992;28;6,6;2,3;
2010-02-28;7;51,8;991,3;28,9;6,8;2,7;
2010-03-31;10;106;991,4;29,3;7,1;2,4;
2010-04-30;18;170,6;991,5;27,9;6,9;2;
2010-05-31;7;52,8;992,1;28,7;9;2,5;
2010-06-30;9;65,8;994,7;26,9;6,2;2,6;
2010-07-31;3;4,4;994,8;26,8;7,4;3,4;
2010-08-31;null;0;995,2;27,1;7,8;4,2;
2010-09-30;1;5,4;993,7;27,9;9,3;4,5;
2010-10-31;4;91,4;992,1;29,2;8,1;3,3;
2010-11-30;null;null;null;29,2;7,6;null;
2010-12-31;9;null;989,7;28,5;6,9;2,6;
2011-01-31;12;117,4;990,3;27,9;6;2,6;
2011-02-28;12;154;991,1;27,5;5,6;2,3;
2011-03-31;16;109,6;991,1;26,9;6,5;1,8;
2011-04-30;18;255,4;991,4;26,6;5,1;1,8;
2011-05-31;14;209;992,5;26;8;2,1;
2011-06-30;6;15,2;994;26,5;6,4;2,6;
2011-07-31;8;38,8;994,6;25,6;6,5;2,9;
2011-08-31;3;1,2;995;26,7;7,2;3,4;
2011-09-30;0;0;994,9;27,8;6,9;4,1;
2011-10-31;2;4,4;991,4;29,1;7,3;3,3;
2011-11-30;2;,6;991,3;29,4;7,2;3,3;
2011-12-31;1;2,2;991,3;29,7;6,9;3,2;
2012-01-31;7;57,6;991,7;29;6,7;3;
2012-02-29;9;76,2;991,3;28,3;7,7;3;
2012-03-31;11;19,6;991,8;29,1;7,1;2,9;
2012-04-30;2;1;991,6;29,9;5,6;2,9;
2012-05-31;2;1,6;993,2;29,1;6,9;3,2;
2012-06-30;7;40;994,7;27,7;7,4;3;
2012-07-31;1;,2;995;26,9;6,6;3,7;
2012-08-31;null;0;995,9;27,3;6,8;4;
2012-09-30;0;0;995,3;28,2;8,1;3,9;
2012-10-31;0;0;992,6;29;8;4;
2012-11-30;2;2;991,3;29,7;7,4;3;
2012-12-31;0;0;990,9;30,1;6,2;3,1;
2013-01-31;4;24;991,8;30,1;7,2;3;
2013-02-28;4;7;991;30,3;7;3,4;
2013-03-31;8;89,6;991,6;30,2;6,9;2,7;
2013-04-30;12;145,4;992,2;29,2;5,8;2,3;
2013-05-31;12;73,4;993,1;27,9;6,1;2,3;
2013-06-30;8;52,2;994,1;27,3;5,5;2,5;
2013-07-31;6;25,2;995,2;27;6,2;2,8;
2013-08-31;2;3,2;994,4;27,8;6,7;3,7;
2013-09-30;0;0;994,2;28,3;8;4;
2013-10-31;1;,6;993,1;29,3;8;3,8;
2013-11-30;5;45,8;991,3;28,9;7,4;3,4;
2013-12-31;8;43;991,7;29;6,3;2,7;
2014-01-31;8;4,2;992,1;29,4;6,3;3;
2014-02-28;9;2,2;991,3;28,8;7,7;2,8;
2014-03-31;null;null;null;28,4;7,5;null;
2014-04-30;null;null;null;null;4,6;null;
2014-05-31;2;null;null;null;4,6;null;
2014-06-30;3;10,4;994,4;27,2;5,9;2,8;
2014-07-31;5;6,4;996,5;27;6,1;3,2;
2014-08-31;0;0;995,6;27,5;7;3,9;
2014-09-30;2;5,2;994,6;28,3;8,1;3,7;
2014-10-31;1;2,4;993,5;28,9;7,5;4;
2014-11-30;3;5,6;992,1;29,2;7,3;3,1;
2014-12-31;0;0;992,4;29,6;7,1;3,2;
2015-01-31;3;7,2;992,9;29,9;7,4;3,5;
2015-02-28;9;67,2;992,3;29,1;9,4;2,8;
2015-03-31;12;102;992,2;28,4;5,7;2,4;
2015-04-30;9;135,8;992,6;27,9;6,4;2,1;
2015-05-31;1;3,2;993,3;29,1;6,4;2,8;
2015-06-30;5;11,4;995,3;27,8;7,9;3;
2015-07-31;6;19,8;995,6;27;7,3;3,4;
2015-08-31;0;0;995,2;27,7;7,9;4;
2015-09-30;0;0;994,2;28,8;7,5;3,8;
2015-10-31;0;0;993,7;29,4;8,7;3,8;
2015-11-30;null;0;991,9;30,1;7,4;3,2;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;8;null;null;28,9;6,4;null;
2016-04-30;8;92,4;992,4;28,1;6;2,5;
2016-05-31;7;18,2;994,1;28,8;5,6;2,8;
2016-06-30;1;20,8;995,6;28,1;5,9;2,9;
2016-07-31;0;0;995,4;27,9;6,5;3,5;
2016-08-31;0;0;995,2;28,3;6,8;3,6;
2016-09-30;1;3,2;994,5;29,1;8,3;3,8;
2016-10-31;0;0;992,4;29,7;8;3,8;
2016-11-30;0;0;991,5;30,1;8,8;3,6;
2016-12-31;4;40,4;991,5;29,9;6,7;3,2;
2017-01-31;null;null;991,7;30,1;7;3,1;
2017-02-28;null;null;991,5;28,9;6,5;2,5;
2017-03-31;22;159,8;991,8;27,5;6,3;1,7;
2017-04-30;10;null;null;27,6;7,8;null;
2017-05-31;null;null;null;null;4,3;null;
2017-06-30;2;null;null;null;6,2;null;
2017-07-31;11;16,6;996,8;26,2;6,7;3,2;
2017-08-31;0;0;995;28;6,9;3,7;
2017-09-30;0;0;995,1;28,1;7,9;4,1;
2017-10-31;0;0;992,8;29,4;8,1;4;
2017-11-30;0;0;991,4;29,9;7,1;3,2;
2017-12-31;0;0;991,4;30,1;6,5;3;
2018-01-31;8;24;991,7;29,3;7,2;2,9;
2018-02-28;11;164,2;991,4;28,2;8,6;2,2;
2018-03-31;10;154,6;991,8;28,4;6,5;2;
2018-04-30;8;null;null;null;null;null;
2018-05-31;9;null;993,7;26,7;5,6;2,2;
2018-06-30;null;null;null;null;null;null;
2018-07-31;null;null;null;null;null;null;
2018-08-31;0;0;995,6;28,1;7;3,5;
2018-09-30;0;0;993,3;28,8;7,3;3,8;
2018-10-31;1;,2;992,3;29,8;7,9;3,2;
2018-11-30;0;0;991,4;30,2;7,4;3,6;
2018-12-31;6;17;992,4;29,8;7,1;3;
2019-01-31;18;62,8;992,9;28,9;6,5;2,5;
2019-02-28;null;null;992,1;28,3;8,1;2,1;
2019-03-31;13;152,4;992,6;27,5;6,5;1,9;
2019-04-30;26;69;992,6;27,1;6,9;1,7;
2019-05-31;16;5,8;992,8;27,4;5,3;2;
2019-06-30;4;1,4;995,1;27,4;5,8;2,7;
2019-07-31;4;2,6;995,5;26,5;5,8;2,6;
2019-08-31;1;1,2;996,7;27,1;6,8;3,5;
2019-09-30;0;0;994,5;28,7;6,8;3,7;
2019-10-31;0;0;992,5;29,6;7,6;3,7;
2019-11-30;0;0;990,9;30,4;7,3;3,2;
2019-12-31;1;,8;991,2;30,6;7;3,2;
2020-01-31;15;18,6;992,1;29,6;6,4;2,3;
2020-02-29;null;null;992,2;28,5;5,8;1,9;
2020-03-31;null;null;992,2;27,6;6;1,6;
2020-04-30;null;null;992,8;27,5;5,7;1,7;
2020-05-31;null;null;994;27,1;4,7;1,8;
2020-06-30;null;null;null;null;5,8;null;
2020-07-31;null;null;null;null;5,8;null;
2020-08-31;null;null;null;null;6,1;null;
2020-09-30;null;null;null;null;6,3;null;
2020-10-31;null;null;null;null;6,7;null;
2020-11-30;null;null;null;null;4,8;null;
2020-12-31;null;null;null;null;4,4;null;
2021-01-31;null;null;null;null;5,2;null;
2021-02-28;null;null;null;null;4,6;null;
2021-03-31;null;null;null;null;4,4;null;
2021-04-30;null;null;null;null;5,4;null;
2021-05-31;null;null;null;null;5,4;null;
2021-06-30;null;null;null;null;5,7;null;
2021-07-31;null;null;null;null;5,3;null;
2021-08-31;null;null;null;null;6,1;null;
2021-09-30;null;null;null;null;5,4;null;
2021-10-31;null;null;null;null;5,5;null;
2021-11-30;null;null;null;null;5,3;null;
2021-12-31;null;null;null;null;5,3;null;
2022-01-31;null;null;null;null;4,6;null;
2022-02-28;null;null;null;null;4,6;null;
2022-03-31;null;null;null;null;4,6;null;
2022-04-30;null;null;null;null;5,4;null;
2022-05-31;null;null;null;null;4,4;null;
2022-06-30;null;null;null;null;4,8;null;
2022-07-31;null;null;null;null;5,1;null;
2022-08-31;null;null;null;null;6;null;
2022-09-30;null;null;null;null;5,1;null;
2022-10-31;null;null;null;null;5,7;null;
2022-11-30;null;null;null;null;4,9;null;
2022-12-31;null;null;null;null;5,6;null;
2023-01-31;null;null;null;null;4,9;null;
2023-02-28;null;null;null;null;4,6;null;
2023-03-31;null;null;null;null;5;null;
2023-04-30;null;null;null;null;5,5;null;
2023-05-31;null;null;null;null;4,3;null;
2023-06-30;null;null;null;null;4,8;null;
2023-07-31;null;null;null;null;6;null;
2023-08-31;null;null;null;28,1;6,3;null;
2023-09-30;0;0;994,1;29;6,1;3,2;
2023-10-31;0;0;992,4;30,1;6,2;3;
2023-11-30;2;17,4;991,9;30,3;6,8;2,7;
2023-12-31;6;26,8;991,6;30,1;5,9;2,6;
2024-01-31;11;55,2;992,8;29,5;6,5;2,1;
2024-02-29;16;124,6;992,7;28,8;6,3;1,9;
2024-03-31;15;165,2;992,2;28;5,6;1,6;
2024-04-30;14;110,4;991,8;27,7;4,4;1,5;
2024-05-31;6;70,8;992,8;28,3;5;1,9;
2024-06-30;8;9,2;994,6;27,7;4,6;2,3;
2024-07-31;5;null;null;null;5,5;null;

