Nome: MOSSORO
Codigo Estacao: A318
Latitude: -4.90416666
Longitude: -37.36694443
Altitude: 29.44
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;10;20;1008,1;28;7,3;3,5;
2010-02-28;6;10,4;1007,3;28,7;7,4;3,8;
2010-03-31;7;12,4;1007,7;28,9;7,4;3,5;
2010-04-30;15;196,4;1007,5;28;6,5;2,6;
2010-05-31;10;46;1008,2;27,4;7,2;2,6;
2010-06-30;3;5;1010,4;27,1;7,1;2,6;
2010-07-31;4;38,8;1010,4;26,9;6,9;2,9;
2010-08-31;1;,2;1010,8;26,7;8,3;3,7;
2010-09-30;1;,2;1009,6;27,1;8,8;4,4;
2010-10-31;3;27,8;1008,6;27,6;8;4,2;
2010-11-30;2;,4;1007,1;27,9;8,5;4,7;
2010-12-31;8;35,4;1006,1;27,7;8,2;4;
2011-01-31;10;null;1006,7;27,2;7,4;3,2;
2011-02-28;11;101;1007,3;26,9;7,3;2,7;
2011-03-31;15;119;1007,3;26,3;6,5;2,2;
2011-04-30;23;302,4;1007,6;26;6,2;1,8;
2011-05-31;18;167,2;1008,3;25,8;4,8;1,6;
2011-06-30;8;14,8;1010;25,5;6,3;2;
2011-07-31;null;null;null;null;7,3;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;1;,2;1010,7;26,9;7,3;3,7;
2011-10-31;5;10,4;1007,9;27,3;8;4,4;
2011-11-30;2;,8;1007,9;27,6;8,6;4,7;
2011-12-31;4;48,2;1008;27,5;8;4,6;
2012-01-31;3;5,8;1008,2;27,7;7,7;4,3;
2012-02-29;7;58,6;1007,6;27,3;8;3,6;
2012-03-31;4;39,6;1008,2;27,7;6,9;3,5;
2012-04-30;4;28,4;1008;28;7;3,6;
2012-05-31;3;3,8;1009,4;27,8;7,4;3,9;
2012-06-30;3;,8;1010,7;27,3;7,1;3,5;
2012-07-31;11;27,2;1010,8;26,9;6,9;3,6;
2012-08-31;8;26,8;1011,6;27;7,7;3,9;
2012-09-30;7;12,2;1011,5;26,9;8,4;4,4;
