Nome: GARANHUNS
Codigo Estacao: A322
Latitude: -8.91083333
Longitude: -36.49333333
Altitude: 827.78
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;17;102;921,6;22,1;6,5;2,8;
2010-02-28;11;46,2;921,4;22,8;7,6;2,8;
2010-03-31;7;105,2;921,2;23,6;7,5;2,9;
2010-04-30;15;183,6;921,5;22,5;7,1;2,2;
2010-05-31;16;38,8;922,2;21,8;5,6;1,7;
2010-06-30;26;374,4;924,3;20;6,2;2,1;
2010-07-31;29;118,8;924,5;19,1;7;2,4;
2010-08-31;27;87;925,2;18,3;6,8;2,3;
2010-09-30;18;95,8;923,9;19,2;8,1;2,9;
2010-10-31;8;73,6;922;21,5;8,4;3,2;
2010-11-30;4;1,4;920,6;22,3;7,7;3,8;
2010-12-31;5;10;919,4;22,9;7,8;3,8;
2011-01-31;10;56,2;919,9;22,3;6,7;2,9;
2011-02-28;6;62,2;920,6;22,6;6,2;3,1;
2011-03-31;3;129,2;920,3;23,3;6,5;3,3;
2011-04-30;22;98,4;921,1;22;6,6;2,3;
2011-05-31;21;null;922;20,6;6,8;2,1;
2011-06-30;17;null;923,7;19,8;5,9;2;
2011-07-31;13;null;924,2;null;5,7;2,3;
2011-08-31;8;null;924,5;19,1;5,7;2,5;
2011-09-30;12;null;925,1;19,2;5,9;2,5;
2011-10-31;12;14,2;921,4;21;6,9;3,3;
2011-11-30;9;27;921,3;21,7;8;4;
2011-12-31;0;0;921,2;22,7;8,7;4,1;
2012-01-31;7;18,8;921,5;22,2;7,8;3,5;
2012-02-29;8;26,4;921,3;22;6,4;3,1;
2012-03-31;5;4;921,8;22,4;6,5;3,2;
2012-04-30;6;32,6;921,9;21,9;6,1;2,5;
2012-05-31;14;59;923,3;21,4;5;2,5;
2012-06-30;21;65,2;924,5;19,9;6,8;2,2;
2012-07-31;30;98,6;924,7;18,8;5,4;2,2;
2012-08-31;24;100,2;925,9;18,4;7,3;2,5;
2012-09-30;11;15,8;925,3;19,5;6,9;3;
2012-10-31;10;12,2;922,9;20,7;7,7;3,5;
2012-11-30;1;1;920,8;23;10;4,8;
2012-12-31;4;5,4;920,9;23;7,9;3,8;
2013-01-31;9;14,2;921,7;23,4;8,4;4,1;
