Nome: PAO DE ACUCAR
Codigo Estacao: A323
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.83
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;6;85,2;1009,7;28,4;7,1;1,9;
2010-02-28;8;113,8;1009,4;28,7;8,7;2;
2010-03-31;10;32,6;1008,9;29;7,6;1,4;
2010-04-30;13;115,8;1009,7;27,9;6,4;1,1;
2010-05-31;12;41,6;1010,7;27;5,2;1,1;
2010-06-30;23;153,8;1013,8;25;6,1;,9;
2010-07-31;28;130,4;1014,4;23,7;5,5;,8;
2010-08-31;21;47,4;1015,2;23,4;5,9;1,1;
2010-09-30;12;69,6;1013,6;24,4;6,2;1,6;
2010-10-31;5;53,2;1010,4;27,3;7,5;1,7;
2010-11-30;null;null;1008,8;28,4;6,6;2,3;
2010-12-31;null;null;null;null;6,4;null;
2011-01-31;4;null;null;29,1;6,5;null;
2011-02-28;6;null;null;null;null;null;
2011-03-31;7;134,8;1007,9;28,8;8,6;1,2;
2011-04-30;20;108,4;1009,5;26,9;6,2;1,1;
2011-05-31;22;101,2;1011,2;25,2;5,6;,8;
2011-06-30;13;38,8;1013,1;24,6;5,3;,9;
2011-07-31;22;81,4;1014;23,4;6,5;1,1;
2011-08-31;12;33,6;1014,6;24;6,5;1,4;
2011-09-30;10;56,8;1015;24,4;5,4;1,6;
2011-10-31;4;21;1009,9;27,3;6;2;
2011-11-30;6;30,2;1009,8;27,2;6,2;1,9;
2011-12-31;0;0;1009,2;28,9;6,4;1,2;
2012-01-31;4;6,4;1009,8;28,6;6;,8;
2012-02-29;4;37,2;1009,7;28,2;5,8;,6;
2012-03-31;2;3;1010,2;28,4;6;,6;
2012-04-30;5;9;1010,2;28,1;5,1;,3;
2012-05-31;8;40,8;1012,1;27;4,4;,3;
2012-06-30;12;40,8;1013,8;25,5;5,4;,3;
2012-07-31;23;79,4;1014,7;23,5;5;,2;
2012-08-31;23;53,8;1016,1;23,5;6,1;,5;
2012-09-30;9;22,4;1014,9;25,4;6,1;,8;
2012-10-31;5;6,8;1011,9;26,6;6,2;1,1;
2012-11-30;1;,2;1008,7;29,3;6,8;2,6;
2012-12-31;null;null;null;null;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;null;null;null;null;5,3;null;
2013-03-31;1;null;1009,4;29,8;6,5;2,7;
2013-04-30;11;61,8;1010,2;28,7;6,7;2,2;
2013-05-31;15;62,2;1011,8;26,1;5,7;1,3;
