Nome: POCO VERDE
Codigo Estacao: A419
Latitude: -10.73805555
Longitude: -38.10833333
Altitude: 367.01
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;9;24,2;970,9;26,2;9,7;3,6;
2010-02-28;9;42,2;970,8;26,1;7,6;3,5;
2010-03-31;8;47,4;970,3;26,5;8,1;3,5;
2010-04-30;17;109,8;971,1;24,8;9,7;3,1;
2010-05-31;17;44,8;971,8;24,4;7,3;2,9;
2010-06-30;27;142,2;974,8;22,1;7,8;3,4;
2010-07-31;31;139,8;975,2;21,3;6,6;2,6;
2010-08-31;26;64,8;975,9;20,6;6,7;2,1;
2010-09-30;21;52,6;974,4;21,7;7,9;3,5;
2010-10-31;3;133,6;971,5;24,6;8,2;3,6;
2010-11-30;3;3,2;969,9;25,2;8,4;4,4;
2010-12-31;1;4,2;968,4;26,1;8,6;3,9;
2011-01-31;12;66,4;969,4;25,5;8,8;3,4;
2011-02-28;8;25,6;970,1;25,6;8,4;3,4;
2011-03-31;7;149,6;969,3;26,4;9;3,5;
2011-04-30;22;88,6;970,8;24,5;7,5;3,1;
2011-05-31;18;82,6;972,3;23,2;9,5;3,2;
2011-06-30;24;47;974;22;7,6;2,7;
2011-07-31;23;55,8;974,8;21;7,5;2,9;
2011-08-31;23;51,4;975,1;21,8;8;3;
2011-09-30;15;23,6;975,7;22;7,9;3,5;
2011-10-31;6;91;971;24,2;8,3;4,2;
2011-11-30;4;null;null;null;7,8;null;
2011-12-31;1;null;null;25,7;8,6;null;
2012-01-31;5;9,4;971;25,6;9,1;4,2;
2012-02-29;5;28,6;970,9;25,3;9,1;3,8;
2012-03-31;4;4,6;971,4;25,4;9,8;3,8;
2012-04-30;4;,8;971,4;25,4;8;3,6;
2012-05-31;15;70,2;973,2;23,9;8,1;3,4;
2012-06-30;18;22,8;974,8;22,8;7;3,1;
2012-07-31;25;84,2;975,3;21,3;7,7;3;
2012-08-31;27;52,2;976,8;21;7,3;3,3;
2012-09-30;26;73,2;975,7;22,6;8,5;3,8;
2012-10-31;28;159;972,9;23,4;8,1;3,9;
2012-11-30;21;24;970;25,7;9,2;4,6;
2012-12-31;16;88;970,3;26,1;9,8;4,4;
2013-01-31;4;20,6;970,9;26,3;9,7;4,3;
2013-02-28;3;2,6;970,8;26,5;9,6;4,4;
2013-03-31;3;1,2;970,9;26,8;9,4;4,2;
2013-04-30;10;75,6;971,6;25,7;10,4;4;
2013-05-31;3;null;null;null;null;null;
2013-06-30;17;null;null;22;5,7;null;
2013-07-31;29;164,2;975,4;21,2;6,6;2,3;
2013-08-31;29;76;975;21,1;6,8;2,5;
2013-09-30;24;66,6;974,5;22,3;7,4;3;
2013-10-31;14;92,6;973;23,6;8,7;3,7;
2013-11-30;7;19,6;970,8;24,3;8,2;4;
2013-12-31;6;56,2;970,1;25,6;8,6;4,1;
2014-01-31;7;16,6;971,7;25,4;8,9;3,6;
2014-02-28;15;36,6;970,8;25,3;8;3,3;
2014-03-31;12;35,8;971,3;25,4;7,3;3,2;
2014-04-30;12;64,2;971,5;25,4;9,4;3,3;
2014-05-31;25;71,6;972,6;23,4;8,4;3;
2014-06-30;28;98,6;974,6;22,1;6,9;2,8;
2014-07-31;29;111;976,8;21,2;7,6;2,6;
2014-08-31;26;63,6;976,1;21,1;7,6;2,9;
2014-09-30;12;27,6;974,8;22,8;7,4;3,7;
2014-10-31;11;40,8;973,8;23,6;8,8;4,1;
2014-11-30;9;83;971,2;24,6;7,9;3,4;
2014-12-31;8;45,4;971,8;24,7;8,4;2,9;
2015-01-31;5;10,6;972,5;25,7;8;3,7;
2015-02-28;11;17,8;971,6;26;10,3;3,6;
2015-03-31;5;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;1;null;null;null;null;null;
2015-06-30;28;131,8;975,4;22,3;6,6;1;
2015-07-31;28;64,8;975,9;21,6;8,9;,9;
2015-08-31;23;42,6;975,8;21;6,5;1,1;
2015-09-30;12;16;974,1;23,4;7,4;2,3;
2015-10-31;9;14;973,5;24,5;7,9;3,2;
2015-11-30;3;,8;970,6;26,2;10;3,9;
2015-12-31;7;11,6;972,4;26;8,5;3,2;
2016-01-31;15;120,4;971,1;25,7;8;2,5;
2016-02-29;9;17;972,1;26;8,1;2,3;
2016-03-31;7;10,2;972,3;26,5;7,1;2,3;
2016-04-30;10;31,6;972,1;25,6;7,2;2,2;
2016-05-31;16;176,8;974,1;24,2;6,5;1,8;
2016-06-30;21;70,4;975,7;22,7;7,4;1,8;
2016-07-31;29;39,6;975,9;21,5;6,9;1,3;
2016-08-31;24;36,6;975,6;22,1;6,6;1,7;
2016-09-30;10;19,2;974,7;23,3;7,4;2,5;
2016-10-31;4;7,8;972,2;25,2;8,9;3,5;
2016-11-30;2;2,4;971,1;25,9;9,4;3,9;
2016-12-31;6;12;970,9;26,2;9;3,4;
2017-01-31;1;,4;971,4;26,1;8;2,7;
2017-02-28;3;6,6;970,9;26,4;8;2,7;
2017-03-31;8;55,2;970,8;26,4;7,9;2,4;
2017-04-30;12;86,6;971,9;25,1;9,2;2,1;
2017-05-31;17;null;973;24,2;8,8;1,7;
2017-06-30;6;null;null;null;7,1;null;
2017-07-31;null;null;null;null;7,6;null;
2017-08-31;9;null;null;null;null;null;
2017-09-30;26;123;976,2;21,4;8,6;2;
2017-10-31;12;27;973,3;23,1;6,5;2,1;
2017-11-30;2;4,4;970,7;25,1;7,5;3;
2017-12-31;4;29,8;970,2;25,8;8,3;2,7;
2018-01-31;5;16,8;971;26,1;9,7;2,5;
