Nome: BOM JESUS DO PIAUI
Codigo Estacao: A326
Latitude: -9.07999999
Longitude: -44.32777777
Altitude: 288
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;144,6;977,1;26,1;7,4;1,4;
2010-02-28;7;null;976,3;27,5;7,2;1,7;
2010-03-31;null;null;null;null;8;null;
2010-04-30;null;null;null;null;6;null;
2010-05-31;1;4,2;977,4;27,9;5,4;1,2;
2010-06-30;0;0;980,1;27,6;6,8;2,1;
2010-07-31;0;0;980,3;27,3;7,1;2,7;
2010-08-31;2;2;980;27,8;7,1;2,5;
2010-09-30;1;,2;978;29,7;7,2;2,6;
2010-10-31;10;214,2;976,2;29,3;6,9;1,7;
2010-11-30;6;20,2;975,1;27,9;6,8;1,3;
2010-12-31;6;null;975,1;26,7;8,7;1,1;
2011-01-31;15;155,4;975,8;25,7;10,2;1;
2011-02-28;21;227;976,8;24,7;8,8;,8;
2011-03-31;24;222,8;976,6;25,1;7,3;,8;
2011-04-30;14;41,8;977,3;25,5;5,2;,9;
2011-05-31;5;27,4;978,1;25,6;4,6;1;
2011-06-30;0;0;979,4;25,2;6;1,3;
2011-07-31;1;,8;979,7;25,6;6,9;2,1;
2011-08-31;2;1,6;979,3;27,6;6;1,9;
2011-09-30;0;0;979,2;28,9;7;2,5;
2011-10-31;9;175,2;975,7;28,4;7,2;1,7;
2011-11-30;16;127,4;976,5;25,9;7,9;1,3;
2011-12-31;10;77,4;976,1;26,6;6,4;1,2;
2012-01-31;19;112,6;976,8;25,5;7,2;1,2;
2012-02-29;16;76,4;976,8;25,3;8,5;1,2;
2012-03-31;11;93,6;977;26,3;7,9;1,2;
2012-04-30;2;7,4;976,7;27,4;8,1;1;
2012-05-31;4;1,2;978;28,3;7,1;1,6;
2012-06-30;1;,8;979,4;27,9;6,4;1,8;
2012-07-31;0;0;979,8;27,6;8;2,3;
2012-08-31;null;0;981,1;27,5;8,7;3;
2012-09-30;0;0;979,3;29,7;8,8;2,6;
2012-10-31;3;5,2;976;31,2;6,4;2,4;
2012-11-30;15;170;976;27,2;9,8;1,7;
2012-12-31;8;41,8;975,7;27,5;6,1;1,3;
2013-01-31;19;28,8;977,3;26;5,8;1,2;
2013-02-28;1;,2;976;28;8,3;1,4;
2013-03-31;14;211,8;976,9;27,1;8,7;1,4;
2013-04-30;11;72,6;977,9;26,4;8;1;
2013-05-31;5;42,4;978,5;26,8;7,9;1,2;
2013-06-30;0;0;979,1;27,4;6,9;1,6;
2013-07-31;1;1;980,2;27,4;6,7;2,1;
2013-08-31;0;0;979,1;28,4;7,1;2,2;
2013-09-30;0;0;978;30,3;7;2,7;
2013-10-31;5;24;977;29,9;7,2;2,4;
2013-11-30;8;49,8;975,6;28,6;7,9;2;
2013-12-31;17;209,2;976,5;26;9,7;1,3;
2014-01-31;6;33,8;977,3;27;8,3;1,2;
2014-02-28;14;140,2;976,7;26,5;6,4;1,2;
2014-03-31;20;156,6;977,5;25,8;5,1;1,1;
2014-04-30;10;84;978;26,1;5,2;,7;
2014-05-31;2;4;978,5;26,5;6,3;1,2;
2014-06-30;0;0;979,7;26,7;6,6;1,9;
2014-07-31;0;0;981,6;27,2;7,2;2,4;
2014-08-31;0;0;980,3;28,1;6,6;2,3;
2014-09-30;3;2,8;978,3;29,8;7,5;2;
2014-10-31;6;41,2;977,5;30,1;7,4;2,6;
2014-11-30;15;80,6;976,5;27,6;7,9;1,5;
2014-12-31;null;null;977,4;null;7,7;1,8;
2015-01-31;null;null;null;null;10,4;null;
2015-02-28;1;null;null;null;7,5;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;1;,2;980,4;28,3;7,4;2,4;
2015-08-31;1;,6;979,8;28,6;7,3;2,2;
2015-09-30;0;0;977,7;30,7;7,3;2,1;
2015-10-31;3;25,8;977,1;31,3;7,1;2,2;
2015-11-30;8;81,6;975,7;30;7,1;1,7;
2015-12-31;7;16,8;976,9;30,3;7,3;1,9;
2016-01-31;21;345,8;978;26,2;9,1;1,2;
2016-02-29;9;84,4;977,9;27,6;7,6;1,5;
2016-03-31;8;89,8;978;28,2;7,2;1,1;
2016-04-30;3;54,2;977,3;28,6;7,6;1,3;
2016-05-31;2;16;979,1;28,8;6,8;1,4;
2016-06-30;2;2,4;980,8;28;6,7;1,9;
2016-07-31;0;0;980,7;27,4;7,3;2,3;
2016-08-31;null;0;979,6;29,1;7,1;2,2;
2016-09-30;null;null;null;30,3;7,8;null;
2016-10-31;null;null;null;null;7,2;null;
2016-11-30;9;21,2;975,8;29,2;6,7;1,6;
2016-12-31;9;46,8;976,6;27,7;5,7;,4;
2017-01-31;null;null;976,8;28,1;8,6;,3;
2017-02-28;12;null;977,5;25,3;10;,1;
2017-03-31;14;112,6;977,3;26,1;10,4;,2;
2017-04-30;9;57,2;977,7;27;4,6;0;
2017-05-31;2;23,2;978,5;27,5;5,4;,2;
2017-06-30;0;0;979,8;27,4;5,9;,4;
2017-07-31;0;0;982,6;26,6;6,7;,9;
2017-08-31;0;0;979,4;28,8;6;,3;
2017-09-30;0;0;979,8;29,5;8,1;1;
2017-10-31;2;,4;976,3;31,5;7,6;,6;
2017-11-30;3;null;975,9;27,5;8,2;,1;
2017-12-31;null;null;976,3;26,9;9,8;,1;
2018-01-31;null;null;977;26,1;4,9;,1;
2018-02-28;null;null;977,2;25,6;4;0;
2018-03-31;2;null;977,4;25,8;6,6;,1;
2018-04-30;7;76,2;978,5;26;1,9;0;
2018-05-31;1;3,2;979,3;27;3,8;,2;
2018-06-30;0;0;980,7;26,8;6,3;,2;
2018-07-31;0;0;980,5;26,9;4,8;,2;
2018-08-31;1;5,2;980;28,6;5,7;,3;
2018-09-30;1;1,2;977;30,2;5;,3;
2018-10-31;null;null;976,2;30,9;7,7;,3;
2018-11-30;null;null;null;null;8,6;null;
2018-12-31;null;null;null;null;5,4;null;
2019-01-31;null;null;null;null;7,8;null;
2019-02-28;null;null;null;null;5,1;null;
2019-03-31;8;null;null;null;7,8;null;
2019-04-30;14;53,6;978,1;26,3;6,7;,1;
2019-05-31;8;116,8;978,1;26,8;4,9;,1;
2019-06-30;1;,4;980,7;26,9;7,1;,3;
2019-07-31;1;,8;980,5;27,2;5,4;,4;
2019-08-31;0;0;981,4;28,3;5,9;,6;
2019-09-30;0;0;978,3;30,5;5;,4;
2019-10-31;0;0;976,4;30,4;8,1;,4;
2019-11-30;null;null;975,3;29,8;8,7;,2;
2019-12-31;null;0;975,7;29,4;8,1;,3;
2020-01-31;9;58,8;977,8;26,6;5,9;,1;
2020-02-29;14;171,6;978;26,6;3,7;0;
2020-03-31;23;150,8;978,1;25,8;6,3;,1;
2020-04-30;15;112,2;978,9;26,3;7,2;,1;
2020-05-31;null;null;979,9;26,3;2,7;0;
2020-06-30;2;,4;980,5;26,1;4,9;,3;
2020-07-31;0;0;980,3;26,2;7,3;,4;
2020-08-31;0;0;979,7;28,2;5,4;,4;
2020-09-30;0;0;978,4;30,1;8;,6;
2020-10-31;null;null;null;null;5,7;null;
2020-11-30;9;null;null;26,6;7,6;null;
2020-12-31;15;6,4;976,7;27;6,3;,2;
2021-01-31;10;3,2;976,5;27;8,1;,1;
2021-02-28;12;2,4;977,1;25,4;5,1;,1;
2021-03-31;2;,4;977,3;25,6;7,5;,1;
2021-04-30;15;7,6;977,6;26;6,3;0;
2021-05-31;4;1;979,2;26,4;2,1;,1;
2021-06-30;null;null;null;26,7;3;null;
2021-07-31;null;null;981;27,2;5,1;,3;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;30,7;4,6;null;
