Nome: PALMEIRA DOS INDIOS
Codigo Estacao: A327
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 278.01
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;7;77,6;981;26,3;6,6;2,9;
2010-02-28;8;36,6;980,7;26,5;6,8;2,6;
2010-03-31;9;93,2;980,3;27,4;7,8;2,3;
2010-04-30;18;288,6;980,9;25,9;7,8;1,7;
2010-05-31;16;31,6;981,8;25,2;5,6;1,6;
2010-06-30;27;343;984,5;23,4;5,6;1,4;
2010-07-31;28;171;985;22,4;6,7;1,7;
2010-08-31;25;73,2;985,8;21,8;6;1,6;
2010-09-30;21;78,6;984,3;22,7;6,2;2,3;
2010-10-31;6;71,6;981,6;25,1;7,1;2,5;
2010-11-30;3;2;980;26;7,7;3,3;
2010-12-31;3;35,8;978,5;26,7;7;2,9;
2011-01-31;null;null;null;null;7;null;
2011-02-28;3;null;null;null;7,1;null;
2011-03-31;3;1;979,3;27,5;5,9;2,4;
2011-04-30;null;null;980,5;25,5;5,8;1,7;
2011-05-31;null;null;982,1;23,7;6,1;1,2;
2011-06-30;null;null;983,9;23,1;4,9;1,2;
2011-07-31;null;null;984,6;21,7;6,2;1,3;
2011-08-31;15;76,6;985,1;22,2;5,5;1,4;
2011-09-30;17;83,4;985,6;22,3;5,6;1,6;
2011-10-31;7;30,8;981,1;24,7;6,1;2,6;
2011-11-30;6;64,2;980,9;25;7,4;3,1;
2011-12-31;0;0;980,5;26,5;8,2;3,6;
2012-01-31;3;5,6;981,1;26,1;7;3;
2012-02-29;8;72,2;980,9;25,7;6,8;2,9;
2012-03-31;6;4,2;981,4;26;6,6;2,8;
2012-04-30;6;22,2;981,5;25,5;6,4;2,2;
2012-05-31;9;51,2;983,1;25,1;5,8;2,1;
2012-06-30;16;49,2;984,7;23,4;5,6;1,7;
2012-07-31;26;100;985,2;22,1;6,2;1,5;
2012-08-31;25;100,2;986,6;21,8;6,6;1,6;
2012-09-30;9;15,4;985,7;23;6,5;2,2;
2012-10-31;9;31,2;982,9;24,3;8,2;3,1;
2012-11-30;1;1,2;980;26,9;8,1;3,7;
2012-12-31;1;4,8;980,3;26,8;7,6;3,5;
2013-01-31;6;8,6;980,9;27,4;8,1;3,5;
2013-02-28;6;5,4;980,8;27,1;7;3,4;
2013-03-31;3;2;981;27,5;7,3;3,2;
2013-04-30;11;128,6;981,4;26,6;6,4;2,4;
2013-05-31;15;122,4;982,8;24,6;5,2;1,4;
2013-06-30;14;null;null;23,8;5,2;null;
2013-07-31;7;null;null;null;null;null;
2013-08-31;25;102,8;984,9;22,2;5,6;1,4;
2013-09-30;16;22,6;984,5;23,3;7,8;2,1;
2013-10-31;9;62;983;24,6;7;2,8;
2013-11-30;4;5,2;980,8;25,5;7,7;3,3;
2013-12-31;4;62,4;980,3;27;7,4;3,7;
2014-01-31;6;9,6;981,7;26,3;8,2;3,4;
2014-02-28;10;35,4;980,7;26,2;7,2;2,9;
2014-03-31;11;35,8;981,2;26,5;6,5;3;
2014-04-30;13;81,8;981,4;26,3;5,5;2,3;
2014-05-31;22;154,6;982,5;24,2;4,9;1,5;
2014-06-30;24;82,2;984,4;23,1;5,8;1,6;
2014-07-31;28;77,6;986,6;22,3;6,6;1,5;
2014-08-31;22;64,8;986,1;22,1;5,9;1,7;
2014-09-30;13;63,6;984,8;23,3;6,2;2,5;
2014-10-31;17;132,6;983,8;23,7;7,2;2,8;
2014-11-30;6;13,6;981,3;25,5;6,7;3,2;
2014-12-31;7;12,4;981,8;25,9;7;3,3;
2015-01-31;3;4,4;982,6;26,6;9,6;3,7;
2015-02-28;6;20,8;981,6;26,6;7,2;3,2;
2015-03-31;9;13;981,2;27;6,4;3,2;
2015-04-30;4;49,8;981,2;27,3;6,5;2,6;
2015-05-31;18;61,6;982,9;25,7;5,8;2,2;
2015-06-30;9;null;null;null;5,4;null;
2015-07-31;1;null;null;null;5,1;null;
2015-08-31;15;28,4;985,7;22,4;5,5;1,9;
2015-09-30;4;12,6;984,2;24,1;7;2,9;
2015-10-31;7;8,4;983,5;25,2;7,4;3;
2015-11-30;3;1,4;980,7;27,3;7,6;3,6;
2015-12-31;6;14,6;982,4;26,9;7,9;2,4;
2016-01-31;14;61;981,2;27;7,7;2,1;
2016-02-29;5;6,4;982,1;26,8;7,7;2;
2016-03-31;5;22;982,3;27,2;6,4;2;
