Nome: CABROBO
Codigo Estacao: A329
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.74
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;6;31,2;972,6;27,7;8,5;2,4;
2010-02-28;5;61,8;972,1;28,7;10,8;3,5;
2010-03-31;8;48,6;972;28,7;10,2;2,1;
2010-04-30;11;108,8;972,7;27;9,3;2,2;
2010-05-31;5;17;973,4;27;7,5;2,7;
2010-06-30;16;17,8;976,5;24,7;8,8;3,3;
2010-07-31;12;16;976,7;24,2;9,1;3,9;
2010-08-31;7;9,2;977,1;24,3;8,4;4,5;
2010-09-30;6;4,6;975,4;25,5;10;4,9;
2010-10-31;6;102,4;972,7;28,1;8,9;3,8;
2010-11-30;1;,4;970,9;28,8;7,6;3,3;
2010-12-31;8;84;970,2;27,5;9,4;2,4;
2011-01-31;8;69,4;970,9;27,2;7,9;2,7;
2011-02-28;6;145,8;971,6;27,7;8,5;2,8;
2011-03-31;14;90,8;971,3;26,9;5,6;1,8;
2011-04-30;8;25,6;972,3;27,2;11,3;3,1;
2011-05-31;14;107;973,9;25;8,2;3,1;
2011-06-30;10;7,8;975,5;24,8;8,2;3,4;
2011-07-31;19;22,2;976,1;23,9;8,6;4;
2011-08-31;5;6;976,3;25,1;8,2;4,2;
2011-09-30;8;5,6;976,6;25,3;9,1;5,1;
2011-10-31;5;8,8;972,1;27,7;9,1;4,3;
2011-11-30;2;24,6;971,9;28,1;8,2;4,1;
2011-12-31;2;48,6;971,6;29;9,1;3,6;
2012-01-31;4;11,8;972,1;28,6;9,3;4;
2012-02-29;4;113;972,2;27,4;8,4;3,7;
2012-03-31;4;38,8;972,5;28,2;8,6;3,6;
2012-04-30;0;0;972,6;28,3;7,8;3,7;
2012-05-31;2;11,2;974,5;26,9;7,8;3,8;
2012-06-30;2;3,2;976;25,9;8,2;3,8;
2012-07-31;6;13;976,7;24,3;7,7;4,1;
2012-08-31;7;7,4;977,9;24,2;8,8;4,8;
2012-09-30;1;,6;976,6;26,2;8,8;4,8;
2012-10-31;0;0;973,7;27,3;8,8;4,8;
2012-11-30;3;7,4;971,1;29,8;8,6;3,5;
2012-12-31;2;1,2;971,3;29,5;8,4;3,6;
2013-01-31;9;46,6;972,3;28,7;8,8;3,2;
2013-02-28;0;0;971,9;29,4;8,9;4,2;
