Nome: PAULISTANA
Codigo Estacao: A330
Latitude: -8.132288
Longitude: -41.142945
Altitude: 376
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;11;54,2;968,5;27;8,1;2,4;
2010-02-28;8;30,6;967,8;28,7;8,3;3,2;
2010-03-31;9;113,2;968,1;28,4;7,4;2,2;
2010-04-30;10;75,4;968,7;26,9;7,2;3;
2010-05-31;1;1,2;969;28,5;7,3;3,2;
2010-06-30;4;25,4;972;26,1;8,2;4,2;
2010-07-31;2;3,8;972,2;25,5;7,7;4,6;
2010-08-31;1;,2;972,2;26,1;9,9;4,9;
2010-09-30;0;0;970,4;27,6;8,6;4,8;
2010-10-31;4;49,6;968,1;29,7;8,5;3,3;
2010-11-30;4;72,8;966,5;29,7;8,3;2,5;
2010-12-31;11;56,4;966,3;26,8;7,4;1,8;
2011-01-31;6;78,8;967;26,8;7,1;2;
2011-02-28;13;191,6;967,8;26,5;6,3;1,8;
2011-03-31;22;191,4;967,8;25,5;7;1,1;
2011-04-30;7;68,8;968,5;26;7,3;2,2;
2011-05-31;4;null;969,6;25,6;8,2;3,4;
2011-06-30;2;5,4;971,1;25,9;7,6;3,8;
2011-07-31;0;0;971,5;25,7;8,3;4,2;
2011-08-31;0;0;971,5;27,1;8,6;4;
2011-09-30;0;0;971,6;27,5;8,6;4,6;
2011-10-31;null;0;967,6;29,4;7,9;3,5;
2011-11-30;null;null;967,6;28,6;7,3;2,9;
2011-12-31;null;null;967,3;29,5;7,3;2,7;
2012-01-31;null;null;967,8;29,1;7,4;2,7;
2012-02-29;null;null;968;27,3;8;2,5;
2012-03-31;6;46;968,3;28,7;6,5;2,5;
2012-04-30;0;0;968,2;29,7;6,6;2,8;
2012-05-31;0;0;969,9;28,6;7,3;3,7;
2012-06-30;0;0;971,4;27,6;8,2;3,8;
2012-07-31;0;0;971,9;26,5;8,2;4;
2012-08-31;1;1;973;26,1;8,7;4;
2012-09-30;1;,2;971,7;28,3;8,3;2,8;
2012-10-31;0;0;968,7;29,7;8,4;2,6;
2012-11-30;5;22,6;967;30,5;6,3;,6;
2012-12-31;6;null;null;29,7;6,9;null;
2013-01-31;null;null;null;null;6,6;null;
2013-02-28;null;null;null;null;7,4;null;
2013-03-31;11;138,2;968,1;29,7;7,6;2,4;
2013-04-30;8;64;969,2;27,7;7,9;2,6;
2013-05-31;3;2,4;970;28,1;7,4;3,5;
2013-06-30;0;0;970,9;27,6;7,9;3,9;
2013-07-31;2;1,2;972,2;26,6;8,3;4,4;
2013-08-31;0;0;971,3;27,2;8,5;4,7;
2013-09-30;0;0;970,5;28,8;8,8;4,6;
2013-10-31;1;,2;969,1;29,9;8,5;4,2;
2013-11-30;10;61;967,3;29,3;7,8;3,6;
2013-12-31;13;111,2;967,8;27,7;7,7;2,2;
2014-01-31;3;7,4;968,6;29,1;7,5;3,4;
2014-02-28;9;194,6;968;27,7;6,6;3,1;
2014-03-31;9;36;968,7;27,4;6,5;2,4;
2014-04-30;7;61;969,3;27,4;8,2;2,6;
2014-05-31;5;9,4;970;27,1;7,6;3,5;
2014-06-30;0;0;971,4;26,9;7,2;4,2;
2014-07-31;0;0;973,5;26,4;8,6;4,7;
2014-08-31;0;0;972,5;26,9;8,9;4,8;
2014-09-30;null;null;null;null;8,3;null;
2014-10-31;1;null;null;30,6;7,7;null;
2014-11-30;7;144,8;968,1;29,1;8,8;3,2;
2014-12-31;7;60,2;968,8;27,8;7,1;3;
2015-01-31;1;null;null;29,2;7,2;null;
2015-02-28;6;null;null;27,8;6,3;null;
2015-03-31;15;263,4;968,8;26,9;5,9;1,9;
2015-04-30;11;34;969,2;26,9;6,2;2;
2015-05-31;1;3;970,4;27,7;7,8;3,7;
2015-06-30;0;0;972,4;26,9;7,7;4,3;
2015-07-31;2;,4;972,4;26,9;7,7;4,6;
2015-08-31;0;0;971,9;27,2;8,5;4,7;
2015-09-30;0;0;970,2;29,6;7,8;4,1;
2015-10-31;1;1;969,5;30,4;8;4;
2015-11-30;0;0;967,3;31,7;7,6;2,7;
2015-12-31;1;2,6;968,9;31,4;7,2;3,5;
