Nome: SAO JOAO DO PIAUI
Codigo Estacao: A331
Latitude: -8.36444444
Longitude: -42.2525
Altitude: 231
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;12;143;983,8;26,6;8,5;1,3;
2010-02-28;8;37,4;982,9;28,6;5,4;1,7;
2010-03-31;10;127,4;983,4;27,7;5,5;1,3;
2010-04-30;11;123,8;983,9;27,3;6,3;1,5;
2010-05-31;2;1,6;983,9;29,3;5,4;1,7;
2010-06-30;1;15,2;987,1;27,8;6,1;2,6;
2010-07-31;0;0;987,4;27,3;6,6;3,1;
2010-08-31;0;0;987,2;27,9;6,6;3,3;
2010-09-30;0;0;985,4;29,3;6,5;3,2;
2010-10-31;null;null;983;30,3;5,3;2;
2010-11-30;null;null;981,6;29,6;5,4;1,8;
2010-12-31;null;null;981,5;27,2;6,8;1,4;
2011-01-31;null;null;982,3;27,1;5,6;1,4;
2011-02-28;null;null;983,2;26,4;5,6;1,3;
2011-03-31;null;null;983,1;25,9;5,1;1;
2011-04-30;null;null;983,8;26,2;6,9;1,3;
2011-05-31;null;null;984,7;26,8;5,3;1,7;
2011-06-30;null;0;986,1;27;5,7;2,1;
2011-07-31;2;,6;986,6;27;6,4;2,6;
2011-08-31;1;null;null;null;6,2;null;
2011-09-30;null;null;null;null;6,3;null;
2011-10-31;null;null;null;null;5,8;null;
2011-11-30;9;70,6;982,8;28,5;5,8;2;
2011-12-31;2;41,4;982,4;29,5;5,4;1,8;
2012-01-31;7;38,2;983;28,7;5,8;1,6;
2012-02-29;13;168;983,3;26,9;5,5;1,4;
2012-03-31;5;35,6;983,4;28,7;5,2;1,3;
2012-04-30;1;,8;983,2;29,8;4,5;1,4;
2012-05-31;0;0;984,8;29,5;5,4;2,2;
2012-06-30;0;0;986,4;28,8;6;2,2;
2012-07-31;0;0;986,9;28;6,1;2,6;
2012-08-31;null;0;988,2;27,5;6,4;3,1;
2012-09-30;0;0;986,6;29,6;6,3;2,6;
2012-10-31;0;0;983,3;31;5,8;2,5;
2012-11-30;12;66,6;982,2;29,7;8,7;1,6;
2012-12-31;6;52;982,1;29,3;6,7;1,5;
2013-01-31;17;41;983,6;27,9;7;1,3;
2013-02-28;6;1,6;982,5;29,4;5,3;1,6;
2013-03-31;10;70,6;983,3;29,3;5,1;1,5;
2013-04-30;7;98,8;984,4;27,3;5,4;1,3;
2013-05-31;1;,2;985,1;28,7;5,3;1,9;
2013-06-30;0;0;986;28,7;5,7;2,2;
2013-07-31;0;0;987,2;28,2;6;2,7;
2013-08-31;0;0;986,3;28,6;5,8;2,9;
2013-09-30;0;0;985,3;30,2;5,9;2,9;
2013-10-31;2;,6;983,9;30,9;6,7;2,6;
2013-11-30;null;null;982,3;29,5;5,5;1,9;
2013-12-31;null;null;983,1;27,2;5,8;1,1;
2014-01-31;null;null;983,8;28,6;4,9;1,6;
2014-02-28;null;null;983,2;27,7;4,7;1,4;
