Nome: MORADA NOVA
Codigo Estacao: A332
Latitude: -5.0911111
Longitude: -38.36472222
Altitude: 93
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;11;124,2;1011,1;27,8;7,1;2;
2010-02-28;2;7,4;1010,2;28,9;7,5;2,3;
2010-03-31;11;31;1009,9;29,4;6,9;2,2;
2010-04-30;18;148;1011;28;6,5;1,5;
2010-05-31;4;15,6;1011,3;28,3;5,3;,8;
2010-06-30;3;26,6;1012,9;27,8;6,6;2;
2010-07-31;3;2,6;1011,9;28;6,6;2,2;
2010-08-31;0;0;1011,8;28;7,2;2,4;
2010-09-30;0;0;1010,5;28,2;7,4;2,8;
2010-10-31;5;47,4;1010,1;28,4;6,9;2,2;
2010-11-30;2;3,2;1008,9;28,6;6,6;2,5;
2010-12-31;13;126,2;1009;27,4;5,5;1,5;
2011-01-31;16;265;1010;26,9;6,7;1,1;
2011-02-28;1;null;null;null;5,7;null;
2011-03-31;null;null;null;null;5;null;
2011-04-30;5;null;null;null;null;null;
2011-05-31;14;154,2;1012;26,5;6,2;1,1;
2011-06-30;9;11;1013,1;26,5;6,7;1,4;
2011-07-31;7;107,6;1013,1;26,3;7,2;1,9;
2011-08-31;2;8,6;1013,1;26,6;6,9;2;
2011-09-30;1;3,6;1012;27,6;8,3;2,4;
2011-10-31;4;38,8;null;27,8;7,1;2,2;
2011-11-30;1;,4;null;28,2;6;2,4;
2011-12-31;null;null;null;null;6,2;null;
2012-01-31;2;null;null;null;5,9;null;
2012-02-29;11;null;1010,2;27,2;6,3;1,9;
2012-03-31;10;69;1011,5;27,6;4,7;1,4;
2012-04-30;4;33,6;1010,7;28,4;5,4;1,6;
2012-05-31;6;3,4;1011,2;28,3;6,2;1,8;
2012-06-30;5;39;null;27,7;6,5;1,8;
2012-07-31;2;,8;1008,3;27,5;7,9;2,2;
2012-08-31;null;0;1009,1;27,9;6,7;2,5;
2012-09-30;null;null;1009,2;null;7,1;2,7;
2012-10-31;null;null;null;null;6,8;null;
2012-11-30;null;null;null;null;5,4;null;
2012-12-31;null;null;null;null;5,8;null;
2013-01-31;1;null;null;null;6,5;null;
2013-02-28;1;null;null;null;6,5;null;
2013-03-31;12;99,8;1006;29,2;6,3;2,4;
2013-04-30;17;178,6;1006,8;28;6;1,5;
2013-05-31;10;88;1007,9;27,2;6;1,5;
2013-06-30;10;190,8;1009;26,5;5,4;1,5;
2013-07-31;8;23,2;1010,1;26,2;5,9;1,7;
2013-08-31;1;,4;1009;27,3;6,7;2,2;
2013-09-30;0;0;1008,9;28,2;7,1;3;
2013-10-31;1;,2;1008,1;28,4;7,4;3;
2013-11-30;4;49,8;1006,3;27,8;6,2;2,6;
2013-12-31;3;21,8;1006,8;28,1;5,9;2,5;
2014-01-31;5;10,8;1007,1;28,6;7;2,5;
2014-02-28;10;71,8;1006,3;28,2;6;2,1;
2014-03-31;15;182,4;1007,2;27,7;7,6;1,7;
2014-04-30;17;141,2;1007,5;27,4;6,3;1,3;
2014-05-31;14;94,4;1007,7;27,4;5,4;1,5;
2014-06-30;7;14,2;1008,9;27,6;6,7;2,1;
2014-07-31;3;21;1010,9;27,3;7,2;2,5;
2014-08-31;0;0;1009,8;27,7;7,4;2,9;
2014-09-30;1;1;1009,2;28,3;7,6;3,5;
2014-10-31;2;2,2;1008;28,8;7,8;3,7;
2014-11-30;5;5,6;1007,1;28,3;7,5;3,4;
2014-12-31;4;2,6;1007,3;28,8;7,5;3,7;
2015-01-31;3;19,6;1007,9;28,7;8,5;3,3;
2015-02-28;12;80,8;1007,3;28,2;9,3;2,7;
2015-03-31;21;116,2;1007,2;27,2;7,6;1,6;
2015-04-30;8;87;1007,5;27,2;7;1,7;
2015-05-31;null;null;1008;28,3;6,6;2,3;
2015-06-30;null;null;1009,7;27,6;6,9;2,3;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;1;,2;1008,3;28,3;7,5;3,6;
2015-10-31;0;0;1007,8;28,6;7,6;3,8;
2015-11-30;0;0;1006,2;28,9;6,8;3,8;
2015-12-31;4;21,6;1007,2;29,2;7,3;3,5;
2016-01-31;16;114,6;1006,9;27,6;7,9;2,3;
2016-02-29;11;98;1006,6;27,7;8,7;2;
2016-03-31;7;50,2;1006,7;29,2;7,9;2,3;
2016-04-30;20;64,8;1006,2;28;7,2;1,9;
2016-05-31;2;19,8;1008;28,8;6,6;2;
2016-06-30;5;17,2;1009,4;28,3;7,1;2,4;
2016-07-31;0;0;1009;28;7,9;2,8;
2016-08-31;null;null;null;null;8,1;null;
2016-09-30;null;null;null;null;7,4;null;
2016-10-31;0;0;1006,4;29;8,2;3,7;
2016-11-30;0;0;1005,6;29,2;7,1;3,8;
2016-12-31;6;12,6;1005,6;29,1;9,3;3,4;
2017-01-31;6;6,6;1005,8;29,4;10;3,3;
2017-02-28;12;215,2;1005,8;28,2;9,3;2,7;
2017-03-31;22;63;1006;27,2;6,4;1,7;
2017-04-30;12;120,2;1006,3;27,2;6,4;1,5;
2017-05-31;null;null;1007,1;27,8;5,9;1,9;
2017-06-30;4;10,6;1008,1;27,5;6,9;2,4;
2017-07-31;null;null;1010,4;27;7,2;3;
2017-08-31;2;1;1008,7;27,9;7,5;2,7;
2017-09-30;0;0;1008,5;28,5;8,2;3,5;
2017-10-31;0;0;1006,6;29;7,5;3,7;
2017-11-30;0;0;1005,7;28,8;8,1;3,9;
2017-12-31;1;,2;1005,6;29,2;8,3;3,7;
2018-01-31;8;2,4;1005,9;28,5;8,6;2,8;
2018-02-28;null;null;1005,6;27,7;8;2,2;
2018-03-31;11;73,6;1006;27,7;5,7;1,8;
2018-04-30;null;null;1006,9;26,6;6,7;1,5;
2018-05-31;null;null;1007,8;26,5;7,1;1,5;
2018-06-30;null;null;1009,2;26,3;7,3;2,1;
2018-07-31;3;11,8;1009,7;26,9;6,6;2,4;
2018-08-31;2;1,4;1016,5;27,7;7,3;2,6;
