Nome: ITAITUBA
Codigo Estacao: A231
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.46
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;18;142,8;1007;27,1;4,7;1,1;
2010-02-28;23;306,6;1006,2;27,4;5,2;1,1;
2010-03-31;23;169,2;1006,9;27,6;5,1;1;
2010-04-30;28;436,8;1007,4;26,8;6,3;,8;
2010-05-31;26;133,4;1007,7;27,1;4,7;,7;
2010-06-30;17;92,4;1009,3;27,1;4,8;,6;
2010-07-31;16;85,6;1008,9;26,9;6,5;,6;
2010-08-31;7;6,8;1008,4;27,9;4,5;,7;
2010-09-30;7;49,8;1006,8;28,5;4,5;,9;
2010-10-31;15;177,2;1006,5;28,3;7,1;,9;
2010-11-30;13;126,6;1005,4;27,6;3,9;,9;
2010-12-31;22;212,8;1005,2;26,6;4,4;,8;
2011-01-31;23;390,2;1006,2;25,8;4,5;,8;
2011-02-28;22;385,2;1007,1;25,8;4,8;,7;
2011-03-31;24;252,4;1006,8;26,2;5;,7;
2011-04-30;20;null;1007,5;26,3;4,8;,6;
2011-05-31;24;313,4;1007,5;26,5;5,3;,5;
2011-06-30;15;63,6;1008,3;27,3;4,9;,6;
2011-07-31;17;48,6;1008,4;27,1;7,1;,7;
2011-08-31;7;108;1008,3;28,4;4,5;1;
2011-09-30;8;71,4;1008,1;28,4;5,7;,9;
2011-10-31;14;135;1005,8;27,8;5,1;1,2;
2011-11-30;12;152,6;1005,8;27,4;5,4;1,2;
2011-12-31;16;147,6;1005,8;27,6;4,9;1,2;
2012-01-31;25;311,6;1007,2;26;5,9;1;
2012-02-29;23;288,6;1007,1;25,6;5,5;1;
2012-03-31;17;null;1007,6;26;6,9;1;
2012-04-30;7;null;null;null;4,4;null;
2012-05-31;25;195,4;1008,1;26,7;6,2;,8;
2012-06-30;22;82,6;1009,3;26,9;5,2;,9;
2012-07-31;18;71,2;1008,9;26,6;4,4;,5;
2012-08-31;13;61,6;1009;27,5;8,9;,7;
2012-09-30;13;60,6;1008,7;28,4;5;1;
2012-10-31;13;151,2;1006,3;28,5;5,2;,9;
2012-11-30;11;195,4;1005,6;28,5;5,3;,8;
2012-12-31;18;111,8;1006,1;27;5,7;,9;
2013-01-31;15;null;1007,6;26,1;4,6;,6;
2013-02-28;null;null;null;null;3,7;null;
2013-03-31;null;null;null;null;null;null;
2013-04-30;null;null;null;null;null;null;
2013-05-31;null;null;null;null;null;null;
2013-06-30;1;null;null;null;null;null;
2013-07-31;16;70;1009,8;26,6;5,6;,6;
2013-08-31;9;53,8;1008,3;27,4;5,2;,8;
2013-09-30;13;104,8;1007,9;28,1;4,5;1;
2013-10-31;12;63,8;1007,1;28,3;5;1;
2013-11-30;17;247,2;1005,8;27;4,9;,8;
2013-12-31;13;123,6;1006,5;27,5;4,4;,9;
2014-01-31;20;253,4;1007,6;26,5;4,4;,7;
2014-02-28;23;431,2;1007,1;25,8;5,2;,5;
2014-03-31;25;262,8;1007,7;26,3;4,6;,5;
2014-04-30;9;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;1;null;null;null;null;null;
2014-10-31;11;162,6;1007,3;28,2;7,1;1,3;
2014-11-30;9;127,6;1006,3;27,9;5,3;1,2;
2014-12-31;13;219,6;1006,6;27,9;4,4;1,4;
2015-01-31;21;180;1008,2;26,7;4,8;1,1;
2015-02-28;20;203,6;1008;26,8;5,2;1,3;
2015-03-31;23;299;1008,1;26,2;5,4;1;
2015-04-30;19;146,6;1008,2;27;6,1;1,1;
2015-05-31;22;69;1008,6;26,9;4,9;,8;
2015-06-30;17;89,4;1009,7;27;5,8;,7;
2015-07-31;13;22,4;1009,3;27,3;4,7;,8;
2015-08-31;3;23,8;1008,2;28,9;4,7;,9;
2015-09-30;5;4;1007,4;30,2;5,7;1,3;
2015-10-31;7;37,6;1007;30,2;5,4;1,3;
2015-11-30;8;69,8;1005,8;29,4;4,9;1,1;
2015-12-31;4;64,2;1007;29,8;4,6;1,3;
2016-01-31;17;89,8;1007,2;28,9;4,8;1,2;
2016-02-29;16;191,6;1007,3;28,2;5,2;1,1;
2016-03-31;null;null;1008,6;27,1;4,6;,9;
2016-04-30;null;null;1007,6;27,4;5,1;,9;
2016-05-31;null;null;1009,1;27,5;4,4;,9;
2016-06-30;null;null;1010,3;27,1;5,8;,9;
2016-07-31;null;null;1009,6;27,6;4,7;1;
2016-08-31;null;null;null;null;4,2;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;6;119,4;1006,6;28,3;6,1;1,3;
2016-11-30;10;108;1005,6;28,6;4,6;1,3;
2016-12-31;21;352,4;1006,7;27;4,6;1,2;
2017-01-31;23;319,6;1007,8;26,4;4,5;1,2;
2017-02-28;25;381,6;1007,9;26;4,2;1,1;
2017-03-31;27;371,2;1007,9;26,3;5,2;1,1;
2017-04-30;25;444,4;1008;26,5;5,3;,9;
2017-05-31;16;146,2;1008,2;27,5;4,8;1,1;
2017-06-30;10;99;1008,7;27,7;4,4;,9;
2017-07-31;5;15,6;1010,4;27,9;4,8;,9;
2017-08-31;8;63,8;1008,2;29;6,3;1,3;
2017-09-30;null;null;null;null;7,9;null;
2017-10-31;null;null;null;null;null;null;
2017-11-30;null;null;null;null;null;null;
2017-12-31;16;null;null;26,3;5,1;null;
