Nome: PEIXE
Codigo Estacao: A018
Latitude: -12.01527777
Longitude: -48.54444444
Altitude: 250.87
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;20;317,8;982,2;26,1;7,4;1;
2010-02-28;13;146,4;981,7;26,7;4,9;1;
2010-03-31;21;143,6;982,1;26,7;5,7;1,2;
2010-04-30;9;58,6;982,5;26,7;4,9;1,1;
2010-05-31;3;2,8;982,6;27,1;5;,7;
2010-06-30;0;0;985,4;25,2;5,6;1,1;
2010-07-31;null;null;985;25,6;6,3;1,6;
2010-08-31;null;0;984,7;26;7,4;1,5;
2010-09-30;2;18,8;982,2;28,2;7,5;1,5;
2010-10-31;13;119,4;981,1;27,8;12,6;1;
2010-11-30;20;295,2;980,6;26;5,9;1,2;
2010-12-31;19;162,6;979,8;25,8;5,5;1,1;
2011-01-31;25;309;981;25;8;1;
2011-02-28;18;187,4;981,9;25,2;6;,7;
2011-03-31;21;196,4;981,6;25,4;6;,8;
2011-04-30;9;42,4;982,4;26,3;4,6;,7;
2011-05-31;1;4,8;983;26,2;5,7;,9;
2011-06-30;null;null;null;null;5;null;
2011-07-31;null;null;null;null;6,7;null;
2011-08-31;1;null;null;26,9;6,4;null;
2011-09-30;1;5,2;983,4;28;6,6;1,5;
2011-10-31;17;167,4;981,1;26,6;6,5;1,5;
2011-11-30;20;177;981,7;25,3;7,3;1;
2011-12-31;18;203,8;981,5;25,8;9;,7;
2012-01-31;23;231,2;982,5;24,7;7;1;
2012-02-29;16;153;982,2;25,2;5,6;1;
2012-03-31;12;105;982,3;25,9;8,2;,7;
2012-04-30;3;13,6;981,9;27;4,6;,7;
2012-05-31;6;54,2;983,7;26;6,3;1,6;
2012-06-30;0;0;984,7;25,9;6,3;1,5;
2012-07-31;0;0;984,8;25;6,2;1,6;
2012-08-31;2;,4;985,9;26;7,4;2,2;
2012-09-30;11;57;983,6;28,3;7,3;1,8;
2012-10-31;13;25,4;981;28,8;6,6;1,7;
2012-11-30;19;170,2;981,3;26,3;5;1,4;
2012-12-31;21;113,4;981;26,6;7,6;1,2;
2013-01-31;23;326,4;982,6;25,9;6,8;1,3;
2013-02-28;12;87,8;981,6;26,4;6,5;1,2;
2013-03-31;21;171,4;982,3;26,2;6,9;1,1;
2013-04-30;8;null;null;null;6;null;
2013-05-31;3;null;null;null;4,8;null;
2013-06-30;5;44,8;984,4;25,8;5,8;1,2;
2013-07-31;11;4,4;985,1;25,9;5,8;1,4;
2013-08-31;3;1;983,7;27,1;6,1;1,7;
2013-09-30;3;5,6;982,7;29;6,4;1,9;
2013-10-31;7;92,6;982,1;28,6;6,1;1,8;
2013-11-30;18;291,2;981;26,5;6,6;1,4;
2013-12-31;15;null;null;25,6;5;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;1;null;null;null;null;null;
2014-03-31;24;258,6;982,8;25,6;6,5;1,2;
2014-04-30;16;43;983,1;26,1;5,7;1,1;
2014-05-31;null;null;983,5;26,4;4,6;1,1;
2014-06-30;1;,6;984,9;25,4;6,4;1,3;
2014-07-31;0;0;986,6;25,4;5,9;1,5;
2014-08-31;1;,4;985,3;26,1;6;1,6;
2014-09-30;2;null;null;null;null;null;
2014-10-31;9;177,4;982,4;27,9;5,9;1,5;
2014-11-30;14;195;981,6;26,7;5,9;1,2;
2014-12-31;18;261,6;982,5;26;5,7;1,4;
2015-01-31;13;104,8;983,1;26,6;5,6;1,1;
2015-02-28;17;206,8;983,2;25,6;5,5;1,3;
2015-03-31;18;null;982,5;25,2;4,5;1,2;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;0;986,1;25,3;6;1,3;
2015-07-31;0;0;985,5;25,5;5,7;1,4;
2015-08-31;1;2,4;984,5;26,3;8,4;1,5;
2015-09-30;3;12,4;982;28,7;6;1,3;
2015-10-31;2;9,8;981,7;29,2;6,1;1,3;
2015-11-30;11;60,2;981;28,1;7,1;1,5;
2015-12-31;16;151,4;982,4;28,2;8,4;1,3;
2016-01-31;26;359,6;982,7;25,8;6,2;1,3;
2016-02-29;14;97;982,6;27,8;8,2;1,1;
2016-03-31;14;147,6;983,4;27,2;5,3;,9;
2016-04-30;4;6,2;982,5;27,7;6,7;,8;
2016-05-31;0;0;984,3;27,3;5;,9;
2016-06-30;0;0;986;26,2;5,8;1,1;
2016-07-31;0;0;985,4;25,9;8,4;1,4;
2016-08-31;null;0;984;28,1;6,5;1,5;
2016-09-30;9;18,6;983,1;29;7,4;1,6;
2016-10-31;15;65,8;981,5;28,3;7,1;1,4;
2016-11-30;13;153,8;980,8;28,2;5,7;1,2;
2016-12-31;16;202,8;981,8;26,9;6,8;1,2;
2017-01-31;18;188,4;982,3;26,5;6,6;1;
2017-02-28;10;null;982,8;25,5;7,5;1,2;
2017-03-31;2;null;null;null;5;null;
2017-04-30;2;null;null;null;5,1;null;
2017-05-31;null;null;null;null;4,6;null;
2017-06-30;null;null;null;null;4,9;null;
2017-07-31;null;null;null;null;5,4;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;null;null;null;5,6;null;
2017-11-30;null;null;null;null;6,1;null;
2017-12-31;20;194,2;981,8;26;8;1,4;
2018-01-31;null;null;982,3;25,8;6,2;1,3;
