Nome: PIRIPIRI
Codigo Estacao: A335
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;12;92,4;991,8;27,3;7;1,6;
2010-02-28;11;98;990,8;28,5;7,1;2;
2010-03-31;17;339,4;991,6;27,4;9,4;1,5;
2010-04-30;18;202;991,7;27;5,9;1,4;
2010-05-31;15;141,6;992,1;27,2;9,9;1,2;
2010-06-30;8;43;994,1;26,9;6,5;1,4;
2010-07-31;1;,2;993,7;27,8;5,2;1,4;
2010-08-31;1;3;993,5;28,4;5,2;1,5;
2010-09-30;1;,6;991,9;29,3;6,8;1,8;
2010-10-31;6;49,8;991,3;29;6,3;1,7;
2010-11-30;8;45,8;989,8;29;5,5;1,4;
2010-12-31;17;353;989,7;27,2;7,7;1,4;
2011-01-31;18;299,4;990,7;25,7;6,8;1,2;
2011-02-28;21;257;991,5;25,6;5,9;1,1;
2011-03-31;25;343;991,5;25,4;7,1;1;
2011-04-30;26;468;991,9;25,2;7;1;
2011-05-31;17;268;992,3;26,4;5,6;1,1;
2011-06-30;9;42;993,5;26,4;5,3;1,2;
2011-07-31;5;46,6;993,6;26,4;5,5;1,3;
2011-08-31;null;null;null;null;5,4;null;
2011-09-30;1;null;null;null;null;null;
2011-10-31;7;58;990,6;28,3;6,8;1,6;
2011-11-30;6;14,8;990,7;28,5;7,6;1,4;
2011-12-31;2;10,8;990,6;28,8;7;1,6;
2012-01-31;15;88,8;991,4;27,6;7,8;1,5;
2012-02-29;17;null;991,3;26,5;6,4;1,4;
2012-03-31;20;244,2;992,1;25,9;7,3;1,3;
2012-04-30;16;83,8;991,9;26,3;8,4;1,3;
2012-05-31;7;31;992,8;27,1;5,6;1,5;
2012-06-30;4;3;994;27,3;5,5;1,3;
2012-07-31;4;1,4;993,5;27,9;6;1,4;
2012-08-31;null;0;994,2;28,7;6,1;1,8;
2012-09-30;0;0;993,7;29,2;6,4;2,1;
2012-10-31;4;4,4;991;29,9;7,4;2;
2012-11-30;8;33,2;990,6;29,3;6,7;1,6;
2012-12-31;12;37,6;990,4;29,1;6,3;1,7;
2013-01-31;16;70,2;991,9;27,9;9,6;1,4;
2013-02-28;22;60,2;990,9;27,7;5,9;1,3;
2013-03-31;18;31,4;991,7;27,5;6,3;1,3;
2013-04-30;null;null;992,7;26,5;5,6;,9;
2013-05-31;7;null;993,1;26,2;5,4;1;
2013-06-30;11;61,8;993,7;26,6;10,8;1,2;
2013-07-31;6;14;994,5;27;8,1;1,6;
2013-08-31;2;2,4;993;28,6;6,7;1,8;
2013-09-30;2;,6;992,6;29,5;7,5;2,3;
2013-10-31;5;4,4;991,8;29,7;6,8;2,3;
2013-11-30;9;9;990,3;29,2;6,5;2,1;
2013-12-31;10;7,4;991;29,3;6,5;2;
2014-01-31;15;47,6;992,1;27,4;7,6;1,7;
2014-02-28;null;null;991,4;26,4;6,6;1,2;
2014-03-31;10;null;992,3;26,3;6,4;1,2;
2014-04-30;25;292,6;992,8;25,8;5,8;1;
2014-05-31;19;163,6;992,9;26,2;4,7;1;
2014-06-30;8;66,2;993,6;26,9;4,8;1,1;
2014-07-31;4;8,4;995,4;27,2;5,8;1,5;
2014-08-31;1;,4;994,2;28,1;5,9;1,8;
2014-09-30;0;0;993,1;28,9;6,4;1,9;
2014-10-31;null;null;991,9;30;7,5;2,4;
2014-11-30;null;null;null;29,6;6,5;null;
2014-12-31;null;null;null;null;5,7;null;
2015-01-31;null;null;null;null;6;null;
2015-02-28;1;null;null;null;5;null;
2015-03-31;19;360,4;992,5;26,2;6,4;1,4;
2015-04-30;18;150;992,9;26,2;7;1,5;
