Nome: CARUARU
Codigo Estacao: A341
Latitude: -8.36527777
Longitude: -36.02833332
Altitude: 852
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;66;948,6;23,7;7,1;2,4;
2010-02-28;10;62,6;948,2;24,8;6,6;2,8;
2010-03-31;10;63,8;948,1;25,4;8,8;2,6;
2010-04-30;13;113,4;948,2;24,4;8,3;2,6;
2010-05-31;10;10,6;948,9;24,1;6,9;2,9;
2010-06-30;21;300;951,2;22,4;7,8;3;
2010-07-31;23;60,4;951,5;21,2;7,1;3,4;
2010-08-31;25;32,2;952,2;20,5;7,7;3,6;
2010-09-30;14;37,6;950,9;21,5;8,1;3,4;
2010-10-31;9;16;949;23,7;7,3;3,1;
2010-11-30;1;,2;947,7;24,3;7,7;3,1;
2010-12-31;6;18,8;946,5;24,5;6,9;3;
2011-01-31;14;174;946,9;23,9;10,5;2,4;
2011-02-28;9;null;null;24,1;7,5;null;
2011-03-31;7;72,4;947,3;24,5;6,5;2,1;
2011-04-30;20;140,4;947,8;23,6;6,6;2,4;
2011-05-31;23;170;948,9;22,4;7,1;2,7;
2011-06-30;13;null;950,6;21,7;7,6;2,8;
2011-07-31;5;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;12;null;952;21,5;7,4;3,4;
2011-10-31;7;3,2;948,5;23,1;7,5;2,9;
2011-11-30;3;1;948,5;23,6;7,6;2,9;
2011-12-31;1;1,8;948,4;24,4;7,5;3,3;
2012-01-31;4;2;948,7;23,8;7,8;3;
2012-02-29;1;2;948,3;23,8;6,5;2,9;
2012-03-31;2;1;948,8;23,9;8,7;2,8;
2012-04-30;2;,4;948,8;24;6,3;2,8;
2012-05-31;4;1,4;950,2;23,5;6,8;2,8;
2012-06-30;6;2,4;951,6;21,9;6,5;2,8;
2012-07-31;5;1,2;951,8;20,8;6,4;2,8;
2012-08-31;5;1,4;953;20,7;7,4;3,6;
2012-09-30;1;,2;952,5;22;7,1;3,5;
2012-10-31;0;0;950;23;7,5;3,6;
2012-11-30;0;0;948,2;24,3;8,2;3,7;
2012-12-31;2;2,6;948;24,7;6,8;3,1;
2013-01-31;9;16,2;948,8;25;7,2;3;
