Nome: CRATEUS
Codigo Estacao: A342
Latitude: -5.18666666
Longitude: -40.67222221
Altitude: 298.19
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;11;84,6;977,5;27,4;5,2;2;
2010-02-28;5;12,8;976,5;29,3;6,3;2,7;
2010-03-31;9;73,6;977;29,1;7,6;2,2;
2010-04-30;6;null;null;null;7,5;null;
2010-05-31;4;8,6;977,6;null;8,1;1,8;
2010-06-30;5;4,2;979,8;27,9;5;2,3;
2010-07-31;1;3;979,6;28,5;5,5;2,4;
2010-08-31;1;,2;979,7;28,7;5,4;2,3;
2010-09-30;0;0;978,3;29,3;5,9;2,6;
2010-10-31;3;31,6;977,3;29,4;5,2;2,4;
2010-11-30;1;,2;975,8;29,7;5,2;2,5;
2010-12-31;9;131,2;975,5;27,6;5,9;2;
2011-01-31;16;195,8;976,3;25,9;5,5;1,6;
2011-02-28;14;122,6;977,1;25,7;5,8;1,6;
2011-03-31;15;150,8;977,1;25,6;5,5;1,6;
2011-04-30;14;204,8;977,4;25,6;4,4;1,5;
2011-05-31;15;192;978,1;25,5;5,1;1,6;
2011-06-30;3;13,6;979,4;25,7;4,7;1,8;
2011-07-31;6;null;979,6;25,7;5,4;2;
2011-08-31;null;null;979,8;27,3;6;2;
2011-09-30;1;null;979,5;28,7;5,4;2,2;
2011-10-31;3;20,6;976,6;28,9;5,3;2,3;
2011-11-30;2;41,6;976,7;28,5;5,5;2,4;
2011-12-31;0;0;976,6;29,3;5,9;2,5;
2012-01-31;5;58,4;977;28,4;6,7;2,4;
2012-02-29;15;45,6;977;27,1;6;2;
2012-03-31;18;60;977,6;26,8;7;1,9;
2012-04-30;14;66,8;977,4;27,2;4,6;1,7;
2012-05-31;4;4,4;978,5;28,5;4,9;2;
2012-06-30;1;,2;979,8;28,3;4,7;2;
2012-07-31;1;,4;979,6;28,5;5,2;2,1;
2012-08-31;null;0;980,5;28,6;5,1;2,4;
2012-09-30;0;0;980;29,3;6,1;2,5;
2012-10-31;2;,8;977,4;29,9;5,3;2,6;
2012-11-30;3;1,2;976,5;29,6;5,9;2,6;
2012-12-31;4;6,2;976,3;29,6;5,4;2,4;
2013-01-31;7;20,4;977,4;29,1;6,7;2,3;
2013-02-28;10;101;976,5;29,1;5,8;2,3;
2013-03-31;7;86;977,2;29;5,7;2,2;
2013-04-30;11;90,6;978,1;27,5;5,5;1,8;
2013-05-31;7;48,6;978,9;27;5,7;1,8;
2013-06-30;8;38,4;979,6;26,8;4,8;1,8;
2013-07-31;7;4,8;980,4;27,3;4,7;2;
2013-08-31;1;,2;979,2;29;4,9;2,1;
2013-09-30;0;0;978,8;29,9;5,9;2,6;
2013-10-31;0;0;978;30,1;5,8;2,8;
2013-11-30;null;null;976,4;29,4;6,4;3;
2013-12-31;11;12,2;977;29,2;5,6;2,6;
2014-01-31;15;11;977,8;27,8;5,6;2,1;
2014-02-28;null;null;977;27;6,4;2;
2014-03-31;9;51,6;977,9;26,6;5,6;1,9;
2014-04-30;17;121,2;978,4;25,7;6,3;1,5;
2014-05-31;12;50,6;978,6;26,4;4,5;1,6;
2014-06-30;null;null;979,4;27,6;5,4;2,2;
2014-07-31;1;,8;981,3;28;5,8;2,4;
2014-08-31;1;1,4;980,3;28,4;5,7;2,4;
2014-09-30;2;3,6;979,3;29,3;6,3;2,7;
2014-10-31;2;3,8;978,3;29,9;7,3;3,1;
2014-11-30;3;23;977,3;29;5,8;2,6;
2014-12-31;2;9,6;977,7;29,1;6,8;2,7;
2015-01-31;7;77,4;978,4;28,6;5,9;2,3;
2015-02-28;11;96,8;978;27,7;7;2,1;
2015-03-31;16;174,8;978,1;26,3;5,5;1,7;
2015-04-30;14;131,6;978,5;26,1;5;1,6;
2015-05-31;6;20;978,9;27,2;5;1,7;
2015-06-30;6;62,6;980,6;26,5;5,9;1,9;
2015-07-31;6;23,8;980,6;26,7;5,2;2,3;
2015-08-31;2;1,6;979,9;28,1;6;2,3;
2015-09-30;0;0;979,1;29,3;6,2;2,6;
2015-10-31;0;0;978,5;30,1;5,6;2,8;
2015-11-30;0;0;977;30,2;6,2;2,8;
2015-12-31;4;11,4;978,2;30;6,2;2,8;
2016-01-31;17;244,6;978,3;27,3;5,5;1,9;
2016-02-29;13;55;978,2;27,5;4,8;1,8;
2016-03-31;21;178,8;978,6;27,6;5,2;1,8;
2016-04-30;15;72,4;977,9;26,9;6;1,8;
2016-05-31;6;6;979,7;27,6;4,6;1,7;
2016-06-30;2;null;null;28;5,9;null;
2016-07-31;1;null;null;null;4,9;null;
2016-08-31;0;0;980;28,9;4,9;2,2;
2016-09-30;0;0;979,4;29,6;5,5;2,4;
2016-10-31;0;0;977,3;30,3;5,6;2,7;
2016-11-30;0;0;976,6;30,5;6,2;2,9;
2016-12-31;7;38,4;977;29;5,7;2,3;
2017-01-31;8;51,6;977,4;28,5;5,5;2,1;
2017-02-28;11;94,8;977,5;27,2;5,1;2;
2017-03-31;20;84,2;977,9;25,9;5,7;1,7;
2017-04-30;20;162,2;978,1;25,9;4,7;1,5;
2017-05-31;7;42,4;978,8;27,2;5,4;1,8;
2017-06-30;5;5,6;979,6;27,8;4,7;2,1;
2017-07-31;2;1;981,7;27,6;5,3;2,6;
2017-08-31;0;0;979,8;29;5;2;
2017-09-30;1;,2;979,6;29,7;5,6;2,6;
2017-10-31;0;0;977,5;30,4;5,8;2,9;
2017-11-30;0;0;976,6;29,8;5,6;2,7;
2017-12-31;1;2,8;976,8;29,9;6;2,6;
2018-01-31;9;30,6;977,3;28,5;7,3;2,3;
2018-02-28;18;199,8;977,4;26,4;6,9;1,9;
2018-03-31;13;232,2;977,7;26,6;5,7;1,7;
2018-04-30;15;240;978,7;25,4;5,6;1,5;
2018-05-31;4;26;979,4;26,2;4,5;1,7;
2018-06-30;2;7,2;980,5;26,5;5,3;1,9;
2018-07-31;3;5,6;980,4;27,4;5;1,8;
2018-08-31;0;0;980,5;28,2;4,6;2;
2018-09-30;0;0;978,1;29,4;5,1;2,4;
2018-10-31;2;18,6;977,5;29,6;4,9;2,4;
2018-11-30;1;,2;976,6;30;6,5;2,6;
2018-12-31;12;137,2;978,4;27,2;6;1,7;
2019-01-31;6;70,8;978,7;27,5;7,6;1,9;
2019-02-28;8;null;null;27,1;5,6;null;
2019-03-31;4;null;null;null;null;null;
2019-04-30;9;null;null;null;null;null;
2019-05-31;7;41,4;978,5;26,5;4,8;1,6;
2019-06-30;4;11,2;980,4;26,8;5,9;1,8;
2019-07-31;1;null;null;null;5,6;null;
2019-08-31;null;null;null;28,3;5,9;null;
2019-09-30;1;9,4;979,2;29,3;5,6;2,4;
2019-10-31;0;0;977,6;29,6;5,7;2,5;
2019-11-30;1;,6;976,2;30;5,1;2,5;
2019-12-31;3;4,2;976,6;29,8;5,3;2,5;
2020-01-31;16;139,8;978,1;27,3;6,6;1,8;
2020-02-29;18;201;978,4;26,2;5,2;1,5;
2020-03-31;24;430,2;978,3;26;6,6;1,4;
2020-04-30;16;153,2;978,8;26,3;4,4;1,5;
2020-05-31;13;92,2;979,7;25,8;4,3;1,5;
2020-06-30;6;3,6;980;26;5,2;1,9;
2020-07-31;3;4,4;979,7;26,9;5,5;2;
2020-08-31;0;0;979,5;28,1;5,2;2,2;
2020-09-30;0;0;978,9;28,9;5,1;2,2;
2020-10-31;0;0;977,5;29,8;5,4;2,5;
2020-11-30;6;56;977,1;28,8;5,2;2,1;
2020-12-31;null;null;977;29,2;5,6;2,3;
2021-01-31;6;34,6;976,9;28,1;5,3;2,1;
2021-02-28;14;203,2;977,2;27;5,1;1,8;
2021-03-31;15;181,4;977,7;25,9;4,8;1,7;
