Nome: URUCUI
Codigo Estacao: A346
Latitude: -7.44138888
Longitude: -44.34499999
Altitude: 398.83
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;14;103,6;966,4;25,6;4,3;,9;
2010-02-28;14;99,2;965,7;25,8;6,5;,9;
2010-03-31;18;286,2;966,3;25,8;4;,7;
2010-04-30;12;167,6;966,4;26,2;4,7;,9;
2010-05-31;4;26;966,6;26,7;4,1;,8;
2010-06-30;3;34,6;969;26;5,1;1,4;
2010-07-31;0;0;968,8;26,3;5,5;2;
2010-08-31;1;,4;968,6;26,7;7,4;2;
2010-09-30;1;28,2;966,9;28,3;6,4;2,2;
2010-10-31;14;135,4;965,8;27,6;6;1;
2010-11-30;7;66,4;964,5;26,7;4,6;,8;
2010-12-31;8;110,2;964,2;25,8;4,1;,9;
2011-01-31;19;118,6;965;25;4,6;,7;
2011-02-28;20;261,2;966;23,7;4,8;,3;
2011-03-31;19;166,6;965,8;24,5;2,6;0;
2011-04-30;13;119,8;966,3;25,2;1,4;0;
2011-05-31;4;31,4;967;25,4;1,6;0;
2011-06-30;1;1,6;968,2;25,9;,7;0;
2011-07-31;1;18,8;968,4;25,4;5,8;1,1;
2011-08-31;0;0;968,3;27;5,4;1,6;
2011-09-30;0;0;968;28,1;6,2;1,9;
2011-10-31;5;null;null;27,7;5,3;null;
2011-11-30;2;null;null;null;null;null;
2011-12-31;11;50,6;965,3;26,1;4,4;,9;
2012-01-31;20;95,6;966,1;24,7;4,3;,7;
2012-02-29;8;1,6;966;24,3;4,8;,7;
2012-03-31;0;0;966,4;24,8;2,8;,4;
2012-04-30;0;0;966,2;25,7;4;,5;
2012-05-31;1;,2;967,3;26,3;4,3;,7;
2012-06-30;0;0;968,5;26,8;4,7;,9;
2012-07-31;0;0;968,5;26,8;5,9;1,6;
2012-08-31;null;0;969,6;26,7;5,8;2,1;
2012-09-30;0;0;968,3;28,7;5,6;1,8;
2012-10-31;1;,4;965,4;29,8;5,2;1,5;
2012-11-30;6;110,8;965,3;26,2;5,9;,8;
2012-12-31;27;110,8;965,2;25,7;4,4;,7;
2013-01-31;18;5,8;966,6;24,7;5,3;,6;
2013-02-28;14;16,2;965,6;25,6;4,1;,5;
2013-03-31;null;null;966,4;25,3;4,9;,4;
2013-04-30;null;null;967,1;25,3;4,7;,6;
2013-05-31;2;17;967,7;25,8;4,5;,7;
2013-06-30;2;,6;968,3;26,2;4,5;,7;
2013-07-31;0;0;969,1;26,4;5,6;1,1;
2013-08-31;0;0;967,9;27,3;7;1,3;
2013-09-30;1;1,8;967,1;28,9;6,7;1,6;
2013-10-31;6;52,4;966,5;27,9;6,5;1,4;
2013-11-30;15;163,8;965,1;26,1;5;1;
2013-12-31;22;92,2;965,9;25,3;4,1;,8;
2014-01-31;12;2,6;966,7;25,1;5,1;,6;
2014-02-28;null;null;966;24,7;3,5;,5;
2014-03-31;14;63,2;966,7;25,1;4;,5;
2014-04-30;10;34;967,2;25,5;4;,4;
2014-05-31;10;15,2;967,5;25,8;4,8;,5;
2014-06-30;2;,4;968,4;26,2;5;,8;
2014-07-31;0;0;970,2;26,5;5,3;1,1;
2014-08-31;1;,2;969;27,5;5,1;1,3;
2014-09-30;4;10,8;967,6;28,5;5,7;,9;
2014-10-31;6;2;966,7;28,4;6;1,3;
2014-11-30;null;null;965,8;27,4;5,1;1,1;
2014-12-31;18;15,8;966,5;26,4;4,7;,9;
2015-01-31;7;1,4;967,2;26,2;3,7;,5;
2015-02-28;null;null;967,2;24,9;3,8;,5;
2015-03-31;null;null;966,9;24,8;3,6;,5;
2015-04-30;null;null;967,2;25,5;3,5;,4;
2015-05-31;null;null;967,9;26,1;3,5;,4;
2015-06-30;1;2;969,4;26,5;4,1;,8;
