Nome: CAMPOS SALES
Codigo Estacao: A347
Latitude: -7.07777777
Longitude: -40.36277777
Altitude: 577.95
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;13;63,6;946,9;24,9;7,1;2,2;
2010-02-28;5;74,6;946,3;26,4;6,9;2,6;
2010-03-31;9;155,2;946,6;26,3;6,5;2,1;
2010-04-30;15;247,6;946,9;24,7;5,9;1,6;
2010-05-31;2;39,2;947,4;24,7;4,7;1,8;
2010-06-30;5;6,6;949,8;24,1;8,4;2,9;
2010-07-31;2;2,4;949,7;24,2;7,1;3,3;
2010-08-31;null;0;949,8;24,6;7,8;3,6;
2010-09-30;0;0;948,3;25,8;6,8;3,5;
2010-10-31;8;59,6;946,7;27;7,9;3;
2010-11-30;1;,2;945,2;27,1;7,5;3;
2010-12-31;13;3,8;944,8;24,7;6,6;2,3;
2011-01-31;null;null;945,4;24;7;1,9;
2011-02-28;null;null;946,2;23,3;7,5;1,9;
2011-03-31;null;null;946,1;23,6;5,4;1,7;
2011-04-30;null;null;946,6;23,8;5,4;1,7;
2011-05-31;11;14,4;947,5;23,4;5,9;2;
2011-06-30;1;,2;948,9;23,5;6,1;2,3;
2011-07-31;2;1,6;949,3;23,4;8,7;3,2;
2011-08-31;2;7,8;949,5;24,9;8,4;3,3;
2011-09-30;0;0;949,5;25,5;8,6;4,3;
2011-10-31;4;25;946,1;26,7;6,8;3,2;
2011-11-30;6;33,6;946,3;25,5;7;3,1;
2011-12-31;3;13,6;946,2;26,4;7,4;3;
2012-01-31;7;19,6;946,5;26,3;7,5;3;
2012-02-29;12;184,4;946,5;24,8;7,1;2;
2012-03-31;13;105,2;947;24,1;5,9;1,7;
2012-04-30;6;5,2;946,9;25;7,6;1,6;
2012-05-31;3;4;948,2;25,8;6,7;2,4;
2012-06-30;4;11,8;949,5;25,4;7,2;2,8;
2012-07-31;0;0;949,6;25;8,6;3,9;
2012-08-31;null;0;950,6;24,7;8,5;4,7;
2012-09-30;0;0;949,7;26,7;7,8;4,2;
2012-10-31;0;0;947;27,7;7,8;4;
2012-11-30;0;0;945,9;28;7,3;3,4;
2012-12-31;2;null;null;null;6,9;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;null;null;null;null;null;null;
2013-03-31;8;70,2;946,6;27;8,5;2,2;
2013-04-30;6;null;947,5;24,5;7,2;1,9;
2013-05-31;8;13;948,3;24,8;7,5;2,4;
2013-06-30;4;9,6;949;25,3;6,2;2,7;
2013-07-31;8;14,2;950;24,8;8,2;3,4;
2013-08-31;0;0;949,1;25,9;7,4;4,1;
2013-09-30;0;0;948,6;27,2;8;4;
2013-10-31;2;2,6;947,5;27,7;7,4;3,8;
2013-11-30;4;11,6;945,9;27,3;7,9;3,3;
2013-12-31;6;49,4;946,4;26,7;7,5;3;
2014-01-31;10;37;947,1;26,4;8,5;2,5;
2014-02-28;12;63;946,5;25;7,6;2,4;
2014-03-31;20;118;947,3;24,3;5,9;1,9;
2014-04-30;15;62,8;947,7;24,4;8,7;1,9;
2014-05-31;7;10,8;948,1;24,8;6,8;2,6;
2014-06-30;2;6;949,3;24,8;8,2;3,3;
2014-07-31;3;13,2;951,2;24,8;7,8;3,7;
2014-08-31;0;0;950,2;25,3;7,5;4;
2014-09-30;1;3,4;949;26,9;7,7;3,8;
2014-10-31;4;29,2;948,1;26,9;10,3;3,8;
2014-11-30;6;40,6;946,8;26,7;7,4;2,9;
2014-12-31;8;54,2;947,2;26,2;7,4;2,8;
2015-01-31;7;19,6;947,8;26,8;9;2,6;
2015-02-28;7;null;null;26,3;6,4;null;
2015-03-31;19;166,4;947,4;24,8;7,7;1,8;
2015-04-30;10;48;947,8;24,6;5,8;1,6;
2015-05-31;9;81,8;948,7;24,5;5,8;2;
2015-06-30;2;17,4;950,3;24,5;7,6;3;
2015-07-31;4;8,4;950,3;24,8;7,4;3,6;
2015-08-31;0;0;949,8;25,6;7,5;3,7;
2015-09-30;null;null;948,7;27,4;6,7;3;
2015-10-31;null;null;null;null;null;null;
2015-11-30;1;null;null;28,8;8,3;null;
2015-12-31;5;23,4;947,6;28,6;8,1;2,3;
2016-01-31;16;144,4;947,7;25,5;7,1;,5;
2016-02-29;5;20,6;947,8;26;8;,5;
2016-03-31;9;56,4;948;27,1;8,6;,4;
2016-04-30;2;5;947,3;26,8;6,2;,5;
2016-05-31;3;11;949,2;26,8;5,5;,4;
2016-06-30;3;1,4;950,7;25,3;6,8;,9;
2016-07-31;0;0;950,3;25,2;8,2;1,2;
2016-08-31;0;0;949,8;26,4;7,5;,8;
2016-09-30;2;10;948,9;27,5;6,6;,5;
2016-10-31;2;2,4;946,9;28,6;7,8;,5;
2016-11-30;1;,2;946;29;6,5;,5;
2016-12-31;6;38,4;946,4;27,8;7,5;,2;
2017-01-31;15;105,4;946,8;26,6;7,2;,1;
2017-02-28;9;null;947,2;24,8;1,4;0;
2017-03-31;7;null;null;null;2,8;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;3;null;null;25,7;4,7;null;
2017-06-30;6;12,8;949,7;24,7;5,9;,4;
2017-07-31;1;,2;952;23,3;6,7;,3;
2017-08-31;0;0;949,8;25,8;2,7;0;
2017-09-30;0;0;949,9;25,8;2,5;,1;
2017-10-31;0;0;947,3;28,2;1,2;0;
2017-11-30;4;4,2;946,1;28,1;,3;0;
2017-12-31;5;11,8;946,3;27,9;2,8;0;
2018-01-31;9;51,6;946,8;26,7;,7;0;
2018-02-28;17;199,4;946,8;24,8;1,4;0;
2018-03-31;9;46,8;947,1;24,9;,8;0;
2018-04-30;15;42,2;948,2;24;,4;0;
2018-05-31;6;25,4;949;24,4;,7;0;
2018-06-30;0;0;950,3;24,7;,6;0;
2018-07-31;0;0;950,3;24,8;,2;0;
2018-08-31;0;0;950,2;26,2;,7;0;
2018-09-30;0;0;947,8;27,7;,2;0;
2018-10-31;5;12,8;947;28,1;6,2;,7;
2018-11-30;7;23,2;946,2;28,4;6,4;3,4;
2018-12-31;9;167,2;948;24,9;6,9;2,5;
2019-01-31;9;32,6;948,3;25,3;7,4;2,3;
2019-02-28;14;135;947,4;25,9;6,8;2,2;
2019-03-31;19;286,2;947,9;24,8;5,6;2;
2019-04-30;20;116;947,9;24,2;null;null;
2019-05-31;9;39,8;948,1;24,1;null;null;
2019-06-30;2;33,4;950,3;23,8;7;3;
2019-07-31;4;4;950,4;23,8;7,2;3,4;
2019-08-31;0;0;951,3;24,9;8,1;3,9;
2019-09-30;0;0;949;27,2;7,2;3,5;
2019-10-31;null;null;null;null;6,9;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;2;8,4;946,2;28,1;6,7;3;
2020-01-31;15;163,6;947,5;25,4;6,9;2;
2020-02-29;18;127,4;947,8;24,4;6,7;1,8;
2020-03-31;10;null;null;null;4,7;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
