Nome: IBIMIRIM
Codigo Estacao: A349
Latitude: -8.50944444
Longitude: -37.71166666
Altitude: 434.23
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;12;240;963,1;25,8;6,4;2,1;
2010-02-28;5;89;962,7;26,5;6,7;2,3;
2010-03-31;7;104,2;962,5;27,4;5,7;2,2;
2010-04-30;15;175,4;963,1;25,6;5,6;2,3;
2010-05-31;15;23,2;963,7;25,7;5,7;2,6;
2010-06-30;19;48,6;966,6;22,9;7,2;3;
2010-07-31;17;32;966,8;22,2;7,1;3,1;
2010-08-31;9;6;967,4;22,3;7,2;3,7;
2010-09-30;5;9,4;965,7;23,8;8,1;3,6;
2010-10-31;6;54,8;963,3;26,5;7,7;2,9;
2010-11-30;2;4,2;961,6;27,5;6,2;2,5;
2010-12-31;10;59,2;960,6;27;5,4;2,2;
2011-01-31;8;109,2;961,3;26,3;7,2;2,3;
2011-02-28;12;147,4;962,1;26;6,3;2;
2011-03-31;14;98,6;961,8;26,3;16,1;1,9;
2011-04-30;11;67,4;962,7;25,1;6,4;2,3;
2011-05-31;19;50,6;964,1;23,6;6,8;2,9;
2011-06-30;9;13,2;965,7;23,2;6,2;2,9;
2011-07-31;10;19,2;966,3;22,2;8,3;3,4;
2011-08-31;5;17,6;966,6;23,1;7,6;3,3;
2011-09-30;7;12,6;967;23,4;9,4;4;
2011-10-31;2;9,8;962,6;26,4;6,9;2,9;
2011-11-30;6;13,8;962,5;26,8;7,8;2,8;
2011-12-31;1;1,4;962,2;28,3;7,2;2,7;
2012-01-31;5;16,4;962,7;27,3;8;2,9;
2012-02-29;6;20;962,6;26,6;7,6;2,9;
2012-03-31;5;57,8;963;26,9;6,5;2,8;
2012-04-30;1;1;963,1;26,8;7,1;2,8;
2012-05-31;2;6,4;964,8;25,8;7,8;3,1;
2012-06-30;1;null;965,9;24,7;7,1;3;
2012-07-31;10;12,6;966,8;22,9;6,9;3,4;
2012-08-31;11;11;968,1;22,7;8,2;3,9;
2012-09-30;1;,4;967;24,6;8,9;3,6;
2012-10-31;1;1,4;964,2;26,1;7,4;3,5;
2012-11-30;2;5,4;961,9;28,8;6,7;2,7;
2012-12-31;3;10;961,9;28,3;8,1;2,9;
2013-01-31;5;41,8;962,8;28,2;7,5;2,6;
2013-02-28;2;3,4;962,4;28,3;7,3;3,2;
2013-03-31;4;54,6;962,7;28,5;7,5;2,9;
2013-04-30;9;45,2;963,4;27,4;8,1;2,9;
2013-05-31;7;30,8;964,7;25,1;6,2;2,7;
2013-06-30;7;7,4;965,7;24,3;6,4;2,9;
2013-07-31;10;36,2;967;23;7,1;3,1;
2013-08-31;3;4,6;966,4;23,5;7,2;3,5;
2013-09-30;0;0;965,8;25,4;8,7;3,5;
2013-10-31;3;11,2;964,4;26,8;8,4;3,3;
2013-11-30;3;19,8;962,4;27,1;6,9;2,9;
2013-12-31;7;83,2;962,3;27,9;6,3;2,5;
2014-01-31;4;6,2;963,4;27,2;7,8;3;
2014-02-28;8;109,6;962,5;26,4;6,6;2,5;
2014-03-31;9;51,8;963,1;27,2;6,7;2,5;
2014-04-30;8;27,4;963,6;26,4;7,7;2,4;
2014-05-31;13;34,2;964,5;24,2;6;2,7;
2014-06-30;6;4,8;966,1;23,8;7;3,2;
2014-07-31;13;38,4;968,3;23,3;7,5;3,4;
2014-08-31;5;5,4;967,6;23;7,5;3,5;
2014-09-30;5;2,6;966,2;25,1;8;3,5;
2014-10-31;5;7,8;965,2;25,5;8,3;3,5;
2014-11-30;4;7,2;963;27,3;7,1;2,9;
2014-12-31;5;12,4;963,4;27,4;7,3;2,9;
2015-01-31;3;5,4;964,1;27,9;6,9;3,1;
2015-02-28;8;81,8;963,4;27,3;9,6;2,6;
2015-03-31;8;36,6;963,1;27,6;6,6;2,5;
2015-04-30;6;42,8;963,3;27,6;6,3;2,3;
2015-05-31;8;4,8;964,7;26,6;7,3;2,9;
2015-06-30;13;22,6;967;24,1;8,3;3;
2015-07-31;12;27,6;967,4;23,4;7,4;3,4;
2015-08-31;5;4,4;967,1;23,9;6,9;3,6;
2015-09-30;null;null;null;26,3;7,2;null;
2015-10-31;0;0;964,9;27,3;7,1;3,3;
2015-11-30;0;0;962,5;29,2;7,9;2,9;
