Nome: CORURIPE
Codigo Estacao: A355
Latitude: -10.1286111
Longitude: -36.28638888
Altitude: 82.39
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;7;null;null;26,7;4,8;null;
2010-02-28;null;null;null;null;5,3;null;
2010-03-31;null;null;null;null;4,8;null;
2010-04-30;null;null;null;null;5,4;null;
2010-05-31;null;null;null;null;5,1;null;
2010-06-30;15;null;null;24,4;6,9;null;
2010-07-31;27;231,4;1007,3;23,8;6,9;2,4;
2010-08-31;26;129,2;1008,2;23,3;7,6;2,5;
2010-09-30;23;113,2;1006,8;23,8;7,1;2,5;
2010-10-31;9;71,8;1004;25,4;5,9;2,3;
2010-11-30;7;10;1002,6;25,8;4,8;2,3;
2010-12-31;11;16,6;1001;26,4;4,7;2,4;
2011-01-31;19;127,6;1001,7;26,4;5,1;2,1;
2011-02-28;13;92,6;1002,3;26,6;5,4;2;
2011-03-31;9;28,6;1001,6;27,3;4,5;2;
2011-04-30;24;327,2;1002,6;26,2;5;2;
2011-05-31;26;212,6;1004,1;24,9;5,8;2,3;
2011-06-30;7;1,6;1006,1;24,1;6,4;2,1;
2011-07-31;null;null;1006,9;23,2;6,2;2,5;
2011-08-31;null;null;1007,1;23,5;6;2,1;
2011-09-30;null;null;1008;23,8;7,8;2,6;
2011-10-31;null;null;1003,6;25,2;4,8;2,2;
2011-11-30;3;5;1003,4;25,5;5,9;2,3;
2011-12-31;5;18,6;1003,1;26,2;5,5;2,4;
2012-01-31;14;25,6;1003,6;26,1;6,1;2,3;
2012-02-29;13;92,2;1003,3;26,2;5,7;2,2;
2012-03-31;11;58,6;1003,9;26,3;5,9;2,1;
2012-04-30;12;40,4;1003,8;26,1;4,9;1,9;
2012-05-31;16;133,8;1005,5;25,4;5,5;2;
2012-06-30;22;174,8;1007;24,3;5,1;1,9;
2012-07-31;25;200,8;1007,6;23,3;6,2;2,1;
2012-08-31;27;170,6;1009,1;23;6,4;2,4;
2012-09-30;15;53,4;1008,3;23,8;6,7;2,1;
2012-10-31;15;50,6;1005,5;24,6;5,1;2,2;
2012-11-30;5;6,2;1002,8;26;5,4;2,7;
2012-12-31;4;6,4;1002,9;26,4;5,1;2,4;
2013-01-31;10;22;1003,5;26,9;5,1;2,6;
2013-02-28;9;32,6;1003,3;27,3;5,3;2,4;
2013-03-31;11;70,6;1003,4;27,3;6,5;2,4;
2013-04-30;16;194,2;1003,7;26,5;6,5;2,4;
2013-05-31;21;198,2;1004,9;25,5;6,3;1,9;
2013-06-30;22;153,2;1006,1;24,6;5,4;1,9;
2013-07-31;27;221,8;1007,5;23,9;5,6;2,1;
2013-08-31;24;192,2;1007,2;23,6;5,8;2,2;
2013-09-30;20;80,4;1007;24,5;6;2,4;
2013-10-31;14;223,2;1005,6;24,9;7,1;2,8;
2013-11-30;16;52,2;1003,4;25,4;6,2;2,6;
2013-12-31;4;11,2;1002,8;26,4;6,2;2,9;
2014-01-31;8;29,4;1004,2;26,5;6,4;2,6;
2014-02-28;16;46,2;1003;26,6;5,4;2,4;
2014-03-31;19;65,2;1003,6;26,8;6,5;2,3;
2014-04-30;16;111,6;1003,6;26,7;7,7;2,2;
2014-05-31;21;228,6;1004,6;25,3;6,5;2,1;
2014-06-30;25;143,4;1006,6;24,6;6,1;2,3;
2014-07-31;28;217;1009;23,7;6,1;2,4;
2014-08-31;24;128,2;1008,5;23,5;6,7;2,4;
2014-09-30;15;103,8;1007,3;24,1;7,8;2,6;
2014-10-31;24;182,4;1006,3;24,7;7,7;2,7;
2014-11-30;11;68,8;1003,8;25,6;5,9;2,5;
2014-12-31;11;6;1004,3;28,5;5,9;2,6;
2015-01-31;11;12,6;1005,1;28,4;5,5;2,5;
2015-02-28;11;71,2;1004,1;31;5,7;2,3;
2015-03-31;16;39,4;1003,6;31,8;5,4;2,2;
2015-04-30;7;30,4;1003,5;33,6;6,4;2,2;
2015-05-31;21;191,4;1005,2;32,6;5;1,9;
2015-06-30;28;274,8;1007,4;30,6;5,9;2,1;
2015-07-31;23;87,6;1008;30,7;6,2;2,4;
2015-08-31;null;null;1008,1;28,7;7,3;2,3;
2015-09-30;7;45,4;1006,8;29,9;5,4;2,2;
2015-10-31;7;10,6;1006,2;30,6;5,5;2,4;
2015-11-30;0;0;1003,5;31,5;5,9;3;
2015-12-31;null;null;1005;30,8;5,9;2,6;
2016-01-31;null;null;1003,5;28,4;6,4;2,3;
2016-02-29;1;,4;1004,4;29,3;5,6;2,3;
2016-03-31;20;59,4;1004,6;29,9;5,5;2,2;
2016-04-30;22;130,8;1004,3;28,9;5,7;2,1;
2016-05-31;23;143,2;1006,2;27,1;5,8;2,1;
2016-06-30;24;167;1007,8;26,5;5,8;2,2;
2016-07-31;25;164,8;1008,2;24,9;5,8;2,3;
2016-08-31;16;46;1008;25,1;6,3;2,1;
2016-09-30;16;41,6;1007,4;26,4;5,8;2,3;
2016-10-31;9;17;1004,9;27;6,2;2,8;
2016-11-30;6;null;null;27,5;6;null;
2016-12-31;10;null;1003,5;27,8;6;2,9;
2017-01-31;7;23,2;1003,9;28;6,5;2,6;
2017-02-28;10;28,2;1003,3;28,1;5,7;2,6;
2017-03-31;8;null;1002,9;28,2;6,5;2,4;
2017-04-30;null;null;null;null;5,9;null;
2017-05-31;16;null;null;25,6;6,9;null;
2017-06-30;6;26,6;1006,8;24,3;7,2;2,5;
2017-07-31;null;null;1009,6;23,2;7,5;3,3;
2017-08-31;null;null;1007,9;23,2;5,8;2,3;
2017-09-30;null;null;1008,5;23,6;6,5;2,8;
2017-10-31;null;null;1005,8;24,8;6,6;2,3;
2017-11-30;null;null;1003,4;25,8;5,9;2,5;
2017-12-31;6;19,8;1003;26,6;5,6;2,6;
2018-01-31;6;28,6;1003,5;26,6;6,2;2,5;
