Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;12;75,4;874,2;21,2;7;2,4;
2010-02-28;10;79,6;874,1;21,4;8;2,4;
2010-03-31;20;177,8;873,9;21,1;9;2,3;
2010-04-30;14;107,4;874,5;19,9;8,8;2,5;
2010-05-31;7;18,6;874,9;19,9;7;2,1;
2010-06-30;9;19,4;877,3;17,8;6,8;2,9;
2010-07-31;23;111,8;877,5;16,6;6,8;3,5;
2010-08-31;12;21,6;877,4;16,7;7,4;2,9;
2010-09-30;8;39,6;876;18,3;9;3;
2010-10-31;6;46,8;873,8;21,6;7,8;2,5;
2010-11-30;15;268,2;872,6;20,4;6,3;2,1;
2010-12-31;16;154,4;871,5;20,7;6,1;2,2;
2011-01-31;14;83,4;872,6;20,4;6,7;2,3;
2011-02-28;11;48,4;873,2;21,1;6,5;2,3;
2011-03-31;21;162,2;872,8;20,7;7,2;2,1;
2011-04-30;19;111,4;874,2;19,8;6,3;2,7;
2011-05-31;14;38,2;875,1;18,3;6,5;2,5;
2011-06-30;8;29,4;876,2;18,1;7,5;2,5;
2011-07-31;15;59,4;876,6;16,9;7,3;2,8;
2011-08-31;5;33,6;876,7;18,2;8,2;2,6;
2011-09-30;7;17,8;877,1;17,8;7,8;3,1;
2011-10-31;14;128,4;873,5;19,4;6,4;2,5;
2011-11-30;18;143,4;873,6;18,8;6;2,1;
2011-12-31;9;84,2;873,2;20,5;9;2,2;
2012-01-31;6;47;873,8;20,8;8,2;2,5;
2012-02-29;14;87,2;873,7;20,4;8,2;2,6;
2012-03-31;2;2,2;874,1;21,8;7,9;2,4;
2012-04-30;4;26,6;874,2;21,4;6,7;2,3;
2012-05-31;14;60,4;875,8;18,9;6,5;2,5;
2012-06-30;10;38,2;876,9;18,4;6,9;2,5;
2012-07-31;9;73;877;17,3;7,5;2,8;
2012-08-31;21;117,2;878,3;16,2;7,7;3,5;
2012-09-30;4;3,6;877,2;19,2;7,8;2,8;
2012-10-31;5;9,6;874,6;20,4;8,5;2,9;
2012-11-30;26;162,4;873;19,8;5,6;1,5;
2012-12-31;6;44,8;873,1;22,2;7,1;2,3;
2013-01-31;14;156,4;873,9;21,3;7,8;2;
2013-02-28;8;71,4;873,9;21,5;6,4;2,4;
2013-03-31;9;44,4;874,1;22,2;6,4;2,1;
2013-04-30;15;100,8;874,9;20,2;5,6;2,2;
2013-05-31;15;45,8;875,6;19,5;7,2;2,3;
2013-06-30;17;76;876,5;18,4;6,5;2,2;
2013-07-31;15;64;877,4;17,6;6,8;2,5;
2013-08-31;15;73,4;876,8;17,4;7,4;2,9;
2013-09-30;11;67;876,2;18,9;7,5;2,9;
2013-10-31;7;27,6;875;20,2;8,6;2,9;
2013-11-30;12;81,6;873,2;20,4;7,4;2,7;
2013-12-31;20;231;872,9;20,3;7,1;2,2;
2014-01-31;13;71,8;874,7;20,3;7,1;2,7;
2014-02-28;15;81,8;874;19,8;7,4;2,7;
2014-03-31;13;90,2;874,3;20,7;7,8;2,3;
2014-04-30;10;111,8;874,7;20,6;6;2,2;
2014-05-31;10;53,6;875,4;19;6,2;2,3;
2014-06-30;10;54,2;876,8;17,7;6,5;2,6;
2014-07-31;14;55,4;878,6;17,2;8,1;2,9;
2014-08-31;9;14,6;877,6;17,4;7,9;2,9;
2014-09-30;7;7,6;876,3;19,3;8,8;3;
2014-10-31;6;56,4;875,6;19,8;7,6;3,1;
2014-11-30;15;213,6;873,8;20,1;6,2;2,3;
2014-12-31;13;127,4;874,3;20;6,3;2,3;
2015-01-31;6;10,2;875,2;21;6,8;2,4;
2015-02-28;15;135,2;874,7;20,4;7,1;2,5;
2015-03-31;7;21,4;874,4;21,5;7,2;2,1;
2015-04-30;14;142,2;874,6;21;7,3;2,1;
2015-05-31;20;91,4;876,2;18,7;6,4;2,4;
2015-06-30;22;78,6;877,9;17,5;7;3;
2015-07-31;16;64,2;877,8;17,2;7,6;2,6;
2015-08-31;12;81,6;877,3;17,3;7,9;2,8;
2015-09-30;1;1,4;875,8;20,6;6,2;2,6;
2015-10-31;3;31,2;875,6;21,4;7;2,7;
2015-11-30;4;55,2;873,6;22,7;7;2,4;
2015-12-31;4;45;875,1;22,4;10,9;2,4;
2016-01-31;null;null;874,1;20,6;6,8;2,3;
2016-02-29;1;,2;875,2;21,6;6,8;2,4;
2016-03-31;3;1,4;875,5;21,9;6,7;2,3;
2016-04-30;2;2,4;875,2;20,9;7,7;2,6;
2016-05-31;3;2;876,8;19,7;6;2,3;
2016-06-30;8;3,8;877,9;18,7;7,7;2,7;
2016-07-31;7;5;877,7;17,3;7,9;2,7;
2016-08-31;6;3,6;877,2;18,4;7,6;2,6;
2016-09-30;4;2,6;876,5;19,1;7,2;2,5;
2016-10-31;null;null;874,6;20,5;7,5;2,6;
2016-11-30;10;12,4;873,9;20,5;6,2;2,1;
2016-12-31;9;9;874;20,8;7,5;2,5;
2017-01-31;2;,4;874,1;22,1;7,9;2,4;
2017-02-28;6;3,8;874,1;20,8;6,9;2,3;
2017-03-31;null;null;874;21,9;7,8;2;
2017-04-30;null;null;875;20,4;6,5;2,2;
2017-05-31;8;3,8;875,9;19,2;7;2,2;
2017-06-30;11;3,8;877,3;17,5;6,9;2,7;
2017-07-31;15;5,4;879,4;15,1;7,7;3,6;
2017-08-31;6;2;876,9;17,5;7,6;2,4;
2017-09-30;8;2,8;877,8;17,1;6,7;3,2;
2017-10-31;0;0;875;20,7;7,8;2,8;
2017-11-30;null;null;873,3;19,9;8,6;2;
2017-12-31;12;51;873,2;21,3;8,8;2,3;
2018-01-31;10;90,8;873,9;21,1;7,4;2,3;
2018-02-28;19;135;873,4;20,8;6,8;2,1;
2018-03-31;20;163,8;873,7;20,9;6;2;
2018-04-30;17;113,4;875,2;19,4;6,6;2,4;
2018-05-31;18;90,2;876,3;18,5;7,1;2,7;
2018-06-30;18;46,6;877,7;17,6;6,5;2,4;
2018-07-31;16;29;877,6;17;7,1;2,4;
2018-08-31;7;14;877,4;18,6;7,3;2,6;
2018-09-30;1;1,8;875,1;20,2;6,9;2,5;
2018-10-31;7;46,6;874,2;21,4;6,6;2,2;
2018-11-30;13;127;873,9;20,3;6,5;2,2;
2018-12-31;18;275,4;874,6;20,2;6,6;2,2;
2019-01-31;5;10,8;875,5;21,6;7,3;2,6;
2019-02-28;12;86,8;874,2;22,5;6,6;2;
2019-03-31;9;155,6;874,6;22,2;6,8;2;
2019-04-30;15;115,6;874,8;21;5,8;1,7;
2019-05-31;11;28,4;874,7;20,3;6,7;1,9;
2019-06-30;18;38,8;875,2;17,6;8,7;3,4;
2019-07-31;14;31,6;874,8;16,9;9,1;3,4;
2019-08-31;14;50,8;876;17;12,1;3,5;
2019-09-30;9;30,2;873,9;18,8;7,9;3,1;
2019-10-31;5;39;872,1;20,5;7,4;2,9;
2019-11-30;7;38,6;870,5;21,7;6,7;2,8;
2019-12-31;5;39;871;22,1;7,4;3;
2020-01-31;14;198,8;871,4;21,1;8,3;2,8;
2020-02-29;11;42;871,9;21,7;6,5;2,4;
2020-03-31;21;302;871,7;20,2;10,2;2,6;
2020-04-30;19;232,6;872,8;19,6;9,1;2,9;
2020-05-31;18;41;873,9;18,4;9,1;2,7;
2020-06-30;16;55,6;874,5;17,1;8,6;3,4;
2020-07-31;19;75,4;874,4;16,4;7,5;3,3;
2020-08-31;12;37,4;874,3;16,6;10,2;3,4;
2020-09-30;10;23,8;873,7;18,4;7,5;3,3;
2020-10-31;10;114,6;871,8;20,7;8,6;2,8;
2020-11-30;21;292,4;871,3;19,1;7,1;2,7;
2020-12-31;3;17,2;871,2;20,4;6,2;2,4;
2021-01-31;12;117,6;871,1;20,3;6,5;2,7;
2021-02-28;12;122;870,7;20,1;6,1;2,3;
2021-03-31;5;30,4;871,2;21;7,8;2,7;
2021-04-30;13;70,2;871,8;19,7;8;2,8;
2021-05-31;5;22;873,4;18,4;8,7;2,5;
2021-06-30;8;24;873,9;17,6;7,1;2,5;
2021-07-31;5;5,2;875,2;17,1;7,4;2,7;
2021-08-31;8;31,4;874,8;16,7;7,8;3,2;
2021-09-30;2;null;873,3;20,4;8,4;2,8;
2021-10-31;11;96,8;871,8;20,8;6,8;2,7;
2021-11-30;9;null;null;null;9,3;null;
2021-12-31;9;null;null;null;7,4;null;
2022-01-31;10;97,4;871,3;20;6,2;2,4;
2022-02-28;13;58;871;20,7;6,8;2,1;
2022-03-31;15;79;871,3;20;7,9;2,8;
2022-04-30;10;31,6;871,7;19,9;9;3,1;
2022-05-31;8;15,2;873,3;18,5;8;2,9;
2022-06-30;5;14,8;873,3;17,4;8,6;2,6;
2022-07-31;16;43,8;874,6;16,4;7,4;3,5;
2022-08-31;4;5,6;874,4;17,4;8,4;3,2;
2022-09-30;7;7,8;873,2;19;7;3,1;
2022-10-31;7;21,6;872,2;20,2;7,9;3;
2022-11-30;14;null;870,6;19,1;8;2;
2022-12-31;21;192,4;870,4;19,7;7,4;2,6;
2023-01-31;14;114,6;871,5;20,2;6,7;2,2;
2023-02-28;12;53,8;871,8;20,9;8,7;2,6;
2023-03-31;13;82,6;872;20,4;7,4;2,6;
2023-04-30;10;103,8;871,4;20,4;7,9;2,5;
2023-05-31;13;42,6;873,3;18,9;7,5;1,9;
2023-06-30;7;20,6;875;17,4;6,9;2,7;
2023-07-31;6;46,6;875,2;17,2;8,1;2,9;
2023-08-31;3;8,6;873,9;18,8;7,9;2,7;
2023-09-30;1;4,6;873,6;20,2;6,8;3,1;
2023-10-31;3;18,2;871,8;21,8;7,5;3;
2023-11-30;5;null;871,2;22,6;7,9;2,5;
2023-12-31;7;26;871,2;22,5;7,3;3;
2024-01-31;16;277,8;871,6;21,7;7,8;2,5;
2024-02-29;16;173,6;872,7;20,7;7,7;2,6;
2024-03-31;11;73;872,1;22;6,1;2,3;
2024-04-30;19;105,2;872,1;20,7;7,4;2,5;
2024-05-31;15;43,6;873,4;19,2;7,3;2,8;
2024-06-30;18;70,4;874,7;17,4;7,7;3,1;
2024-07-31;6;null;null;null;7,8;null;

