Nome: CONDE
Codigo Estacao: A431
Latitude: -12.03583333
Longitude: -37.68388888
Altitude: 31.9
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;20;30;1012,1;27,4;6,2;2,6;
2010-02-28;10;59,6;1011,8;27,6;6,4;2,5;
2010-03-31;14;123,6;1011,1;27,6;6,5;2,1;
2010-04-30;22;304,8;1011,9;26,2;5,3;1,7;
2010-05-31;23;239,2;1012,8;25,6;5,1;1,6;
2010-06-30;28;283,4;1016;24,8;5,6;2;
2010-07-31;31;335,4;1016,7;23,8;6,5;2;
2010-08-31;26;107,6;1017,5;23,4;6,2;2,2;
2010-09-30;19;97,8;1016;24,2;5,9;2,6;
2010-10-31;7;29,4;1012,8;26;7,1;2,5;
2010-11-30;6;4,2;1011,3;26,5;6,6;2,4;
2010-12-31;6;109,2;1009,6;26,8;6,4;1;
2011-01-31;17;112;1010,5;26,4;6,4;1,4;
2011-02-28;11;94,4;1011,1;26,9;0;0;
2011-03-31;13;121,2;1010,1;27,3;6,4;1,1;
2011-04-30;14;null;null;25,7;5,1;null;
2011-05-31;25;187,6;1013,4;24,9;6,3;1,5;
2011-06-30;24;125,6;1015,3;23,6;5,7;,9;
2011-07-31;9;null;null;null;null;null;
2011-08-31;17;null;null;23,3;5,3;null;
2011-09-30;17;26,6;1017,5;24;5,5;2;
2011-10-31;19;223,6;1012,5;25,4;6,8;2,5;
2011-11-30;16;131;1012,5;25,5;6,5;2,4;
2011-12-31;9;21,2;1011,9;26,4;6,9;2,5;
2012-01-31;16;72,2;1012,5;26,6;7,7;2,6;
2012-02-29;14;69,8;1012,3;26,7;5,8;,9;
2012-03-31;10;38,2;1012,8;26,4;2,6;,1;
2012-04-30;14;27,6;1012,7;25,9;4,3;,3;
2012-05-31;17;224,4;1014,5;25;4,9;1,4;
2012-06-30;26;167;1016,2;24,2;5,5;1,2;
2012-07-31;26;172;1016,9;23,3;7,2;1,1;
