Nome: UAUA
Codigo Estacao: A435
Latitude: -9.8336111
Longitude: -39.49555555
Altitude: 450.6
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2022-09-08
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;11;89,4;961;26,3;8;3,2;
2010-02-28;7;118,8;960,6;27,2;8,4;3,7;
2010-03-31;9;100;960,5;27;7,4;2,8;
2010-04-30;14;114,8;961,4;25,4;7,2;3,1;
2010-05-31;7;9;962;25,3;6,8;3,2;
2010-06-30;17;54,2;965,1;22,9;8,5;4;
2010-07-31;24;71,8;965,4;21,9;7,9;3,9;
2010-08-31;11;8,2;965,8;22;8,7;4,3;
2010-09-30;9;17,2;964,1;23,4;9,5;4,6;
2010-10-31;5;48,6;961,2;26,5;8,5;3,9;
2010-11-30;3;10,2;959,5;27,2;7,8;3,7;
2010-12-31;9;207,2;958,6;26;7,4;2,7;
2011-01-31;9;68,8;959,4;26;7,1;3;
2011-02-28;10;144,6;960,1;25,9;10;2,9;
2011-03-31;null;null;959,7;26,2;6,7;2,1;
2011-04-30;5;null;960,9;25,1;7,9;2,8;
2011-05-31;7;14,8;962,5;23,7;8;3,4;
2011-06-30;9;8,2;964,1;22,9;7;3,1;
2011-07-31;6;5,8;964,7;22,5;9,5;3,9;
2011-08-31;2;null;null;23,6;7,1;null;
2011-09-30;1;,6;965,2;23,8;8,7;4,6;
2011-10-31;4;16,4;960,8;25,7;7,8;3,9;
2011-11-30;4;5;960,8;25,6;7,4;4,2;
2011-12-31;3;3;960,2;27,1;7,9;3,8;
2012-01-31;2;6;960,7;27,1;8,2;4;
2012-02-29;8;25,4;960,7;26,2;8,7;4;
2012-03-31;0;0;961,1;27,1;9,3;4;
2012-04-30;1;,8;961,2;26,9;7,3;3,7;
2012-05-31;3;12,8;963,1;25,2;7,7;3,8;
2012-06-30;4;3;964,6;24,2;7,4;3,8;
2012-07-31;10;9,8;965,2;22,5;8,4;3,8;
2012-08-31;10;18,8;966,5;22,3;8,6;4,5;
2012-09-30;5;3,2;965,3;24,2;9,4;4,4;
2012-10-31;1;,6;962,4;25,5;7,7;4,5;
2012-11-30;7;13,6;959,8;27,3;9,6;3,5;
2012-12-31;2;4,6;960;27,4;8,3;3,7;
2013-01-31;6;58,2;960,8;27,3;8,3;3,5;
2013-02-28;0;0;960,6;27,6;8,7;4,3;
2013-03-31;1;,4;960,8;28,1;8,2;3,8;
2013-04-30;8;58,8;961,6;26,7;8,5;3,4;
2013-05-31;8;6,8;963;24,6;8,2;2,4;
2013-06-30;8;16,4;964,1;23,6;7,1;2;
2013-07-31;10;17,4;965,4;22,7;8,7;2,9;
2013-08-31;8;12;964,9;22,8;9;4;
2013-09-30;3;3;964,1;24,5;8,1;4,3;
2013-10-31;6;16;962,6;25,6;8,4;4;
2013-11-30;4;13,6;960,5;26;11,4;4,1;
2013-12-31;10;225,8;960,2;26,2;8,3;3,2;
2014-01-31;null;null;961,6;26,4;9,8;3,9;
2014-02-28;7;13;960,7;26,3;8,4;3,9;
2014-03-31;6;43;961,2;26,7;8;3,7;
2014-04-30;7;null;962;25,5;8,2;2,9;
2014-05-31;6;null;962,9;23,6;7,2;3,1;
2014-06-30;3;null;null;null;null;null;
2014-07-31;14;35,8;966,8;22,2;8,1;3,7;
2014-08-31;6;15,8;966,2;22,4;8,2;4,1;
2014-09-30;4;null;null;24,8;7,8;null;
2014-10-31;6;10;963,4;25;10,4;4,8;
2014-11-30;5;34;961,1;26,2;7,8;3,7;
2014-12-31;6;101,2;961,7;25,3;6,9;3,3;
2015-01-31;1;,2;962,4;26,7;7,6;3,8;
2015-02-28;8;84,8;961,7;26;10,6;3,2;
2015-03-31;3;43,8;961,3;26,8;7,1;3,2;
2015-04-30;10;94,6;961,6;26,4;7,4;3;
2015-05-31;14;32,4;963,4;24,4;8,2;3,3;
2015-06-30;13;11;965,6;22,9;7,8;3,5;
2015-07-31;9;14,4;965,9;22,8;8,4;4;
2015-08-31;7;5,4;965,6;23;8,6;4,3;
2015-09-30;3;1,8;963,8;25,4;7,6;4,2;
2015-10-31;2;1,4;963,1;26,4;8,3;4,2;
2015-11-30;0;0;960,3;28,5;8;3,8;
2015-12-31;2;6;962,1;27,9;10,3;4,2;
2016-01-31;19;330,8;961,5;25,6;9,5;2,6;
2016-02-29;8;70,8;962,3;25,6;6,7;3;
2016-03-31;2;2,8;962,3;27,4;7,1;3,6;
2016-04-30;3;2;962;26,9;7,3;3,8;
2016-05-31;6;27,4;964,2;25,1;7,2;3,5;
2016-06-30;8;10,8;965,8;23,6;8;3,5;
2016-07-31;3;6,4;965,9;23;8,6;4;
2016-08-31;null;null;null;23,7;8,2;null;
2016-09-30;null;null;null;null;7,3;null;
2016-10-31;1;null;null;26,7;8,3;null;
2016-11-30;2;,6;960,8;27,4;8;4,2;
2016-12-31;4;2,2;960,6;27,8;9,8;4,1;
2017-01-31;0;0;961,1;27,6;8,3;4,3;
2017-02-28;4;43,4;960,8;27,5;8,4;4;
2017-03-31;5;18,6;960,8;27,5;8,2;3,7;
2017-04-30;5;9,8;961,9;26,3;8,1;4;
2017-05-31;7;12,6;963,3;25;8;3,9;
2017-06-30;15;40,2;965;22,9;8,1;4;
2017-07-31;17;20,2;967,8;21,1;9,3;4,9;
