Nome: QUEIMADAS
Codigo Estacao: A436
Latitude: -10.98472221
Longitude: -39.61694443
Altitude: 310.11
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;9;119,6;977,1;26,9;8,8;2,9;
2010-02-28;7;44,4;976,7;28,1;9,2;3,5;
2010-03-31;10;210,8;976,4;27,6;9;2,7;
2010-04-30;12;115,2;977,5;25,2;6;2,2;
2010-05-31;11;13,2;978,2;25,4;6,1;2,4;
2010-06-30;16;51,2;981,4;23,6;7,7;2,9;
2010-07-31;26;152,6;981,9;21,9;6,9;2,8;
2010-08-31;18;31,8;982,4;21,6;8,1;2,9;
2010-09-30;7;8;980,6;23,7;8,2;3,7;
2010-10-31;5;95,6;977,4;26,6;8,5;3,1;
2010-11-30;0;0;975,7;27;8,1;3,2;
2010-12-31;12;153;974,4;26,7;7,5;2,4;
2011-01-31;11;38,6;975,5;27;8,1;3,1;
2011-02-28;8;121,6;976,1;27,2;8,7;3;
2011-03-31;10;95,4;975,4;27;7,9;2,1;
2011-04-30;15;73,6;977;25,9;8,3;2,7;
2011-05-31;11;39,8;978,7;24,4;6,6;2,8;
2011-06-30;10;16,4;980,4;23,5;7,1;2,8;
2011-07-31;12;37,2;981,1;23;7,9;3,4;
2011-08-31;3;null;null;null;8,2;null;
2011-09-30;null;null;null;null;7,9;null;
2011-10-31;3;null;null;null;7,8;null;
2011-11-30;12;187,2;977,2;25,1;8,4;3,5;
2011-12-31;4;107,4;976,5;26,6;7,5;3;
2012-01-31;3;10,4;976,9;27,3;8,3;3,7;
2012-02-29;8;34,8;976,9;27;9;3,8;
2012-03-31;3;13;977,3;27,6;8,9;3,8;
2012-04-30;1;,4;977,5;27,1;7,9;3,4;
2012-05-31;9;123,4;979,5;25,3;7,6;3,2;
2012-06-30;9;28,4;981,1;24,3;6,5;3,2;
2012-07-31;14;50,2;981,7;22,9;7,7;3,3;
2012-08-31;20;80,2;983,2;22,6;8,6;3,9;
2012-09-30;7;13,6;981,7;24,6;8,8;4,1;
2012-10-31;4;2,4;978,8;25,9;9,3;4,3;
2012-11-30;10;53,4;976;27,1;9;3,5;
2012-12-31;2;15;976,2;27,9;9,1;3,9;
2013-01-31;8;90,2;976,9;27,9;10,6;3,7;
2013-02-28;3;5,4;976,8;28,4;10,1;4,2;
2013-03-31;3;7,6;976,9;28,7;10,1;3,7;
2013-04-30;13;50,8;977,9;26,9;8,9;3,5;
2013-05-31;16;78;979,3;25,1;8,3;3,2;
2013-06-30;17;94,4;980,4;24,1;9,4;3;
2013-07-31;17;145;981,9;23,1;7,8;3,2;
2013-08-31;17;76,4;981,4;22,9;8,8;3,3;
2013-09-30;13;null;980,9;24,5;8,2;3,9;
2013-10-31;1;null;null;26,3;8,7;null;
2013-11-30;2;6,2;976,7;26,7;11,4;4,2;
2013-12-31;12;102,2;976,1;26,8;8,8;2,9;
2014-01-31;6;8,4;977,7;27,4;8,5;3,8;
2014-02-28;6;8,2;976,9;27,1;10,1;3,8;
2014-03-31;10;60,4;977,4;27,1;8,3;3,3;
2014-04-30;12;165,4;977,7;26,6;8,3;2,8;
2014-05-31;14;43,8;979;24,5;6,8;2,6;
2014-06-30;13;40,8;981;23,4;7,3;2,8;
2014-07-31;16;52,6;983,3;22,6;7,4;2,9;
2014-08-31;10;23;982,5;22,8;7,7;3,2;
2014-09-30;5;7;980,8;25;8,9;3,7;
2014-10-31;5;4,2;979,8;25,7;9,3;4,5;
2014-11-30;null;null;null;null;5,4;null;
2014-12-31;7;null;null;25,4;7,3;null;
2015-01-31;3;4,6;978,5;26,8;9;3,3;
