Nome: MINEIROS
Codigo Estacao: A026
Latitude: -17.45472222
Longitude: -52.60111111
Altitude: 862
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;19;36,6;932,1;24,2;7,9;1,8;
2010-02-28;3;null;null;null;null;null;
2010-03-31;19;630,8;932,1;24,5;7,2;1,3;
2010-04-30;9;45;934,1;22,6;5,9;1,1;
2010-05-31;14;25,6;934,8;19,6;5,6;1;
2010-06-30;4;4,8;937;19,3;5,7;,8;
2010-07-31;2;,6;936,4;20,4;7,6;1,2;
2010-08-31;1;,2;936;21,1;7,7;1,2;
2010-09-30;2;9,8;932,9;25,5;7,8;1,4;
2010-10-31;12;159,6;932,1;24,6;6,3;1,4;
2010-11-30;17;230,6;930,7;23,6;7;1,3;
2010-12-31;23;285,8;929,6;23,7;7;1,2;
2011-01-31;24;159,6;930,6;23,6;6,6;1;
2011-02-28;20;221,4;931,9;23,6;6,5;1,2;
2011-03-31;28;395,2;931,1;23;6,9;1,5;
2011-04-30;23;107,2;933,5;22,6;6;1,1;
2011-05-31;20;7,6;935,2;19,7;4,9;,9;
2011-06-30;13;19,2;935,7;18,7;8;1,2;
2011-07-31;3;,6;935,6;20,2;7,1;1,3;
2011-08-31;1;3,8;935;22,4;8,1;1,5;
2011-09-30;6;23,8;934,7;24,6;8,5;1,6;
2011-10-31;17;190,6;931,6;23,6;7,2;1,7;
2011-11-30;17;90,8;931,3;23,3;7;1,6;
2011-12-31;16;null;930,6;23,8;7,4;1,3;
2012-01-31;null;null;null;null;9,3;null;
2012-02-29;12;null;null;23;8,4;null;
2012-03-31;27;119,4;933,4;23;5,6;1;
2012-04-30;23;null;933,3;23,2;5,3;,7;
2012-05-31;3;null;null;null;null;null;
2012-06-30;20;44,8;936,2;19,8;6,2;,8;
2012-07-31;9;2;936,5;18,6;5,8;,8;
2012-08-31;null;0;937,1;21,4;7,7;1,1;
2012-09-30;6;36,8;934,9;23,9;9,4;1,2;
2012-10-31;11;102,2;932;25,1;7,5;1,2;
2012-11-30;21;270,4;930,7;23,8;8,3;1;
2012-12-31;20;133;931,6;24,7;6,2;1;
2013-01-31;24;414;931,7;23,7;6,8;1,1;
2013-02-28;22;145,2;932,7;23,2;6,8;1,1;
2013-03-31;20;214,4;932,8;24,1;6,1;,9;
2013-04-30;22;129;934,4;22;5,6;,7;
2013-05-31;15;20,2;935,1;20,8;6,2;,7;
2013-06-30;16;30,8;935,8;20,8;4,6;,7;
2013-07-31;5;3,2;937,2;18,8;5,3;1;
2013-08-31;0;0;935,9;20;5,7;1,2;
2013-09-30;7;25;934,3;23,8;11;1,5;
2013-10-31;25;159;933,1;24,2;7;1,1;
2013-11-30;17;125,4;931,3;23,9;6,6;1;
2013-12-31;19;219,6;930,5;24,1;5,3;1,1;
2014-01-31;25;184,4;933,6;23,3;8,5;,7;
2014-02-28;17;163,2;932,3;23,4;8,5;,7;
2014-03-31;21;69;933,1;23,6;7,3;,4;
2014-04-30;22;254,6;934;23,2;4,4;,1;
2014-05-31;19;94,2;935,1;20,4;5,2;,5;
2014-06-30;11;18,8;936,2;19,9;5,4;,8;
2014-07-31;9;59;937,9;19,3;6;,7;
2014-08-31;1;,2;936,3;21,2;5,7;,9;
2014-09-30;8;105,6;933,9;24,1;8,4;,9;
2014-10-31;8;33;933,3;25;6,5;,7;
2014-11-30;19;259;931,9;23,9;6,1;,6;
2014-12-31;23;196;932,2;23,8;5,7;,7;
2015-01-31;17;149,8;933,9;24,4;8;,5;
2015-02-28;20;207,4;933;23,8;10;,6;
2015-03-31;25;226,2;933,1;23,2;6,1;,5;
2015-04-30;19;204,6;933,9;23,4;5,7;,3;
2015-05-31;19;120,2;935,6;21,1;4,5;,2;
2015-06-30;16;19,2;937,5;19,9;4,2;,2;
2015-07-31;7;22,4;936,6;20,5;6;,4;
2015-08-31;2;8;935,7;21,4;5,5;,4;
2015-09-30;7;27,4;933,4;24,5;7,9;,9;
2015-10-31;9;75;932,9;null;6;1,5;
2015-11-30;22;217,2;931,8;24,4;7,1;1,5;
2015-12-31;22;167;933,5;24;6,5;1,4;
2016-01-31;23;386,4;931,2;24;7,1;1,8;
2016-02-29;16;86,6;933,7;24,4;7,3;1,3;
2016-03-31;22;61;934,3;24,1;7,4;1,2;
2016-04-30;10;35,4;934,1;23,7;5,5;1;
2016-05-31;11;null;936,5;22,2;5,5;1;
2016-06-30;null;null;null;null;null;null;
2016-07-31;null;null;null;null;7,2;null;
2016-08-31;1;null;null;null;null;null;
2016-09-30;4;15,2;935;23,3;7,8;1,5;
2016-10-31;5;28;932,7;24;8,9;1,4;
2016-11-30;12;120,2;931,9;23,2;8,8;1,2;
2016-12-31;27;187;932,3;23,4;9,4;1,3;
2017-01-31;25;186,2;933;23,1;11,4;1,2;
2017-02-28;23;354,2;932,5;23,4;8,3;1,3;
2017-03-31;24;353,2;933,1;23,6;6,7;1;
2017-04-30;20;50,4;934,1;22,9;4,2;,9;
2017-05-31;20;83,2;934,9;22,2;6,3;,7;
2017-06-30;null;null;936,8;19,6;5,7;1;
2017-07-31;null;null;939,3;17,8;8;1,1;
2017-08-31;null;null;null;null;5,4;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;null;null;null;null;null;
2017-11-30;null;null;null;null;null;null;
2017-12-31;null;null;null;null;null;null;
2018-01-31;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;6;7,4;919,6;21,1;4,8;1,8;
2018-06-30;null;0;920,6;20,7;6,1;1,8;
2018-07-31;0;0;920,3;21,3;5,6;1,6;
2018-08-31;5;5,2;919,8;22,6;7,5;2,1;
2018-09-30;7;51,6;916,9;23,6;7,4;2,2;
2018-10-31;18;94,6;916,2;23,9;7,3;2,1;
2018-11-30;23;364,4;915,2;22,9;7,4;2,3;
2018-12-31;13;48,6;916,7;23,7;6,9;2;
2019-01-31;16;136;918,1;23,4;6,9;1,9;
2019-02-28;20;230,6;916,6;23,2;7,2;2,1;
2019-03-31;11;92,4;917,6;23,5;7,3;2,1;
2019-04-30;12;122,2;917,6;23,1;5,2;1,5;
2019-05-31;null;null;918,5;21,7;4,8;1,5;
2019-06-30;1;,2;920,9;20,8;6,5;2,1;
2019-07-31;2;7;920,4;20,5;7,2;2,1;
2019-08-31;2;3,6;920,9;23;7,7;2,7;
2019-09-30;5;20,2;917,6;26,6;8,6;2,6;
2019-10-31;15;138;916,5;24,4;9,4;2,2;
2019-11-30;11;131,8;915,3;23,9;14,7;2,3;
2019-12-31;17;197,8;916;23,6;8;2,1;
2020-01-31;20;260,2;915,7;23,8;6,5;2,1;
2020-02-29;25;390;916,7;23,3;7,2;2,1;
2020-03-31;16;127,2;916,8;23,8;6;2,1;
2020-04-30;10;43,6;918,6;22,7;7,4;1,9;
2020-05-31;8;64,4;919,9;19,6;5,9;1,9;
2020-06-30;1;2,2;919,9;21,2;7,2;2,3;
2020-07-31;0;0;919,7;21,4;7,3;2,3;
2020-08-31;0;0;919,2;22,9;7,6;2,8;
2020-09-30;3;28,2;917,7;26,5;7,2;2,6;
2020-10-31;12;115,2;915,8;25,8;9,2;2,5;
2020-11-30;5;68;916;24,9;8,1;2,6;
2020-12-31;18;268;915,8;23,4;6,2;2,2;
2021-01-31;16;null;916,3;23;5,7;2,1;
2021-02-28;16;154,4;915,3;23,1;7;1,8;
2021-03-31;13;25,4;916,8;22,7;6,9;2,2;
2021-04-30;7;45,4;917,7;22,2;5,7;1,8;
2021-05-31;3;85;919,5;21,1;6,2;1,8;
2021-06-30;2;22,2;920,1;20,5;5,6;1,9;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;5;null;null;null;null;null;
2021-11-30;19;320,2;915;23,3;7;2,2;
2021-12-31;18;257,6;914,1;23,5;6,6;2,1;
2022-01-31;20;238,6;915,4;22,7;6,2;2,3;
2022-02-28;18;null;916;22,9;6,4;2;
2022-03-31;15;null;916,6;23,4;5,9;2;
2022-04-30;8;165,4;917,5;23;5,5;1,8;
2022-05-31;4;5,2;919,5;19,4;4,6;1,7;
2022-06-30;3;26,8;919,5;20,1;5;1,8;
2022-07-31;0;0;919,7;21,8;6,4;2,2;
2022-08-31;3;13,8;919,4;21,8;9,4;2,3;
2022-09-30;1;33;917,6;24,2;7,9;2,5;
2022-10-31;6;null;916,6;23,7;6,7;2,2;
2022-11-30;3;null;915,7;22,5;8,4;2,3;
2022-12-31;13;null;914,6;23,1;8,8;2,1;
2023-01-31;16;null;916,1;22,3;6;2,2;
2023-02-28;12;null;917,1;23,1;7,5;1,6;
2023-03-31;19;182,6;917,4;23,1;9,8;2;
2023-04-30;12;56;917,3;22,6;6,5;1,6;
2023-05-31;null;0;919,4;21,2;5,8;1,6;
2023-06-30;5;18,8;921;19,5;5,4;1,7;
2023-07-31;0;0;920,7;21,6;7,1;2,1;
2023-08-31;2;14,2;918,7;23,6;7,4;2,2;
2023-09-30;9;16,8;917,5;25,7;8,6;2,2;
2023-10-31;9;null;915,9;26,5;7,1;2,2;
2023-11-30;6;null;915,8;26;10,3;2,4;
2023-12-31;7;null;916,1;25,3;5,8;1,9;
2024-01-31;12;null;916,3;24,3;9;1,9;
2024-02-29;9;null;917,5;null;6,2;1,9;
2024-03-31;18;276,8;917,3;24,2;5,9;1,6;
2024-04-30;16;157,6;917,5;23,9;5;1,7;
2024-05-31;3;1,2;919,2;22,1;5,7;1,8;
2024-06-30;0;0;920;21,7;5,5;2;
2024-07-31;null;null;null;null;5,9;null;

