Nome: SANTANA DO ARAGUAIA
Codigo Estacao: A233
Latitude: -9.34055555
Longitude: -50.35027777
Altitude: 154
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;20;300,2;990,4;26,3;7;1,3;
2010-02-28;18;158,6;989,9;26,4;8;1,4;
2010-03-31;27;245,6;990,3;26,7;7,9;1,2;
2010-04-30;19;251,6;990,4;27,1;6,6;1;
2010-05-31;6;27,8;990,7;27,4;5,5;1;
2010-06-30;0;0;992,9;26,7;7,2;1,2;
2010-07-31;0;0;992,5;26,6;6,5;1,4;
2010-08-31;null;0;992;26,9;6,4;1,4;
2010-09-30;1;,8;989,5;29,2;7,2;1,4;
2010-10-31;14;154,4;989,5;28;10,9;1,6;
2010-11-30;17;213,4;988,7;26,6;7,4;1,3;
2010-12-31;21;273,8;988,1;26,1;8,4;1,4;
2011-01-31;26;384,4;989,2;25,5;8,3;1,3;
2011-02-28;25;358,8;990,3;25,2;6,4;1,2;
2011-03-31;22;232,8;989,8;25,7;7,2;1,1;
2011-04-30;23;233,8;990,6;26,2;8,3;1,1;
2011-05-31;9;71;990,9;26,8;5,6;1,1;
2011-06-30;null;null;992,2;26,1;5,7;1,3;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;28;5,8;null;
2011-09-30;0;0;990,9;29;6,6;1,6;
2011-10-31;20;307,2;989,2;26,7;8,9;1,5;
2011-11-30;25;355;989,7;25,9;7,2;1,4;
2011-12-31;24;376,4;989,6;26,1;8,5;1,2;
2012-01-31;25;365,6;990,6;25;6,7;1;
2012-02-29;19;210,6;990,4;25,2;8,6;1;
2012-03-31;20;226;990,7;26;5,3;1;
2012-04-30;17;138,2;990,2;26,7;8;,7;
2012-05-31;9;91,6;991,6;26,5;6,2;1;
2012-06-30;11;29;992,6;26,1;10;,9;
2012-07-31;1;9,6;992,5;25,7;7;1,1;
2012-08-31;null;0;993,1;25,9;7,1;1,4;
2012-09-30;2;5,2;991,6;28,2;6,3;1,3;
2012-10-31;null;null;null;null;7,8;null;
2012-11-30;3;null;null;null;5,3;null;
2012-12-31;22;235,2;989,5;26;8,7;1,4;
2013-01-31;23;478;990,8;25,8;10,5;1,4;
2013-02-28;19;181;990;25,9;7,6;1,3;
2013-03-31;23;223;990,7;26,4;7,3;1,2;
2013-04-30;14;147,2;991,2;26,5;6,6;1,1;
2013-05-31;8;23,6;991,6;27;5,6;1,1;
2013-06-30;null;null;992,2;26,5;5,8;1,2;
2013-07-31;1;,2;992,9;26,3;6,6;1,5;
2013-08-31;0;0;991,3;27,5;6,4;1,6;
2013-09-30;7;12,4;990,7;28,2;6;1,7;
2013-10-31;null;null;990,4;27,1;6,5;1,5;
2013-11-30;null;null;989,3;25,8;6,4;1,4;
2013-12-31;25;309,4;989,9;25,7;6,9;1,3;
2014-01-31;24;314,4;991,2;25,1;7,9;1,1;
2014-02-28;24;442,4;990,3;25,5;7,4;1,2;
2014-03-31;26;233,6;990,9;25,9;7;,9;
2014-04-30;20;225,4;991,4;26,1;6,2;,8;
2014-05-31;12;43,6;991,4;26,6;6,9;,7;
2014-06-30;2;,4;992,5;26,1;5,6;1;
2014-07-31;0;0;994;26,3;6,4;1,2;
2014-08-31;0;0;992,4;27,1;6,6;1,2;
2014-09-30;8;60,4;991,1;28,1;8,9;1;
2014-10-31;10;156;990,5;27,4;7,4;1,2;
2014-11-30;16;139,6;989,8;26,8;8,2;1;
2014-12-31;21;323,8;990,7;25,8;7,5;,9;
2015-01-31;22;189,6;991,6;25,7;8,3;,8;
2015-02-28;19;207,6;991,4;25,7;6;1;
2015-03-31;26;282,6;991,2;26;6,9;1,1;
2015-04-30;26;107,8;991,4;26,1;5,4;,7;
2015-05-31;8;71;992,2;26,7;6;1,2;
2015-06-30;0;0;993,4;26,1;6,2;1,1;
2015-07-31;2;26,2;993;26,1;5,9;1,3;
2015-08-31;null;null;991,9;26,9;5,9;1,2;
2015-09-30;null;null;null;null;7,4;null;
2015-10-31;null;null;null;null;4,9;null;
2015-11-30;3;null;null;null;5,9;null;
2015-12-31;12;109,2;990,8;26,8;8,9;1,1;
2016-01-31;26;668,8;991;25,9;7,2;1,2;
2016-02-29;10;101,4;990,6;27,8;7,8;1,1;
2016-03-31;21;307,2;991,7;26,6;7,7;1;
2016-04-30;11;99,8;990,7;27,5;7;1;
2016-05-31;6;21,6;992,3;27,3;6,4;,8;
2016-06-30;6;null;null;26,6;9,9;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;10;null;989,8;27,6;6,9;1;
2016-11-30;16;253,8;989,1;26,9;8,1;1,1;
2016-12-31;16;197;990,1;26,1;7,5;1,1;
2017-01-31;20;143,2;990,7;26,2;9,8;1;
2017-02-28;23;495,4;991;25,4;5,8;1;
2017-03-31;21;205,4;990,9;26,4;8,3;1,1;
2017-04-30;22;262,2;991;26,4;6,5;,7;
2017-05-31;2;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;8;78,4;989,4;28,2;9;1,4;
2017-11-30;12;60,2;989,3;27;6,7;1,2;
2017-12-31;22;399;989,4;25,9;7,6;1;
2018-01-31;21;244,8;990;25,9;8,8;1;
2018-02-28;21;331,6;989,8;25,6;8,4;1,1;
