Nome: PALMARES
Codigo Estacao: A357
Latitude: -8.66666666
Longitude: -35.56805554
Altitude: 164.01
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;22;129,2;993,5;25,4;6,2;2;
2010-02-28;17;108;993;26,1;7,1;2,1;
2010-03-31;12;63;992,8;26,7;6;2;
2010-04-30;20;134,2;992,9;26,2;7,3;2;
2010-05-31;17;6;993,8;25,6;6,6;2;
2010-06-30;10;2;996,3;24,2;7;2,1;
2010-07-31;13;78,6;996,8;22,9;8,5;2,3;
2010-08-31;26;126,4;997,8;22,2;7,4;2,4;
2010-09-30;21;108,8;996,5;23;7,9;2,4;
2010-10-31;9;18,6;994,1;25;6,7;2,1;
2010-11-30;10;7,2;992,8;25,6;6,5;2,3;
2010-12-31;10;11,8;991,3;26,4;7,2;2,4;
2011-01-31;18;75,4;991,7;25,9;7,9;2,3;
2011-02-28;13;99,6;992,5;25,8;6;2,2;
2011-03-31;10;51,6;991,9;26,5;6,2;2;
2011-04-30;22;227;992,6;25,4;8,1;1,9;
2011-05-31;28;566;993,9;24,2;6,7;2;
2011-06-30;22;179;995,7;23,6;6,6;2;
2011-07-31;31;334;996,4;22,3;7,2;2,2;
2011-08-31;22;99,4;997,1;22,9;6,9;2,2;
2011-09-30;21;47,6;997,6;23,1;7,4;2,5;
2011-10-31;21;31,6;993,6;24,5;6,3;2,2;
2011-11-30;15;87,2;993,5;25;6,2;2,2;
2011-12-31;7;12,2;993,3;25,9;6,4;2,4;
2012-01-31;5;5,2;993,7;25,4;6,9;2,3;
2012-02-29;9;167,4;993,3;25,4;7;2,4;
2012-03-31;13;42,8;993,8;25,6;6,2;2,2;
2012-04-30;11;45,6;993,7;25,6;6,4;2,1;
2012-05-31;15;85;995,3;25,1;6,5;2,2;
2012-06-30;27;196,8;996,8;23,5;7,1;2;
2012-07-31;27;214,6;997,2;22,6;6,4;1,9;
2012-08-31;26;120,2;998,6;22,2;7,7;2,3;
2012-09-30;11;21,4;998,1;23,3;6,7;2,3;
2012-10-31;18;32,8;995,4;24,1;6,7;2,3;
2012-11-30;5;13,4;993,2;25,6;6,3;2,2;
2012-12-31;10;26,4;993;26,1;6,5;2,2;
2013-01-31;13;85,4;993,8;26,4;7,2;2,3;
2013-02-28;12;13,8;993,3;26,8;7,1;2,5;
2013-03-31;8;34,4;993,5;26,9;6,6;2,3;
2013-04-30;15;229,4;993,7;26,2;6,4;2;
2013-05-31;24;166;994,9;24,8;7,4;1,8;
2013-06-30;30;236,2;995,9;23,9;5,9;1,8;
2013-07-31;29;27,8;997,1;22,9;7;1,9;
2013-08-31;21;158,4;996,9;22,9;6,2;2;
2013-09-30;23;120,6;996,8;23,3;7,4;2,1;
2013-10-31;20;64,2;995,6;24,2;6,7;2,1;
2013-11-30;17;70,8;993,6;24,6;6,2;2,1;
2013-12-31;8;34,8;993,3;25,8;5,7;2;
2014-01-31;13;24,4;994,2;25,6;8,4;2,3;
2014-02-28;13;202;993,1;25,1;6,8;1,9;
2014-03-31;20;137,6;993,7;25,6;6,3;1,9;
2014-04-30;21;83;993,7;25,7;6,3;1,8;
2014-05-31;19;200,2;994,5;24,3;6,3;1,9;
2014-06-30;9;71,8;996,3;23,6;6,1;2,1;
2014-07-31;14;53,8;998,6;22,9;6,8;2,1;
2014-08-31;null;null;998,2;22,5;7,4;2,1;
2014-09-30;13;123,8;997,1;23,3;7,5;2,2;
