Nome: MARAU
Codigo Estacao: A438
Latitude: -13.90694444
Longitude: -38.97222221
Altitude: 6.24
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;23;182,6;1012,9;27;5,8;2;
2010-02-28;20;143,4;1012,6;27,1;5,7;1,9;
2010-03-31;23;270,4;1011,6;27,4;5,4;2;
2010-04-30;26;335,6;1012,8;26,1;6,4;2,2;
2010-05-31;21;207,4;1013,6;25,5;5,3;1,9;
2010-06-30;11;null;null;23,6;6,5;null;
2010-07-31;4;null;null;null;5,5;null;
2010-08-31;3;null;null;null;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;13;85,6;1011,7;26,3;5,1;2,5;
2010-12-31;18;156;1010;26,3;4,8;2,1;
2011-01-31;27;276,8;1011,3;26,3;5,3;2;
2011-02-28;22;290;1011,9;26,6;6,3;1,9;
2011-03-31;19;251,6;1010,7;27,1;6;2,2;
2011-04-30;25;458,6;1012,8;25,9;5,9;1,9;
2011-05-31;25;221,6;1014,6;24,4;4,9;2,2;
2011-06-30;26;330,4;1016,4;23,1;6,9;2,1;
2011-07-31;29;218,4;1017,6;22,9;6,9;2;
2011-08-31;20;114;1017,7;23,2;6,6;1,9;
2011-09-30;21;133,8;1018,7;23;6,4;2,4;
2011-10-31;22;219,4;1013,4;24,8;6,8;2,5;
2011-11-30;23;267,2;1013,4;24,4;5,7;2,2;
2011-12-31;13;148,4;1012,4;26;5,6;2,1;
2012-01-31;21;76,2;1013,2;26,1;6;2;
2012-02-29;22;214,2;1013,2;25,6;5,9;1,9;
2012-03-31;19;130,8;1013,4;25,9;4,9;1,8;
2012-04-30;16;185,2;1013,4;25,5;4,9;1,7;
2012-05-31;23;348,6;1015,6;24,3;5,9;2,1;
2012-06-30;24;304,4;1017,1;23,8;5,3;1,7;
2012-07-31;25;122,2;1017,9;23,1;6,2;2,1;
2012-08-31;24;157,8;1019,9;22,9;6;2,4;
2012-09-30;14;34,4;1018,3;23,8;7,1;2,4;
2012-10-31;18;91,4;1015,4;24,5;5,4;2,4;
2012-11-30;14;40;1012;25,9;6,8;2,3;
2012-12-31;12;37,2;1012,3;26,5;5,2;2,2;
2013-01-31;19;304,4;1012,8;26,8;5,7;2,2;
2013-02-28;19;275;1013;26,6;5,3;2;
2013-03-31;19;118,8;1012,9;26,9;4,8;2;
2013-04-30;26;361;1013,7;25,6;5,9;2,3;
2013-05-31;16;311,2;1015;24,7;5,7;2;
2013-06-30;27;223,4;1016,3;24;4,8;1,9;
2013-07-31;28;300;1018;23,2;5,3;2;
2013-08-31;24;298;1017,7;23;5,6;2;
2013-09-30;25;143,2;1017;24;5,3;2,2;
2013-10-31;18;127;1015,5;24,8;5,6;2,6;
2013-11-30;18;463;1012,9;25,5;5,9;2,4;
2013-12-31;9;28,6;1011,7;26,6;5,2;2,7;
2014-01-31;26;247,2;1014;26;5,2;1,8;
2014-02-28;15;null;null;26,2;6;null;
2014-03-31;2;null;null;null;4,7;null;
2014-04-30;null;null;null;null;6,2;null;
2014-05-31;25;206,6;1014,8;24,8;6,2;2;
2014-06-30;24;169;1017,1;23,7;5,4;1,8;
2014-07-31;29;235;1019,6;23,3;6,3;2,2;
2014-08-31;24;161,8;1018,9;22,9;5,8;2;
2014-09-30;22;205,4;1017,4;23,7;7,2;2,4;
2014-10-31;17;74,8;1016,4;24,4;7;2,5;
2014-11-30;22;155;1013,4;25,2;5,2;2,3;
2014-12-31;23;463,2;1013,8;25,6;5,5;2;
2015-01-31;22;194,2;1014,7;26;4,8;1,9;
2015-02-28;17;111,2;1013,6;26,7;6,4;2;
2015-03-31;20;95,8;1013;26,9;4,7;1,8;
2015-04-30;16;243,6;1013,1;26,2;5;2;
2015-05-31;10;null;null;25,2;5,5;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;12;null;null;null;null;null;
2015-08-31;26;131,8;1018,5;23,2;5,4;1,9;
2015-09-30;15;40,4;1016,3;24,7;5,4;2;
2015-10-31;12;65,4;1015,7;25,5;5,9;2,1;
2015-11-30;9;127,2;1012,6;26,8;6,1;2,5;
2015-12-31;8;26,8;1014,4;27;5,2;2,2;
2016-01-31;17;130,8;1012,4;27,5;6,4;2,5;
2016-02-29;18;78,4;1013,9;27,2;5,1;1,8;
2016-03-31;20;100,6;1014,1;27,5;4,7;1,9;
2016-04-30;25;189,2;1014;26,3;4,5;1,6;
2016-05-31;25;227,6;1016,1;25;5,5;1,8;
2016-06-30;15;127,4;1017,9;24,3;6,1;2,3;
2016-07-31;27;160,8;1018,4;23,6;6,3;1,8;
2016-08-31;21;338,2;1017,9;23,4;5,2;2;
2016-09-30;null;null;null;null;null;null;
2016-10-31;18;null;1014,4;25,6;5,3;2,2;
2016-11-30;16;66,6;1013,3;25,6;5,9;2,3;
2016-12-31;14;142,2;1013;26,4;6,8;2,1;
2017-01-31;14;44,6;1013,5;26,8;5,9;2,1;
2017-02-28;24;142,8;1013;26,6;5,4;1,8;
2017-03-31;19;232,2;1012,7;26,7;4,9;1,9;
2017-04-30;10;null;null;null;5,7;null;
2017-05-31;null;null;null;null;5,4;null;
2017-06-30;null;null;null;null;4,9;null;
2017-07-31;9;null;null;null;7;null;
2017-08-31;22;99,6;1018,2;22,5;5,1;2,1;
2017-09-30;27;147,4;1019,4;23,4;5,7;2,5;
2017-10-31;15;32;1015,6;24,9;5,7;2,2;
2017-11-30;14;91,6;1012,6;25,8;5,5;2,2;
2017-12-31;14;74;1012,1;26,2;6,7;2;
2018-01-31;16;126,4;1012,9;26,7;5,8;2,1;
2018-02-28;19;69,4;1012;26,8;5,5;1,9;
2018-03-31;15;167,8;1011,9;27;6,1;2;
2018-04-30;24;344,4;1014,3;25,2;5,6;1,8;
2018-05-31;26;320,2;1015,9;24,7;4,8;2;
2018-06-30;29;281;1018;23,7;4,8;1,6;
2018-07-31;28;109,2;1018,4;23,1;4,9;1,6;
2018-08-31;20;101,6;1018,3;23,7;5,1;1,8;
2018-09-30;12;104,8;1015,8;24,3;5,5;1,9;
2018-10-31;11;27,8;1013,9;25,5;5,4;2,1;
2018-11-30;22;281,6;1013,5;25,8;6,1;2,1;
2018-12-31;15;161;1013,5;26,5;5,4;2,2;
2019-01-31;20;119,2;1014,8;26,8;5,2;1,8;
2019-02-28;9;16,8;1012,2;28,1;5,7;2,1;
2019-03-31;17;186,4;1012,7;27,4;4,5;1,8;
2019-04-30;23;129,6;1012,8;27;4,7;1,5;
2019-05-31;24;341,4;1013,8;25,8;4,5;1,4;
2019-06-30;28;218;1017,8;24,3;5,9;2,1;
2019-07-31;24;163,2;1018,1;23,4;5,6;2,3;
2019-08-31;24;269,8;1019,9;23,3;5;1,9;
2019-09-30;18;147,4;1017,1;24,3;5,1;1,9;
