Nome: EUCLIDES DA CUNHA
Codigo Estacao: A442
Latitude: -10.53722221
Longitude: -38.99666666
Altitude: 431.96
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;50,4;963,4;26,1;null;null;
2010-02-28;null;36,6;963,1;26,6;null;null;
2010-03-31;null;60,6;962,8;26,6;null;null;
2010-04-30;null;198,6;963,7;24,5;null;null;
2010-05-31;null;41,6;964,4;24,1;null;null;
2010-06-30;null;123,8;967,5;21,7;null;null;
2010-07-31;null;207,4;967,8;20,9;6,6;3;
2010-08-31;null;60,8;968,4;20,3;7,3;2,9;
2010-09-30;null;83,2;966,7;21,5;7,5;3,4;
2010-10-31;null;116,4;963,8;24,6;7,6;3,2;
2010-11-30;null;0;962,1;25,4;null;null;
2010-12-31;null;143,4;960,8;25,6;null;null;
2011-01-31;null;35,6;961,8;25,3;null;null;
2011-02-28;null;61,2;962,4;25,6;null;null;
2011-03-31;null;55,4;961,8;26,1;null;null;
2011-04-30;null;82;963,3;24,7;null;null;
2011-05-31;null;82;964,8;22,9;null;null;
2011-06-30;null;58,6;966,5;21,8;null;null;
2011-07-31;null;55,6;967,2;21,2;null;null;
2011-08-31;null;44,4;967,4;22,1;7,6;3,4;
2011-09-30;null;12,6;967,9;22,7;7,9;4;
2011-10-31;null;93,8;963,3;24,7;7,7;3,8;
2011-11-30;null;106,4;963,4;24,1;19,2;3,6;
2011-12-31;null;14;962,7;26;7,6;3,5;
2012-01-31;null;5,2;963,2;26,2;8,3;3,9;
2012-02-29;null;38,4;963,2;25,5;7,7;3,8;
2012-03-31;null;3,2;963,6;26,1;9,7;3,8;
2012-04-30;null;2,8;963,8;25,9;7,6;3,6;
2012-05-31;null;26,6;965,7;24,1;7,7;3,4;
2012-06-30;null;34;967,2;23,2;6,8;3,3;
2012-07-31;null;75,6;967,7;21,5;7,4;3,2;
2012-08-31;null;79,6;969,1;21,1;7,9;3,7;
2012-09-30;null;25,2;967,9;23,1;8,8;3,8;
2012-10-31;null;8,8;965;24,3;8,3;4,2;
2012-11-30;null;41;962,3;26,3;7,7;3,6;
2012-12-31;null;7,8;962,5;27;8;3,8;
2013-01-31;null;50,2;963,3;26,8;8,9;3,7;
2013-02-28;null;,8;963,1;27;8,8;3,9;
2013-03-31;null;null;null;28,3;6,9;null;
