Nome: PARAUNA
Codigo Estacao: A027
Latitude: -16.9625
Longitude: -50.42555554
Altitude: 678.74
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;17;240,2;936;24,7;7,6;1,5;
2010-02-28;16;165,4;936;25,2;7,8;1,4;
2010-03-31;23;206,8;935,7;24,8;8,9;1,4;
2010-04-30;6;48,6;937,5;23,9;5,1;1,1;
2010-05-31;3;11,4;938;22,3;3,8;1,1;
2010-06-30;2;,4;940,6;21,9;4,6;1,1;
2010-07-31;0;0;940,1;23;6,8;1,3;
2010-08-31;0;0;939,7;23,7;5,2;1,3;
2010-09-30;2;10,8;936,7;27,3;6,2;1,5;
2010-10-31;8;122,4;935,5;26;7,4;1,5;
2010-11-30;16;148,2;934,3;24,5;5,6;1,3;
2010-12-31;21;279;933,1;24,4;6,8;1,1;
2011-01-31;21;249,6;934,2;24,1;5,3;1,3;
2011-02-28;22;331,6;935,6;23,9;9;1,1;
2011-03-31;21;327,2;934,9;23,6;6,7;1,1;
2011-04-30;8;46,2;936,9;24,2;4,9;1,2;
2011-05-31;0;0;938,4;22,4;4,7;1,1;
2011-06-30;2;33;939,3;21,3;5,8;1,3;
2011-07-31;0;0;939,3;22,5;6,9;1,4;
2011-08-31;1;1;938,6;25;6,3;1,6;
2011-09-30;3;,8;938,3;26,5;5,9;1,7;
2011-10-31;15;195,6;935,3;24,4;7,3;1,6;
2011-11-30;1;null;null;null;null;null;
2011-12-31;20;null;934,9;23,6;8,9;1,5;
2012-01-31;19;null;936;22,9;7;1,7;
2012-02-29;12;null;null;23,6;8,4;null;
2012-03-31;10;95,4;936,7;24,6;6;1,1;
2012-04-30;9;47,8;936,7;24,8;5;1;
2012-05-31;7;27,8;939;22;5;1;
