Nome: JEREMOABO
Codigo Estacao: A450
Latitude: -10.08083332
Longitude: -38.34583333
Altitude: 261
Situacao: Operante
Data Inicial: 2015-08-12
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;2;null;null;null;null;null;
2015-09-30;7;21;985,4;25,5;6,8;3,1;
2015-10-31;5;21;984,7;26,3;7;3,3;
2015-11-30;0;0;981,8;28,4;6,8;3,3;
2015-12-31;4;13,4;983,6;28,1;6,8;3,5;
2016-01-31;18;285;982,5;26,9;6,8;2,2;
2016-02-29;7;36,8;983,4;27,2;5,9;2,6;
2016-03-31;5;19;983,5;28;6,6;2,9;
2016-04-30;6;30,2;983,3;27,2;6,4;2,9;
2016-05-31;13;84,6;985,5;25,6;6,1;2,6;
2016-06-30;12;37,8;987,1;24;5,6;2,2;
2016-07-31;13;24,2;987,4;23;7,3;2,4;
2016-08-31;10;15,6;986,9;23,9;8;2,7;
2016-09-30;7;11,8;986;25,3;6,9;3,1;
2016-10-31;8;5,8;983,4;27,1;7;3,6;
2016-11-30;2;2,6;982,3;27,9;6,9;3,8;
2016-12-31;5;13,4;982;28;7,6;3,5;
2017-01-31;0;0;982,5;28;6,9;3,6;
2017-02-28;4;3,2;982,1;28,2;7,7;3,6;
2017-03-31;5;2,2;982;28,2;8;3,1;
2017-04-30;11;56,4;983;26,9;6,9;2,9;
2017-05-31;14;60,4;984,5;25,3;6,8;2,4;
2017-06-30;23;87,4;986,3;23,3;6,9;2,3;
2017-07-31;23;70,4;989,2;21,4;7,7;2,6;
2017-08-31;14;26,8;987;22,9;6,7;2,4;
2017-09-30;25;120,4;987,6;22,6;7,5;3;
2017-10-31;7;null;null;24,6;6;null;
2017-11-30;1;null;981,6;27,2;7,1;3;
