Nome: MACAUBAS
Codigo Estacao: A454
Latitude: -13.03888888
Longitude: -42.61722221
Altitude: 574
Situacao: Desativada
Data Inicial: 2016-04-06
Data Final: 2019-04-21
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;2;13,2;952,3;24,4;7,1;2,5;
2016-07-31;0;0;952;23,4;6,5;2,3;
2016-08-31;0;0;950,9;25,3;6,5;2,4;
2016-09-30;2;6;950;25,9;6,5;2,3;
2016-10-31;7;40,4;947,7;27,3;9;2,3;
2016-11-30;12;137,6;947;26,5;7,2;2,2;
2016-12-31;8;36;947,3;26,1;6,5;2,1;
2017-01-31;2;null;null;null;8;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;4;70;947,1;27,8;8;2,1;
2017-04-30;7;120;948,4;25,9;6,1;2,1;
2017-05-31;3;32;949,5;25,2;6;2,3;
2017-06-30;0;0;951,3;23,9;7,3;2,5;
2017-07-31;1;,2;954,4;22;8;3,3;
2017-08-31;0;0;951;24;7,7;2,6;
2017-09-30;0;0;951,9;24,7;8,1;2,9;
2017-10-31;1;1,2;947,9;28;7,9;2,6;
2017-11-30;11;null;null;25,8;7,4;null;
2017-12-31;14;101;946,6;26,1;6,5;1,9;
2018-01-31;11;88,4;947,1;27;10,2;2,2;
2018-02-28;12;127,2;947;25,2;6;1,8;
2018-03-31;12;183;947,3;25,2;5,2;1,7;
2018-04-30;6;18,8;948,9;25;6,2;2,1;
2018-05-31;5;6,6;950,2;24,9;7,8;2,5;
2018-06-30;1;3,2;951,9;23,6;6,5;2,2;
2018-07-31;1;,2;952;22,7;6,2;2,1;
2018-08-31;1;,4;951,2;25,4;6,5;2,4;
2018-09-30;0;0;948,3;27,1;6,4;2,3;
2018-10-31;6;50,2;947;28,3;7,5;2,4;
2018-11-30;12;84,8;947,1;26,5;8;2,3;
2018-12-31;14;147,2;948,3;25;6,3;1,9;
2019-01-31;2;4,8;948,6;27,3;9,7;2,2;
2019-02-28;13;null;947,2;27,2;8,6;2;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;null;null;null;null;null;

