Data_Medicao,NUMERO_DE_DIAS_COM_PRECIP_PLUV_MENSAL_AUT_n_mero_,PRECIPITACAO_TOTAL_MENSAL_AUT_mm_,PRESSAO_ATMOSFERICA_MEDIA_MENSAL_AUT_mB_,TEMPERATURA_MEDIA_MENSAL_AUT_C_,VENTO_VELOCIDADE_MAXIMA_MENSAL_AUT_m_s_,VENTO_VELOCIDADE_MEDIA_MENSAL_AUT_m_s_,Unnamed_7
2010-01-31,16.0,100.2,885.9,22.5,6.6,2.2,
2010-02-28,7.0,100.2,885.9,22.5,6.1,2.2,
2010-03-31,19.0,225.6,885.5,22.4,5.5,2.3,
2010-04-30,7.0,217.4,886.7,21.5,5.8,2.2,
2010-05-31,4.0,25.0,886.7,21.4,6.3,2.0,
2010-06-30,0.0,0.0,889.3,19.5,6.6,2.0,
2010-07-31,0.0,0.0,890.0,19.5,7.3,2.0,
2010-08-31,0.0,0.0,889.3,20.7,6.4,2.9,
2010-09-30,0.0,0.0,887.3,23.5,6.3,3.1,
2010-10-31,19.0,168.6,885.4,22.9,6.7,2.2,
2010-11-30,22.0,226.6,884.3,21.1,6.5,2.2,
2010-12-31,24.0,315.0,883.1,21.5,6.9,2.2,
2011-01-31,18.0,120.0,884.2,21.6,8.0,2.7,
2011-02-28,20.0,159.0,885.3,21.7,6.4,2.0,
2011-03-31,24.0,231.2,884.8,21.4,6.0,2.3,
2011-04-30,7.0,59.8,886.7,21.5,5.8,2.5,
2011-05-31,2.0,12.2,887.5,20.1,6.1,2.4,
2011-06-30,2.0,3.8,888.5,19.3,6.5,2.3,
2011-07-31,0.0,0.0,888.8,19.7,7.5,2.7,
2011-08-31,0.0,0.0,888.5,22.2,7.3,2.7,
2011-09-30,2.0,6.4,888.4,23.2,7.1,3.0,
2011-10-31,24.0,251.6,885.3,20.6,6.6,2.4,
2011-11-30,19.0,320.8,885.0,20.7,6.7,2.6,
2011-12-31,24.0,293.8,884.8,20.8,7.7,2.4,
2012-01-31,25.0,248.8,885.6,20.3,7.3,2.3,
2012-02-29,14.0,104.8,885.9,21.3,6.1,2.3,
2012-03-31,17.0,182.6,886.4,21.7,5.5,2.1,
2012-04-30,10.0,110.0,886.4,22.1,5.6,2.1,
2012-05-31,9.0,40.2,888.3,19.4,5.9,2.5,
2012-06-30,2.0,2.4,889.1,20.2,5.5,2.3,
2012-07-31,1.0,0.2,889.2,19.7,7.4,2.5,
2012-08-31,1.0,0.0,890.4,19.7,7.0,3.5,
2012-09-30,3.0,30.8,888.5,23.5,5.9,2.7,
2012-10-31,9.0,98.8,885.8,23.7,6.3,2.6,
2012-11-30,22.0,356.2,884.4,21.3,6.6,2.3,
2012-12-31,20.0,132.8,885.1,22.5,6.1,2.1,
2013-01-31,24.0,440.4,885.6,21.1,10.4,2.3,
2013-02-28,9.0,168.6,885.8,22.7,5.5,2.2,
2013-03-31,16.0,169.0,886.2,22.2,5.6,2.2,
2013-04-30,15.0,89.2,887.2,20.8,6.3,2.1,
2013-05-31,3.0,20.8,888.0,20.6,5.3,2.3,
2013-06-30,2.0,6.0,888.9,20.0,6.1,2.3,
2013-07-31,0.0,0.0,889.6,19.6,6.0,2.5,
2013-08-31,0.0,0.0,888.7,21.0,5.9,2.8,
2013-09-30,5.0,58.6,887.7,22.4,6.7,3.0,
2013-10-31,15.0,84.4,886.6,21.9,5.8,2.5,
2013-11-30,19.0,236.6,884.8,21.7,6.0,2.3,
2013-12-31,28.0,321.4,884.2,21.2,7.3,2.4,
2014-01-31,10.0,135.8,886.8,22.1,6.7,2.4,
2014-02-28,12.0,124.6,885.9,21.8,5.7,2.4,
2014-03-31,23.0,303.6,886.5,21.2,8.4,2.1,
2014-04-30,16.0,218.0,887.0,21.4,5.8,2.0,
2014-05-31,1.0,2.4,887.8,20.3,5.3,2.0,
2014-06-30,2.0,7.6,889.1,19.4,5.2,1.8,
2014-07-31,2.0,7.0,890.8,19.0,4.9,2.0,
2014-08-31,0.0,0.0,889.4,21.2,6.4,2.2,
2014-09-30,1.0,14.4,887.6,23.8,6.4,2.7,
2014-10-31,11.0,160.0,886.9,23.4,7.1,2.6,
2014-11-30,24.0,172.8,885.4,21.8,5.9,2.1,
2014-12-31,25.0,328.6,886.0,21.1,6.3,2.4,
2015-01-31,9.0,81.2,887.0,23.0,7.2,2.1,
2015-02-28,14.0,115.4,886.6,21.8,7.2,2.5,
