ANO,Código da Unidade da Federação,Nome da Unidade da Federação,Código do Município,Município,Mortalidade infantil,Probabilidade de sobrevivência até 60 anos,Taxa de analfabetismo - 25 anos ou mais,Taxa de frequência líquida ao fundamental,Taxa de frequência líquida ao médio,Taxa de frequência líquida à pré-escola,Taxa de frequência líquida ao superior,% de 25 anos ou mais com médio completo,% de 25 anos ou mais com superior completo,Renda per capita máxima do 1º quinto mais pobre,Renda per capita mínima do décimo mais rico,% de extremamente pobres,Renda per capita,Renda per capita média do 1º quinto mais pobre,Renda per capita média do décimo mais rico,% de empregados com carteira - 18 anos ou mais,% de empregados sem carteira - 18 anos ou mais,% da população em domicílios com água encanada,% da população em domicílios com energia elétrica,% de mulheres de 10 a 14 anos que tiveram filhos,% de mulheres de 15 a 17 anos que tiveram filhos,% de pessoas em domicílios sem energia elétrica,População residente masculina,População residente feminina,População rural,População total,População urbana,População total em domicílios particulares permanentes,IDHM,IDHM Educação,IDHM Longevidade,IDHM Renda
2010,35,São Paulo,350010,ADAMANTINA,"12,00","85,06","7,42","91,93","57,34","80,84","24,84","41,9","16,49",335,1800,"0,5","975,43","233,59","4197,1","55,89","15,18","99,54","99,97",0,"3,99","0,03",16374,17423,1849,33797,31948,33490,"0,79","0,75","0,852","0,772"
2010,35,São Paulo,350020,ADOLFO,"13,80","84,2","9,87","92,45","49,8","52,6","18,89","20,45","6,82","295,63","1056,67","1,31","661,65","209,11","2035,12","60,47","17,75","97,75",100,0,"7,01",0,1787,1770,357,3557,3200,3557,"0,73","0,648","0,844","0,71"
2010,35,São Paulo,350030,AGUAÍ,"12,50","85,44","9,43","92,61","46,27","53,16","9,85","24,75","7,65","236,67","1028,57","1,03","636,07","158,11","2485,19","57,79","19,55","98,9",100,0,"8,68",0,16217,15931,3147,32148,29001,32089,"0,715","0,606","0,858","0,703"
2010,35,São Paulo,350040,ÁGUAS DA PRATA,"9,60","87,75","7,37","95,28","60,78","67,08","12,29","34,82","13,14","283,33",1300,"0,6","853,39","186,22","3869,03","49,66","21,67","97,13",100,0,0,0,3747,3837,813,7584,6771,7510,"0,781","0,716","0,886","0,75"
2010,35,São Paulo,350050,ÁGUAS DE LINDÓIA,"12,50","84,54","7,15","91,5","51,42","71,59","11,13","29,4","10,74","299,75",1345,"0,07","730,13","207,45","2566,13","54,55","16,8","98,11",100,0,"5,64",0,8457,8809,155,17266,17111,17120,"0,745","0,675","0,846","0,725"
2010,35,São Paulo,350055,ÁGUAS DE SANTA BÁRBARA,"13,00","84,03","6,1","93,09","49,87","73,37","8,99","33,23","12,5","260,4",1765,"1,44","818,15","183,19","3091,47","55,32","18,75","91,34","99,94","1,4","6,92","0,06",2779,2822,1342,5601,4259,5583,"0,757","0,695","0,84","0,744"
2010,35,São Paulo,350060,ÁGUAS DE SÃO PEDRO,"9,30","88,06","1,61","97,25","65,63","79,93","22,27","61,62","30,38",470,3000,"0,24","1580,72","304,27",7110,"47,88","11,22",100,100,0,"2,29",0,1262,1445,0,2707,2707,2680,"0,854","0,825","0,89","0,849"
2010,35,São Paulo,350070,AGUDOS,"13,70","84,28","6,51","92,5","49,2","79,48","10,91","32,76","8,09",255,1259,"1,99","642,59","167,6","2023,94","67,84","12,8","98,81",100,0,"4,29",0,17076,17448,1531,34524,32993,34140,"0,745","0,694","0,845","0,705"
2010,35,São Paulo,350075,ALAMBARI,"17,50","80,68","8,28","95,52","60,89","51,75","9,85","20,43","4,36","225,6",1050,"1,75","556,36","152,68","1983,81","50,85","17,74","97,77",100,0,"3,37",0,2456,2428,1212,4884,3672,4863,"0,712","0,658","0,805","0,682"
2010,35,São Paulo,350080,ALFREDO MARCONDES,"14,10","83,9","12,15","93,27","66,16","87,79","23,77","31,08","6,95","253,33","1036,67","1,29","558,38","184,9","1478,1","52,67","20,25","99,04","99,92",0,"4,34","0,08",1981,1910,636,3891,3255,3885,"0,741","0,71","0,84","0,682"
2010,35,São Paulo,350090,ALTAIR,"18,00","80,26","12,42","85,13","24,29","80,42","12,02","20,54","5,15",270,"1133,33","0,51","616,38","187,39","2073,4","73,8","15,84","99,49",100,0,"20,16",0,2051,1764,793,3815,3022,3795,"0,687","0,581","0,8","0,698"
2010,35,São Paulo,350100,ALTINÓPOLIS,"13,90","84,13","7,43","91,12","51,2","72,74","17,08","27,56","10,87",286,1250,"0,44","731,49","213,95","2678,51","55,75","24,64","97,54",100,0,"10,07",0,7808,7799,1971,15607,13636,15527,"0,73","0,635","0,843","0,726"
2010,35,São Paulo,350110,ALTO ALEGRE,"16,30","81,79","10,34","90,28","53,54","76,8","10,61","21,86","5,35",262,1005,"0,61","560,3","197,72","1501,19","54,93","14,96","96,15",100,"3,06","3,62",0,2109,1993,868,4102,3234,4102,"0,7","0,616","0,817","0,683"
2010,35,São Paulo,350115,ALUMÍNIO,"14,00","83,99","5,78","96,61","53,03","68,92","13,56","44,52","5,97","297,5",1310,"1,68","747,27","186,95","2438,82","69,95","11,07","94,94","99,88",0,"6,47","0,12",8500,8339,2716,16839,14123,16753,"0,766","0,732","0,841","0,729"
2010,35,São Paulo,350120,ÁLVARES FLORENCE,"17,40","80,81","11,22","90,37","56,74","64,11","8,19","25,43","6,95",255,1020,"1,85","627,14","190,79","2115,86","47,8","20,2","87,75",100,0,"3,54",0,1999,1898,1249,3897,2648,3897,"0,728","0,683","0,806","0,701"
2010,35,São Paulo,350130,ÁLVARES MACHADO,"14,70","83,34","8,75","92,25","71,46","73,1","19,04","32,12","9,13",248,"1373,33","1,57","672,03","167,03","2449,69","52,77","17,68","99,34","99,92",0,"6,3","0,08",11640,11873,2330,23513,21183,23494,"0,758","0,732","0,834","0,712"
2010,35,São Paulo,350140,ÁLVARO DE CARVALHO,"17,50","80,73","10,83","86,95","58,67","78,75","4,09","17,41","2,87",220,905,"1,4","512,99","164,18","1495,1","59,05","16,13","99,6","99,86",0,"7,56","0,14",2959,1691,1698,4650,2952,3294,"0,688","0,605","0,805","0,669"
2010,35,São Paulo,350150,ALVINLÂNDIA,"18,90","79,43","13,21","90,89","56,73","76,03","18,6","27,71","6,61","231,43","1117,5","1,98","710,49","170,68","3230,37","66,77","13,67","99,01",100,0,0,0,1482,1518,307,3000,2693,2993,"0,722","0,659","0,791","0,721"
2010,35,São Paulo,350160,AMERICANA,"10,77","86,73","3,26","90,92","62,88","78,4","25,24","43,76","15,4","427,5",2250,"0,32","1161,68","291,01","4313,44","61,51","11,1","99,64","99,97",0,3,"0,03",103174,107464,984,210638,209654,209811,"0,811","0,76","0,876","0,8"
2010,35,São Paulo,350170,AMÉRICO BRASILIENSE,"13,10","84,92","8,82","95,77","70,02","73,49","4,68","29,72","4,24",290,1110,"0,96","659,67","200,15","1988,29","76,69","8,3","99,88","99,87","0,64","4,27","0,13",17333,17145,261,34478,34217,34381,"0,751","0,701","0,852","0,709"
2010,35,São Paulo,350180,AMÉRICO DE CAMPOS,"16,20","81,86","9,4","93,92","70,32","81,14","20,86","25,69","7,49",255,1342,"0,39","686,56","187,27","2353,04","44,36","22,86","95,24",100,"0,95","5,2",0,2862,2844,918,5706,4788,5697,"0,745","0,708","0,817","0,715"
2010,35,São Paulo,350190,AMPARO,"10,60","86,62","5,67","91,61","56,27","71,28","16,78","39,67","13,21","366,25","1672,5","0,19","1027,6","244,36","4329,44",66,"9,61","96,39","99,99",0,"3,7","0,01",32442,33387,14018,65829,51811,65521,"0,785","0,711","0,871","0,78"
2010,35,São Paulo,350200,ANALÂNDIA,"11,40","85,78","7,93","95,3","53,26","69,63","14,37","35,07","10,52","252,5","1457,5","0,88","823,33","175,9","3608,17","59,26","14,84","97,74","99,8",0,"6,61","0,2",2203,2090,885,4293,3408,4254,"0,754","0,668","0,861","0,745"
2010,35,São Paulo,350210,ANDRADINA,"9,60","87,68","7,1","90,46","53,4","79,78","21,65","36,16","12,21",300,"1533,33","1,17","919,36","206,28","3968,91","56,03","14,81","98,86","99,79",0,"4,41","0,21",27190,28144,3685,55334,51649,54242,"0,779","0,702","0,885","0,762"
2010,35,São Paulo,350220,ANGATUBA,"15,40","82,7","8,14","91,98","47,09","81,98","7,41","24,96","8,44","233,33","1033,33","1,55","597,99","158,31","2169,29","54,46","18,93","94,82","99,94","0,86","10,78","0,06",11245,10965,6257,22210,15953,22134,"0,719","0,648","0,827","0,693"
2010,35,São Paulo,350230,ANHEMBI,"12,10","85,85","8,1","93,88","55,64","69,8","5,17","24,18","6,79","237,5","1029,67","0,11","554,16","156,37","1809,7","52,31","19,52","78,44",100,"1,35","4,38",0,2909,2744,1382,5653,4271,5554,"0,721","0,637","0,863","0,681"
2010,35,São Paulo,350240,ANHUMAS,"13,70","84,27","9,83","93,45","67,82","81,8","12,22","28,93","7,18","233,33",1000,"1,75","561,82","155,68","1813,11","49,21","17,74","97,23",100,"1,74","5,59",0,1863,1875,679,3738,3059,3710,"0,741","0,706","0,845","0,683"
