Código do Município,Sigla da Unidade da Federação,Nome das Grandes Regiões,Nome da Mesoregião,Nome da Microregião,PIB per capita a preços correntes
350010,SP,Sudeste,Presidente Prudente,Adamantina,"16515,8"
350020,SP,Sudeste,SÒo JosÚ do Rio Preto,SÒo JosÚ do Rio Preto,"28922,46"
350030,SP,Sudeste,Campinas,Pirassununga,"19037,06"
350040,SP,Sudeste,Campinas,SÒo JoÒo da Boa Vista,"29915,84"
350050,SP,Sudeste,Campinas,Amparo,"11415,61"
350055,SP,Sudeste,Bauru,AvarÚ,"31828,81"
350060,SP,Sudeste,Piracicaba,Piracicaba,"21161,16"
350070,SP,Sudeste,Bauru,Bauru,"27183,48"
350075,SP,Sudeste,Itapetininga,Itapetininga,"19183,23"
350080,SP,Sudeste,Presidente Prudente,Presidente Prudente,"12167,75"
350090,SP,Sudeste,SÒo JosÚ do Rio Preto,SÒo JosÚ do Rio Preto,"37441,83"
350100,SP,Sudeste,RibeirÒo Preto,Batatais,"23707,83"
350110,SP,Sudeste,Araþatuba,Birigui,"14327,95"
350115,SP,Sudeste,Macro Metropolitana Paulista,Sorocaba,"106304,18"
350120,SP,Sudeste,SÒo JosÚ do Rio Preto,Votuporanga,"16710,67"
350130,SP,Sudeste,Presidente Prudente,Presidente Prudente,"9966,49"
350140,SP,Sudeste,MarÝlia,MarÝlia,"8723,76"
350150,SP,Sudeste,MarÝlia,MarÝlia,"12459,01"
350160,SP,Sudeste,Campinas,Campinas,"31606,01"
350170,SP,Sudeste,Araraquara,Araraquara,"19832,32"
350180,SP,Sudeste,SÒo JosÚ do Rio Preto,Votuporanga,"10959,64"
350190,SP,Sudeste,Campinas,Amparo,"30731,02"
350200,SP,Sudeste,Araraquara,SÒo Carlos,"18530,73"
350210,SP,Sudeste,Araþatuba,Andradina,"19771,87"
350220,SP,Sudeste,Itapetininga,Itapetininga,"23110,56"
350230,SP,Sudeste,Bauru,Botucatu,"20806,77"
350240,SP,Sudeste,Presidente Prudente,Presidente Prudente,"11140,25"
350250,SP,Sudeste,Vale do ParaÝba Paulista,Guaratinguetß,"12357,89"
350260,SP,Sudeste,SÒo JosÚ do Rio Preto,Jales,"12358,08"
350270,SP,Sudeste,Itapetininga,CapÒo Bonito,"12292,52"
350275,SP,Sudeste,Macro Metropolitana Paulista,Sorocaba,"87905,75"
350280,SP,Sudeste,Araþatuba,Araþatuba,"19281,36"
350290,SP,Sudeste,Macro Metropolitana Paulista,Sorocaba,"11112,19"
350300,SP,Sudeste,RibeirÒo Preto,Ituverava,"15512,08"
350310,SP,Sudeste,Bauru,AvarÚ,"17951,37"
